SYMBOL,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,IPI,UNIGENE,UNIPROT
OR2T11,ENSG00000279301,ENSP00000492951,ENST00000641193,127077,,Hs.626619,Q8NH01
TRIM46,ENSG00000163462,,,80128,,Hs.287735,Q7Z4K8
TBC1D4,ENSG00000136111,,,9882,,Hs.210891,O60343
FKBP10,ENSG00000141756,,,60681,,Hs.463035,A0A024R1W3
HAAO,ENSG00000162882,,,23498,,Hs.368805,P46952
DNAH10OS,,,,642797,,Hs.728379,
CTRC,ENSG00000162438,,,11330,,Hs.631869,Q99895
CAND2,ENSG00000144712,,,23066,,Hs.343664,O75155
ERRFI1,ENSG00000116285,,,54206,IPI00004399,Hs.605445,B3KTV8
DDX56,ENSG00000136271,,,54606,IPI00925037,Hs.654762,Q9NY93
FCRL3,ENSG00000160856,,,115352,,Hs.292449,Q96P31
TDRD9,ENSG00000156414,,,122402,,Hs.21454,Q86WA0
ZFAND5,ENSG00000107372,,,7763,,Hs.406096,A0A024R219
unassigned,,,,,,,
ZNF521,ENSG00000198795,,,25925,,Hs.116935,J3KTI4
SLC30A4,ENSG00000104154,ENSP00000261867,ENST00000261867,7782,,Hs.162989,O14863
FAM71D,ENSG00000172717,,,161142,,Hs.412818,Q8N9W8
C3orf62,ENSG00000188315,ENSP00000341139,ENST00000479673,375341,IPI00374221,Hs.403828,Q6ZUJ4
PLD6,ENSG00000179598,ENSP00000317177,ENST00000321560,201164,,Hs.729079,Q8N2A8
BCL7C,ENSG00000099385,,,9274,,Hs.658547,Q8WUZ0
RAB37,ENSG00000172794,,,326624,,Hs.351413,A0A024R8K6
KCNJ15,ENSG00000157551,,,3772,IPI00064771,Hs.411299,Q99712
BIN2,ENSG00000110934,,,51411,,Hs.14770,B7Z6F3
ORMDL2,ENSG00000123353,ENSP00000243045,ENST00000243045,29095,,Hs.534450,Q53FV1
NPTX2,ENSG00000106236,ENSP00000265634,ENST00000265634,4885,,Hs.3281,P47972
GPR143,ENSG00000101850,,,4935,,Hs.74124,P51810
NUTM2B,ENSG00000188199,,,729262,,Hs.742755,A6NNL0
STX1B,ENSG00000099365,,,112755,IPI00410675,Hs.542230,P61266
RHOG,ENSG00000177105,ENSP00000339467,ENST00000351018,391,IPI00017342,Hs.501728,P84095
NT5C1B-RDH14,ENSG00000250741,ENSP00000433415,ENST00000532967,100526794,,Hs.744358,Q96P26
STT3B,ENSG00000163527,ENSP00000295770,ENST00000453168,201595,,Hs.475812,Q8TCJ2
EIF1B,ENSG00000114784,ENSP00000232905,ENST00000232905,10289,,Hs.315230,O60739
STAC,ENSG00000144681,,,6769,IPI00015342,Hs.56045,B4DR96
DHRS7,ENSG00000100612,,,51635,,Hs.59719,Q9Y394
IRF2BP2,ENSG00000168264,,,359948,IPI00889619,Hs.350268,Q7Z5L9
PDGFRL,ENSG00000104213,,,5157,IPI00006236,Hs.458573,Q15198
C10orf128,,,,,,,
GOLT1B,ENSG00000111711,ENSP00000446231,ENST00000535593,51026,,Hs.62275,Q9Y3E0
FOXD4,ENSG00000170122,ENSP00000371940,ENST00000382500,2298,,Hs.584759,Q12950
IL23R,ENSG00000162594,,,149233,,Hs.677426,Q5VWK5
RPS6KB1,ENSG00000108443,,,6198,,Hs.463642,P23443
TEX53,ENSG00000230054,ENSP00000489944,ENST00000423632,105376230,,Hs.147369,
ST20-AS1,,,,283687,,Hs.722219,
SLC30A7,ENSG00000162695,,,148867,,Hs.533903,Q8NEW0
PIFO,ENSG00000173947,,,128344,,Hs.172510,Q8TCI5
BORCS7,ENSG00000166275,,,119032,,Hs.34492,A0A0B4J1R7
TRBV19,,,,28568,,Hs.511720,
ADRA2C,ENSG00000184160,ENSP00000426268,ENST00000509482,152,IPI00002437,Hs.123022,P18825
MSN,ENSG00000147065,,,4478,,Hs.87752,P26038
ABCC10,ENSG00000124574,,,89845,,Hs.55879,A0A024RD21
SDF2L1,ENSG00000128228,ENSP00000248958,ENST00000248958,23753,,Hs.303116,Q9HCN8
GOLGA6L22,ENSG00000274404,ENSP00000486963,ENST00000629225,440243,,,
TOMM70,ENSG00000154174,ENSP00000284320,ENST00000284320,9868,,Hs.227253,O94826
ADO,ENSG00000181915,ENSP00000362888,ENST00000373783,84890,,Hs.99821,B3KXN9
TRAJ42,,,,28713,,,
PRR30,ENSG00000186143,,,339779,,Hs.136555,Q53SZ7
RFC2,ENSG00000049541,,,5982,,Hs.647062,P35250
OR5AR1,ENSG00000172459,ENSP00000485240,ENST00000624596,219493,,Hs.553633,A0A126GVM6
MAPT,ENSG00000186868,ENSP00000486039,ENST00000626571,4137,,Hs.101174,P10636
KCNT2,ENSG00000162687,,,343450,,Hs.657046,Q6UVM3
ARPC3,ENSG00000111229,,,10094,,Hs.524741,O15145
ZNF56,,,,7608,,,
LINC00336,ENSG00000197251,,,401253,,Hs.520075,
TCERG1L,ENSG00000176769,ENSP00000357631,ENST00000483040,256536,IPI00794939,Hs.126575,Q5VWI1
unassigned,,,,,,,
DHH,ENSG00000139549,ENSP00000497483,ENST00000649637,50846,,Hs.524382,O43323
IGKV6-21,,,,28906,,,
SLC39A7,ENSG00000112473,,,7922,,Hs.631995,A0A024RCX7
TOMM40,ENSG00000130204,,,10452,,Hs.655909,O96008
TRIM64,ENSG00000204450,ENSP00000483764,ENST00000533122,120146,,Hs.454490,A6NGJ6
CDA,ENSG00000158825,ENSP00000364212,ENST00000375071,978,IPI00027983,Hs.466910,P32320
KLF6,ENSG00000067082,,,1316,IPI00293523,Hs.4055,D3GC14
PRO1716,,,,,,,
EXOC3L4,ENSG00000205436,ENSP00000369409,ENST00000380069,91828,IPI00073442,Hs.37712,Q17RC7
OLAH,ENSG00000152463,,,55301,,Hs.24309,Q9NV23
PKIB,ENSG00000135549,,,5570,IPI00032472,Hs.741340,Q9C010
BRI3BP,ENSG00000184992,,,140707,,Hs.596464,Q8WY22
ARF6,ENSG00000165527,ENSP00000298316,ENST00000298316,382,IPI00215920,Hs.525330,P62330
CDC25C,ENSG00000158402,,,995,IPI00216685,Hs.656,P30307
RICTOR,ENSG00000164327,,,253260,,Hs.407926,Q6R327
CYTIP,ENSG00000115165,ENSP00000264192,ENST00000264192,9595,,Hs.270,O60759
ZNF577,ENSG00000161551,,,84765,,Hs.723015,Q9BSK1
OGFRL1,ENSG00000119900,ENSP00000359464,ENST00000370435,79627,,Hs.648434,Q5TC84
BAZ2A,ENSG00000076108,,,11176,,Hs.314263,F8VU39
TTC9C,ENSG00000162222,,,283237,IPI00175096,Hs.31704,Q8N5M4
OR52B2,ENSG00000255307,ENSP00000432011,ENST00000530810,255725,IPI00185098,Hs.690457,Q96RD2
DYNC1LI1,ENSG00000144635,ENSP00000273130,ENST00000273130,51143,,Hs.529495,E9PHI6
PCDHB3,ENSG00000113205,ENSP00000231130,ENST00000231130,56132,,Hs.508987,Q9Y5E6
GCSAML,ENSG00000169224,,,148823,,Hs.732113,Q5JQS6
OR6Q1,ENSG00000279051,ENSP00000307734,ENST00000302622,219952,,Hs.690432,A0A126GVP6
SRL,ENSG00000185739,,,6345,,Hs.10041,B3KPP4
FAM104A,ENSG00000133193,,,84923,,Hs.741276,Q969W3
BRAP,ENSG00000089234,,,8315,IPI00396089,Hs.530940,Q59H81
BTBD10,ENSG00000148925,,,84280,,Hs.332382,B7Z503
ST6GALNAC5,ENSG00000117069,,,81849,,Hs.149201,B4DV27
FAR2,ENSG00000064763,,,55711,,Hs.684482,A0A024RAW7
RLN2,ENSG00000107014,ENSP00000371040,ENST00000381627,6019,,Hs.127032,P04090
SPIN4,ENSG00000186767,ENSP00000364018,ENST00000374884,139886,,Hs.612782,Q56A73
PFN3,ENSG00000196570,ENSP00000351379,ENST00000358571,345456,,Hs.130196,P60673
ZNF454,ENSG00000178187,ENSP00000326249,ENST00000320129,285676,,Hs.259441,Q8N9F8
SENP3-EIF4A1,ENSG00000277957,ENSP00000483614,ENST00000614237,100533955,,Hs.129673,
PNLIP,ENSG00000175535,ENSP00000358223,ENST00000369221,5406,IPI00027720,Hs.501135,P16233
BIN3,ENSG00000147439,,,55909,,Hs.433722,Q9NQY0
TRDV3,,,,28516,,Hs.74647,
IL36G,ENSG00000136688,,,56300,,Hs.211238,Q9NZH8
SMARCA5,ENSG00000153147,ENSP00000283131,ENST00000283131,8467,IPI00297211,Hs.558422,O60264
UBE2N,ENSG00000177889,ENSP00000316176,ENST00000548946,7334,,Hs.524630,P61088
PPM1L,ENSG00000163590,,,151742,,Hs.389027,Q5SGD2
KLC4,ENSG00000137171,,,89953,,Hs.655123,A0A024RCZ8
JSRP1,ENSG00000167476,,,126306,,Hs.330742,Q96MG2
MAP3K7,ENSG00000135341,,,6885,IPI00218567,Hs.594838,O43318
PTPRK,ENSG00000152894,ENSP00000483766,ENST00000618924,5796,IPI00015756,Hs.155919,Q15262
OTUD6B,ENSG00000155100,,,51633,,Hs.30532,Q8N6M0
SERPINE1,ENSG00000106366,ENSP00000223095,ENST00000223095,5054,IPI00007118,Hs.414795,A0A024QYT5
UNC45B,ENSG00000141161,,,146862,,Hs.379636,Q8IWX7
TMEM59L,ENSG00000105696,ENSP00000470879,ENST00000600490,25789,,Hs.216226,A0A024R7L4
CYTH1,ENSG00000108669,,,9267,,Hs.191215,Q15438
ZNF276,ENSG00000158805,,,92822,IPI00847391,Hs.290154,I6L9I3
RNF112,ENSG00000128482,,,7732,,Hs.189482,Q9ULX5
SMIM22,ENSG00000267795,ENSP00000465660,ENST00000589721,440335,,Hs.390599,A0A1U9AC72
UFC1,ENSG00000143222,,,51506,,Hs.301412,Q9Y3C8
COPS7A,ENSG00000111652,ENSP00000438115,ENST00000543155,50813,,Hs.530823,Q9UBW8
EIF4E1B,ENSG00000175766,,,253314,,Hs.448362,A6NMX2
PROK1,ENSG00000143125,ENSP00000271331,ENST00000271331,84432,,Hs.514793,A0A024R0B1
FAM74A7,,,,100996582,,,
MITD1,ENSG00000158411,,,129531,,Hs.14222,Q8WV92
IRAK1,ENSG00000184216,,,3654,IPI00472717,Hs.522819,P51617
SUMF1,ENSG00000144455,,,285362,,Hs.350475,Q8NBK3
OR7G3,ENSG00000170920,ENSP00000302867,ENST00000305444,390883,,Hs.553775,A0A126GVR4
APRT,ENSG00000198931,,,353,IPI00218693,Hs.28914,P07741
TIMP3,ENSG00000100234,,,7078,,Hs.644633,P35625
CCDC85B,ENSG00000175602,ENSP00000311695,ENST00000312579,11007,,Hs.66713,Q15834
ISM2,ENSG00000100593,,,145501,,Hs.29742,Q6H9L7
NOL6,ENSG00000165271,,,65083,,Hs.493709,Q9H6R4
BECN2,ENSG00000196289,ENSP00000488361,ENST00000419583,441925,,Hs.731347,A8MW95
PACRGL,ENSG00000163138,,,133015,,Hs.479298,Q8N7B6
MRPL19,ENSG00000115364,,,9801,,Hs.44024,P49406
C2orf50,ENSG00000150873,,,130813,,Hs.406894,Q96LR7
DMRT1,ENSG00000137090,,,1761,,Hs.98586,Q9Y5R6
DIABLO,ENSG00000184047,ENSP00000493911,ENST00000645606,56616,,Hs.169611,K7X1S0
unassigned,,,,,,,
BOC,ENSG00000144857,,,91653,,Hs.591318,Q9BWV1
HAUS6,ENSG00000147874,,,54801,,Hs.533468,Q7Z4H7
OR1F2P,ENSG00000203581,,ENST00000570470,26184,,Hs.651203,
RNASE12,ENSG00000258436,ENSP00000450580,ENST00000556526,493901,IPI00552100,Hs.729466,Q5GAN4
CSRP3,ENSG00000129170,ENSP00000431813,ENST00000533783,8048,IPI00032164,Hs.83577,A2TDB8
PDXDC2P,,,,109731405,,,
EML5,ENSG00000165521,,,161436,,Hs.325846,Q05BV3
PMF1-BGLAP,ENSG00000260238,ENSP00000475561,ENST00000490491,100527963,,Hs.530479,Q6P1K2
SLC30A3,ENSG00000115194,,,7781,,Hs.467981,B4DXX8
CACNB1,ENSG00000067191,,,782,IPI00219984,Hs.635,Q02641
RBM11,ENSG00000185272,,,54033,IPI00025663,Hs.283828,P57052
unassigned,,,,,,,
TFDP2,ENSG00000114126,,,7029,,Hs.379018,Q14188
SPNS1,ENSG00000169682,,,83985,,Hs.617449,Q9H2V7
GMCL1,ENSG00000087338,ENSP00000282570,ENST00000282570,64395,,Hs.293971,Q53SE7
BRK1,ENSG00000254999,ENSP00000432472,ENST00000530758,55845,,Hs.649307,Q8WUW1
unassigned,,,,,,,
SOWAHB,ENSG00000186212,ENSP00000334879,ENST00000334306,345079,,Hs.257292,A6NEL2
CRYGN,ENSG00000127377,ENSP00000495938,ENST00000476631,155051,,Hs.647104,Q8WXF5
HABP4,ENSG00000130956,,,22927,,Hs.494567,Q5JVS0
CARD8,ENSG00000105483,,,22900,,Hs.68846,Q9Y2G2
CDC42EP3,ENSG00000163171,ENSP00000295324,ENST00000295324,10602,,Hs.369574,Q9UKI2
PRSS42,ENSG00000178055,,,339906,,Hs.585127,Q7Z5A4
NFATC4,ENSG00000100968,ENSP00000493885,ENST00000642776,4776,,Hs.77810,Q14934
KCNA5,ENSG00000130037,ENSP00000252321,ENST00000252321,3741,IPI00929686,Hs.150208,P22460
SCGB1D2,ENSG00000124935,ENSP00000244926,ENST00000244926,10647,,Hs.204096,O95969
RGSL1,ENSG00000121446,,,353299,,Hs.121200,A5PLK6
CUL4A,ENSG00000139842,,,8451,IPI00549919,Hs.339735,Q13619
PPFIBP1,ENSG00000110841,,,8496,IPI00302158,Hs.172445,A0A024RB02
SLC2A4,ENSG00000181856,,,6517,IPI00795418,Hs.380691,P14672
ARHGAP42,ENSG00000165895,,,143872,,Hs.44004,A6NI28
TRBV2,,,,28620,,,
TAMM41,ENSG00000144559,ENSP00000485654,ENST00000624386,132001,,Hs.475472,Q96BW9
FARSB,ENSG00000116120,ENSP00000281828,ENST00000281828,10056,,Hs.471452,Q9NSD9
PSG2,ENSG00000242221,ENSP00000385706,ENST00000406487,5670,IPI00005694,Hs.709200,A0A024R0M4
MPPED2,ENSG00000066382,,,744,IPI00607734,Hs.289795,Q15777
GTF2E2,ENSG00000197265,ENSP00000348168,ENST00000355904,2961,IPI00019981,Hs.77100,P29084
MINDY2,ENSG00000128923,,,54629,IPI00744140,Hs.591122,Q8NBR6
TRIM21,ENSG00000132109,ENSP00000434053,ENST00000533692,6737,IPI00969571,Hs.532357,P19474
C10orf95,ENSG00000120055,ENSP00000489684,ENST00000625129,79946,,Hs.225084,Q9H7T3
GARS,ENSG00000106105,,,2617,IPI00783097,Hs.404321,A0A090N8G0
FYCO1,ENSG00000163820,,,79443,,Hs.200227,Q9BQS8
CCDC61,ENSG00000104983,ENSP00000471454,ENST00000596161,729440,,Hs.515479,Q9Y6R9
EVPLL,ENSG00000214860,ENSP00000382086,ENST00000399134,645027,,Hs.462400,A8MZ36
POU3F2,ENSG00000184486,ENSP00000329170,ENST00000328345,5454,IPI00759800,Hs.182505,P20265
GPR6,ENSG00000146360,ENSP00000275169,ENST00000275169,2830,IPI00942047,Hs.46332,P46095
OR13C8,ENSG00000186943,ENSP00000334068,ENST00000335040,138802,,Hs.553599,A0A126GVC7
TAL1,ENSG00000162367,,,6886,IPI00747776,Hs.705618,P17542
PLEKHF2,ENSG00000175895,ENSP00000322373,ENST00000315367,79666,,Hs.29724,Q9H8W4
NPAS2,ENSG00000170485,,,4862,,Hs.156832,A2I2P5
PCDHB15,ENSG00000113248,ENSP00000231173,ENST00000231173,56121,,Hs.130757,B2R708
LINC00597,,,,81698,,Hs.656938,
NR1D1,ENSG00000126368,ENSP00000246672,ENST00000246672,9572,,Hs.724,F1D8S3
unassigned,,,,,,,
9-Sep,,,,,,,
MERTK,ENSG00000153208,,,10461,,Hs.306178,Q12866
CNTN3,ENSG00000113805,ENSP00000263665,ENST00000263665,5067,IPI00292791,Hs.12723,Q9P232
MAP3K4,ENSG00000085511,,,4216,,Hs.390428,Q9Y6R4
PIGW,ENSG00000277161,ENSP00000480475,ENST00000619326,284098,,Hs.378885,Q7Z7B1
GTPBP6,ENSG00000178605,,,8225,IPI00016763,Hs.437145,H0Y2S1
MCU,ENSG00000156026,,,90550,,Hs.591366,Q8NE86
TMEM252,ENSG00000181778,ENSP00000366528,ENST00000377311,169693,,Hs.663056,Q8N6L7
CDK13,ENSG00000065883,,,8621,IPI00456970,Hs.233552,A0A024RA85
TP53BP2,ENSG00000143514,,,7159,,Hs.523968,Q13625
ZPBP,ENSG00000042813,ENSP00000046087,ENST00000491129,11055,,Hs.388841,Q9BS86
RNF39,ENSG00000204618,ENSP00000365942,ENST00000376751,80352,,Hs.121178,Q96QB5
VWDE,ENSG00000146530,,,221806,,Hs.669526,Q8N2E2
CCIN,ENSG00000185972,ENSP00000334996,ENST00000335119,881,IPI00299881,Hs.115460,Q13939
C6orf141,ENSG00000197261,,,135398,,Hs.722010,A0A024RD72
RPN1,ENSG00000163902,,,6184,,Hs.518244,P04843
LUZP4,ENSG00000102021,,,51213,,Hs.242183,Q9P127
COL4A3,ENSG00000169031,,,1285,IPI00396322,Hs.570065,Q01955
ATP9A,ENSG00000054793,,,10079,,Hs.649234,B4DR18
PRR23D1,ENSG00000255251,ENSP00000436891,ENST00000533250,100131608,,,E9PI22
BRINP1,ENSG00000078725,,,1620,,Hs.532316,O60477
NADK,ENSG00000008130,,,65220,,Hs.654792,A0A024R058
TREX1,ENSG00000213689,,,11277,,Hs.707026,Q5TZT0
KCNK1,ENSG00000135750,,,3775,IPI00010476,Hs.208544,A0A024R3T2
ZNF677,ENSG00000197928,,,342926,,Hs.20506,Q86XU0
BOK,ENSG00000176720,ENSP00000314132,ENST00000641230,666,IPI00000133,Hs.293753,A0A024R4A8
H2AFY2,ENSG00000099284,,,55506,,Hs.499953,A0A024QZP6
ANP32B,ENSG00000136938,ENSP00000345848,ENST00000339399,10541,,Hs.730654,Q92688
TMEM88,ENSG00000167874,ENSP00000301599,ENST00000301599,92162,IPI00011480,Hs.389669,I3L2J3
PTPRR,ENSG00000153233,,,5801,IPI00107759,Hs.506076,Q15256
PHKG2,ENSG00000156873,,,5261,IPI00012891,Hs.65735,P15735
CFAP36,ENSG00000163001,,,112942,IPI00171833,Hs.264208,Q96G28
S1PR2,ENSG00000267534,ENSP00000466933,ENST00000590320,9294,,Hs.655405,A0A024R7B2
PKP1,ENSG00000081277,,,5317,IPI00218528,Hs.497350,Q13835
ARL16,ENSG00000214087,ENSP00000380635,ENST00000397498,339231,,Hs.658789,Q0P5N6
SCAF8,ENSG00000213079,ENSP00000356146,ENST00000367178,22828,,Hs.591329,A0A0A0MT33
FGFR1OP2,ENSG00000111790,,,26127,IPI00014903,Hs.591162,Q9NVK5
IGLV5-48,,,,28780,,,
BPIFB2,ENSG00000078898,ENSP00000170150,ENST00000170150,80341,,Hs.257045,Q8N4F0
C14orf28,ENSG00000179476,ENSP00000326846,ENST00000325192,122525,,Hs.82098,Q4W4Y0
RFX3,ENSG00000080298,,,5991,,Hs.136829,P48380
B4GALNT3,ENSG00000139044,,,283358,,Hs.504416,Q6L9W6
CDKN2D,ENSG00000129355,ENSP00000377224,ENST00000393599,1032,IPI00024008,Hs.435051,A0A024R796
GCSAM,ENSG00000174500,ENSP00000496265,ENST00000646639,257144,IPI00167003,Hs.49614,Q8N6F7
ARHGAP40,ENSG00000124143,,,343578,,Hs.451997,
METTL16,ENSG00000127804,,,79066,,Hs.632237,Q86W50
ADGRD2,ENSG00000180264,,,347088,,Hs.454099,
UBE3A,ENSG00000114062,,,7337,,Hs.598862,Q05086
STAC2,ENSG00000141750,ENSP00000327509,ENST00000333461,342667,,Hs.145068,D0IN09
HS3ST4,ENSG00000182601,ENSP00000330606,ENST00000331351,9951,,Hs.655275,Q9Y661
CNTNAP4,ENSG00000152910,,,85445,,Hs.461389,A0A087WTA1
ZNRD1,ENSG00000066379,ENSP00000399966,ENST00000446493,30834,,Hs.57813,Q2L6J2
EGFR,ENSG00000146648,,,1956,,Hs.488293,Q504U8
SFXN5,ENSG00000144040,,,94097,IPI00152426,Hs.368171,B8ZZJ6
RHBG,ENSG00000132677,,,57127,,Hs.131835,Q9H310
CARMIL2,ENSG00000159753,,,146206,,Hs.611432,Q6F5E8
MAP3K7CL,ENSG00000156265,,,56911,,Hs.222802,B0EVZ6
NDRG4,ENSG00000103034,,,65009,,Hs.322430,Q9ULP0
RNF19B,ENSG00000116514,,,127544,,Hs.591504,Q6ZMZ0
TMCO4,ENSG00000162542,,,255104,IPI00299169,Hs.466729,Q5TGY1
ULBP3,ENSG00000131019,,,79465,,Hs.15422,Q9BZM4
NUDCD1,ENSG00000120526,,,84955,,Hs.380291,Q96RS6
PAWR,ENSG00000177425,,,5074,IPI00001871,Hs.643130,Q96IZ0
FHOD1,ENSG00000135723,,,29109,,Hs.95231,A0A068F7M9
XAGE5,ENSG00000171405,,,170627,,Hs.356874,Q3SY49
PRAMEF4,ENSG00000243073,ENSP00000235349,ENST00000235349,400735,,Hs.551617,O60810
EIF2AK1,ENSG00000086232,,,27102,,Hs.520205,Q9BQI3
ELOA3B,ENSG00000278674,ENSP00000479069,ENST00000611323,728929,IPI00735473,Hs.515381,Q3SY89
MT-ATP6,,,,,,,
TNRC6B,ENSG00000100354,,,23112,,Hs.372082,A0A024R1N5
OR13C6P,,,,392311,,,
unassigned,,,,,,,
DUXB,ENSG00000282757,ENSP00000491301,ENST00000633875,100033411,,,
AGK,ENSG00000006530,ENSP00000459752,ENST00000573803,55750,,Hs.685880,A4D1U5
TSSK1B,ENSG00000212122,ENSP00000375081,ENST00000390666,83942,,Hs.519507,A0ZT98
EXOC3-AS1,ENSG00000221990,,,116349,,Hs.446702,
TMEM18,ENSG00000151353,,,129787,,Hs.6729,Q96B42
FIBCD1,ENSG00000130720,,,84929,,Hs.133205,Q8N539
DEDD,ENSG00000158796,,,9191,,Hs.744092,O75618
CST1,ENSG00000170373,ENSP00000305731,ENST00000304749,1469,,Hs.123114,P01037
SPINK13,ENSG00000214510,ENSP00000421048,ENST00000512953,153218,,Hs.483771,Q1W4C9
PCDHA4,ENSG00000204967,,,56144,,Hs.199343,Q59H34
DYNC2H1,ENSG00000187240,,,79659,,Hs.503721,Q8NCM8
AES,ENSG00000104964,,,166,IPI00383169,Hs.515053,Q08117
BHLHA9,ENSG00000205899,ENSP00000375248,ENST00000391429,727857,IPI00394927,Hs.723790,Q7RTU4
AMOTL2,ENSG00000114019,,,51421,,Hs.426312,Q9Y2J4
SLC12A6,ENSG00000140199,,,9990,,Hs.510939,A0A024R9K8
TNFRSF1A,ENSG00000067182,ENSP00000441803,ENST00000534885,7132,,Hs.279594,P19438
GABRA5,ENSG00000186297,,,2558,IPI00012471,Hs.24969,P31644
PRCC,ENSG00000143294,,,5546,IPI00294618,Hs.516948,A0A0S2Z456
TM4SF19,ENSG00000145107,,,116211,,Hs.733264,B7ZW46
CTNNA2,ENSG00000066032,,,1496,,Hs.167368,P26232
TMEM30CP,ENSG00000235156,,ENST00000637814,644444,,Hs.652353,
MICU1,ENSG00000107745,,,10367,,Hs.524367,Q9BPX6
SIRPG,ENSG00000089012,,,55423,,Hs.590883,Q9P1W8
PSMA3,ENSG00000100567,,,5684,IPI00419249,Hs.558799,A0A140VK43
GPANK1,ENSG00000204438,ENSP00000401272,ENST00000433880,7918,,Hs.247478,A0A024RCU2
SBNO2,ENSG00000064932,ENSP00000488808,ENST00000631948,22904,,Hs.408708,Q9Y2G9
IL33,ENSG00000137033,,,90865,,Hs.731660,O95760
PTH2,ENSG00000142538,ENSP00000270631,ENST00000270631,113091,IPI00792227,Hs.339845,Q96A98
DBR1,ENSG00000138231,,,51163,,Hs.477700,Q9UK59
GATB,ENSG00000059691,,,5188,IPI00027228,Hs.119316,O75879
MUSK,ENSG00000030304,,,4593,,Hs.521653,O15146
PARP3,ENSG00000041880,,,10039,,Hs.271742,Q9Y6F1
DPY19L2P1,,,,554236,,Hs.594815,
PMCHL2,ENSG00000169040,,ENST00000631096,5370,,Hs.742169,
GPAT2,ENSG00000186281,,,150763,,Hs.348629,Q6NUI2
GPRIN3,ENSG00000185477,ENSP00000476603,ENST00000609438,285513,,Hs.100912,Q6ZVF9
HACL1,ENSG00000131373,,,26061,,Hs.63290,Q9UJ83
GCLM,ENSG00000023909,ENSP00000359258,ENST00000370238,2730,IPI00010090,Hs.315562,P48507
TPD52L2,ENSG00000101150,,,7165,,Hs.473296,O43399
TRIM51,ENSG00000124900,,,84767,,Hs.326734,Q9BSJ1
TRIM9,ENSG00000100505,,,114088,IPI00026828,Hs.654750,Q9C026
HOXC9,ENSG00000180806,ENSP00000423861,ENST00000504557,3225,IPI00644080,Hs.658823,A0A024RAZ6
PDS5B,ENSG00000083642,,,23047,,Hs.744901,Q9NTI5
LEF1,ENSG00000138795,ENSP00000265165,ENST00000265165,51176,,Hs.743478,Q659G9
OXA1L,ENSG00000155463,,,5018,IPI00014301,Hs.151134,J3KNA0
MYL12A,ENSG00000101608,,,10627,,Hs.190086,P19105
HES1,ENSG00000114315,ENSP00000232424,ENST00000232424,3280,IPI00030964,Hs.250666,Q14469
STRN,ENSG00000115808,,,6801,IPI00654594,Hs.127486,O43815
EPHA10,ENSG00000183317,,,284656,,Hs.129435,Q4G0R4
SMAD5,ENSG00000113658,,,4090,,Hs.167700,Q68DB7
PRB3,ENSG00000197870,ENSP00000488472,ENST00000632935,5544,IPI00006699,Hs.73031,A0A0G2JNB4
ALDH1L1,ENSG00000144908,,,10840,,Hs.434435,O75891
KRT73,ENSG00000186049,ENSP00000307014,ENST00000305748,319101,,Hs.55410,Q86Y46
DEFB106A,ENSG00000186579,ENSP00000335307,ENST00000335186,245909,,Hs.535925,Q8N104
SLC2A14,ENSG00000173262,,,144195,,Hs.655169,Q8TDB8
unassigned,,,,,,,
ZNF436-AS1,ENSG00000249087,,,148898,,Hs.61884,
INHBB,ENSG00000163083,ENSP00000295228,ENST00000295228,3625,IPI00297026,Hs.1735,P09529
CLMP,ENSG00000166250,,,79827,,Hs.591949,B4E3S3
FAM69C,,,,,,,
PNMA8A,ENSG00000182013,,,55228,,Hs.8395,Q86V59
COL9A3,ENSG00000092758,,,1299,IPI00289999,Hs.716639,Q14050
RNF103-CHMP3,ENSG00000249884,ENSP00000474823,ENST00000604011,100526767,,Hs.591582,Q9Y3E7
TRBV10-2,,,,28584,,,
PCNX4,ENSG00000126773,,,64430,,Hs.509499,Q63HM2
TBX18,ENSG00000112837,,,9096,,Hs.251830,O95935
C3orf85,ENSG00000241224,ENSP00000489642,ENST00000479039,401081,,Hs.280892,
PEX7,ENSG00000112357,,,5191,IPI00012577,Hs.280932,O00628
TMEM191B,ENSG00000278558,ENSP00000481358,ENST00000612978,728229,,Hs.376511,P0C7N4
CSHL1,ENSG00000204414,,,1444,IPI00022110,Hs.654390,A0A0B4J1R0
unassigned,,,,,,,
NPM2,ENSG00000158806,,,10361,,Hs.131055,Q86SE8
ATF6,ENSG00000118217,ENSP00000356919,ENST00000367942,22926,,Hs.492740,A8K383
FAM181A,ENSG00000140067,ENSP00000451802,ENST00000557719,90050,,Hs.525550,Q8N9Y4
LY6G5B,ENSG00000240053,ENSP00000365024,ENST00000375864,58496,,Hs.708719,A0A1U9X7Y3
BAHCC1,ENSG00000266074,ENSP00000462154,ENST00000584436,57597,,Hs.514580,A0A075B747
GPR149,ENSG00000174948,ENSP00000374390,ENST00000389740,344758,,Hs.376338,Q2MKA6
unassigned,,,,,,,
KIAA1841,ENSG00000162929,,,84542,,Hs.468653,Q6NSI8
IRF2BPL,ENSG00000119669,ENSP00000238647,ENST00000238647,64207,,Hs.179260,Q9H1B7
OR8K3,ENSG00000280314,ENSP00000493271,ENST00000641662,219473,,Hs.553629,Q8NH51
LRCH3,ENSG00000186001,,,84859,,Hs.518414,B4DU23
COQ3,ENSG00000132423,,,51805,IPI00418414,Hs.713623,Q9NZJ6
