"GID","UNIPROT"
"NCU07562","Q7S1Z1"
"NCU00706","Q7RVK8"
"NCU03757","Q1K7B7"
"NCU04331","O59953"
"NCU02707","Q7SH22"
"NCU04068","Q7RZF0"
"NCU07829","Q7SBD5"
"NCU04779","Q7S630"
"NCU02744","Q7SGA6"
"NCU01301","Q9HEG2"
"NCU07864","Q7SBU5"
"NCU00105","Q7RYM3"
"NCU09371","Q7RVJ3"
"NCU08199","Q7RV07"
"NCU01728","V5INJ7"
"NCU01178","V5IMV9"
"NCU11370","A7UX45"
"NCU00837","Q7SCJ4"
"NCU03100","Q7SFZ4"
"NCU00087","Q7RYP0"
"NCU07143","Q7S6A9"
"NCU02420","V5IKK6"
"NCU08706","Q1K8W2"
"NCU01809","Q1K540"
"NCU03823","Q1K7F2"
"NCU07276","Q7S940"
"NCU08056","Q7SGM7"
"NCU03776","F5HEB1"
"NCU09830","Q7S1R2"
"NCU04097","Q1K6V7"
"NCU01997","Q7SFN4"
"NCU04021","Q7RZJ1"
"NCU02544","Q7SHS0"
"NCU05226","Q7S8I2"
"NCU00290","Q7RZS4"
"NCU06382","Q7S9G5"
"NCU05591","Q7S6X2"
"NCU06927","Q7S3C6"
"NCU08356","Q7SGQ9"
"NCU01378","Q1K704"
"NCU00446","Q7RXZ8"
"NCU09703","Q7S2S3"
"NCU07982","V5INN6"
"NCU08771","F5HBC9"
"NCU01666","Q1K5I3"
"NCU02571","Q7SHP4"
"NCU09732","Q7SEJ3"
"NCU08535","Q7SBL5"
"NCU09770","P15937"
"NCU06836","P16929"
"NCU05410","Q9P3I3"
"NCU02227","Q7S4G6"
"NCU04340","V5IMF5"
"NCU04583","Q1K655"
"NCU09474","Q7SC07"
"NCU07589","Q7SBG7"
"NCU09283","Q7S1M4"
"NCU04494","Q7RYB3"
"NCU00710","Q7SET6"
"NCU04870","Q7S375"
"NCU09664","Q7S259"
"NCU03181","Q7SEV1"
"NCU05159","Q1K583"
"NCU06460","Q7RYV9"
"NCU03404","Q1K5F7"
"NCU04205","Q1K7D2"
"NCU00977","Q7SGE5"
"NCU02366","Q7S4W0"
"NCU04280","Q1K789"
"NCU07617","Q7SB37"
"NCU05733","P78704"
"NCU04173","P78711"
"NCU07171","Q1K5W6"
"NCU10073","Q7S016"
"NCU11176","A7UVU1"
"NCU06347","Q7S9V9"
"NCU06171","Q7SAT8"
"NCU08468","Q7RVZ1"
"NCU04247","P38673"
"NCU01161","Q1K869"
"NCU02781","Q7SE13"
"NCU09572","Q7S4M8"
"NCU01918","Q7SH88"
"NCU03438","Q1K5B4"
"NCU01756","P78712"
"NCU02555","Q7SHR0"
"NCU05587","Q7S6X6"
"NCU06238","Q7SBR8"
"NCU08267","Q7S8K0"
"NCU02687","Q7SH42"
"NCU08427","Q1K8P6"
"NCU09133","Q7S2L6"
"NCU06185","Q7SBI6"
"NCU09858","Q7S1A7"
"NCU04130","Q1K7M2"
"NCU05008","P11943"
"NCU06543","Q7S9I3"
"NCU02287","Q7S582"
"NCU09885","V5IQA9"
"NCU08924","Q1K6J3"
"NCU01181","Q1K855"
"NCU05259","Q7S8C6"
"NCU03929","Q1K5Y9"
"NCU04380","Q7RZ92"
"NCU00580","Q7SI70"
"NCU16374","V5IQJ6"
"NCU02027","Q9HFJ5"
"NCU01014","Q1K8D4"
"NCU11282","A7UWE5"
"NCU08231","Q7S3L2"
"NCU02896","Q7SHK8"
"NCU03931","Q7RV02"
"NCU04866","Q7S379"
"NCU09739","Q7SEI6"
"NCU06834","Q7SCH0"
"NCU04345","Q7RX31"
"NCU03998","Q7RZK0"
"NCU02090","Q7SCM0"
"NCU06876","Q7S3H7"
"NCU00438","Q7RXS1"
"NCU04642","V5IL15"
"NCU00414","Q7RYP8"
"NCU07930","V5INR2"
"NCU08377","Q01631"
"NCU01550","Q9HE76"
"NCU10220","A7UWZ4"
"NCU06187","Q7SBI4"
"NCU09789","Q7S604"
"NCU08008","Q7SAN3"
"NCU09896","Q7S203"
"NCU00736","Q7SEE2"
"NCU03669","Q9P6V8"
"NCU03989","Q7RXJ3"
"NCU09477","P02723"
"NCU16511","V5IPQ6"
"NCU08568","Q7SB27"
"NCU08340","Q7RVM2"
"NCU08989","Q7S2Y0"
"NCU07173","Q1K5W4"
"NCU06105","Q7S5I2"
"NCU00333","U9W8J7"
"NCU08618","Q7SFK1"
"NCU00218","Q7RXK9"
"NCU08167","Q7S4I3"
"NCU06062","Q7S4Y8"
"NCU07240","V5ILS1"
"NCU09071","Q7SFS8"
"NCU11320","A7UWS8"
"NCU01348","Q1K7T0"
"NCU11220","A7UW18"
"NCU11219","A7UW17"
"NCU04087","Q7RWM2"
"NCU06880","Q7S3H3"
"NCU03973","Q7RZ96"
"NCU01821","Q7RWC1"
"NCU02566","Q7SHP9"
"NCU00535","Q7SDK9"
"NCU07042","V5IMP1"
"NCU11325","A7UWT6"
"NCU06303","Q7SAC7"
"NCU09035","Q7S2U0"
"NCU02850","Q7RV37"
"NCU01754","Q9P6C8"
"NCU02476","Q7SG88"
"NCU07053","Q7S5U4"
"NCU03348","Q1K522"
"NCU09648","Q7S275"
"NCU03415","Q1K5E9"
"NCU00378","Q7RYT1"
"NCU01703","Q1K5H0"
"NCU11289","A7UWH8"
"NCU01759","Q1K5R1"
"NCU08516","Q7SBX7"
"NCU08398","Q7SC22"
"NCU01233","Q1K822"
"NCU04510","Q7RY53"
"NCU02969","F5HHR5"
"NCU03801","Q1K7G9"
"NCU01376","Q1K706"
"NCU08997","U9W3G5"
"NCU05340","Q1K8J1"
"NCU11182","U9W8K6"
"NCU02653","Q7SH75"
"NCU07140","Q7S6B2"
"NCU01816","P18407"
"NCU02296","Q7S574"
"NCU00499","Q7SE74"
"NCU03320","Q7SEM4"
"NCU09028","Q7S2U7"
"NCU02235","V5IMQ2"
"NCU02091","Q7SCL9"
"NCU02778","Q7SE16"
"NCU03134","Q7SDV6"
"NCU07269","Q7S947"
"NCU01059","Q1K8A8"
"NCU05836","Q7S5K7"
"NCU07067","Q7S6F6"
"NCU04798","Q7S6N7"
"NCU06166","Q7S5C2"
"NCU01388","Q1K6Z7"
"NCU05680","Q7SAY4"
"NCU06541","Q7S9I5"
"NCU03503","Q8X0H8"
"NCU08473","Q7RV24"
"NCU04691","Q7S5U0"
"NCU11405","A7UXC7"
"NCU08132","Q7S4J9"
"NCU02478","Q7SG86"
"NCU03317","Q7SEM7"
"NCU05916","Q7S0Y8"
"NCU07027","Q7S9A9"
"NCU08232","Q7S3L1"
"NCU07338","Q7SA25"
"NCU06762","Q1K8S8"
"NCU03055","Q7SCI8"
"NCU06429","Q7RYY6"
"NCU09805","Q7SDJ6"
"NCU08131","Q7S4K0"
"NCU08436","Q1K8N9"
"NCU03158","Q7SEX3"
"NCU06700","Q1K738"
"NCU17176","V5IKC2"
"NCU06332","Q7SA99"
"NCU05161","Q7S8H2"
"NCU02904","Q7SHK0"
"NCU04884","Q7S082"
"NCU02550","Q7SHR5"
"NCU04674","F5HHN2"
"NCU09281","Q7S1M6"
"NCU02583","V5IP80"
"NCU06523","Q7S8A4"
"NCU07860","Q7SBU9"
"NCU07351","Q7S165"
"NCU07819","Q7SBE5"
"NCU09738","Q7SEI7"
"NCU02343","Q7S412"
"NCU10030","V5IRT2"
"NCU07404","Q7S1L0"
"NCU04099","Q1K6V5"
"NCU00052","Q7RWS0"
"NCU09775","Q7S187"
"NCU09170","Q7S345"
"NCU00469","Q7RXX6"
"NCU04885","Q7S081"
"NCU05027","Q7RX61"
"NCU04645","Q1K6G9"
"NCU08980","Q7S2Y9"
"NCU04874","Q7S371"
"NCU03352","Q1K521"
"NCU07953","Q01355"
"NCU01953","Q7SDY4"
"NCU07176","Q1K5W2"
"NCU06400","Q7S9E7"
"NCU09670","V5IL04"
"NCU09844","Q7S0G8"
"NCU03605","Q1K7S0"
"NCU00722","V5IRQ2"
"NCU06058","Q7S4Z2"
"NCU03948","Q7RU99"
"NCU04216","F5HFP2"
"NCU05518","Q7S6S1"
"NCU05933","Q7S0P0"
"NCU01678","V5INB5"
"NCU09406","Q7S286"
"NCU08925","Q1K6J2"
"NCU07682","Q1K8F6"
"NCU03557","Q1K4W2"
"NCU05776","V5IKP7"
"NCU00765","O59942"
"NCU07129","Q7S6C3"
"NCU03509","Q1K4N1"
"NCU01481","Q7RXV1"
"NCU08066","Q7SGL7"
"NCU05775","Q7S5R8"
"NCU02802","Q01356"
"NCU02727","Q7SGC2"
"NCU09228","Q7S394"
"NCU02319","Q7S416"
"NCU11146","A7UWJ7"
"NCU08011","Q7SAN0"
"NCU03500","F5HES1"
"NCU06113","Q7S5H5"
"NCU05843","Q7S5K0"
"NCU03257","Q7SEH0"
"NCU06613","Q7S9Q2"
"NCU01065","Q1K8A3"
"NCU00239","U9W365"
"NCU00129","Q7RWW3"
"NCU00608","Q7SI43"
"NCU02107","Q7SDM6"
"NCU02979","F5HH09"
"NCU01069","Q7S814"
"NCU05873","Q7S535"
"NCU06651","Q1K6M9"
"NCU06586","Q7S8M8"
"NCU08731","V5IPP3"
