"GID","UNIPROT"
"NCU06801","F5HBR2"
"NCU03347","Q1K523"
"NCU04528","P06811"
"NCU05113","Q7RYF6"
"NCU02201","Q7S4C0"
"NCU09279","Q7S1M8"
"NCU05604","Q7S6W1"
"NCU09023","Q7S2V2"
"NCU01866","Q7SHE0"
"NCU04815","Q7S6M0"
"NCU16021","M1RV35"
"NCU16026","M1RV38"
"NCU00944","Q7SGH8"
"NCU07023","V5IMN4"
"NCU01106","Q1K874"
"NCU01066","P23623"
"NCU03010","Q1K933"
"NCU00643","Q7SI09"
"NCU03815","Q1K7G0"
"NCU05624","Q7S5Y2"
"NCU04983","Q7S102"
"NCU02417","Q7S4E2"
"NCU00526","Q7SDL8"
"NCU07920","Q7S9Z8"
"NCU03498","Q1K4N8"
"NCU04593","Q7S065"
"NCU06085","Q7S487"
"NCU04653","Q1K6G2"
"NCU05651","Q7S609"
"NCU06242","Q7SBR5"
"NCU01165","Q1K865"
"NCU08439","Q1K8N7"
"NCU04479","Q7RYC8"
"NCU07993","Q7SAP7"
"NCU00046","U9WGL9"
"NCU03462","Q7RWJ3"
"NCU09463","P10857"
"NCU03814","P15181"
"NCU06732","Q7S785"
"NCU05897","Q7S511"
"NCU07064","Q7S6F9"
"NCU05594","Q7S6W9"
"NCU02689","Q7SH40"
"NCU09812","Q7SDI9"
"NCU07101","Q7S674"
"NCU07081","Q7S6E3"
"NCU03639","V5IL32"
"NCU04475","Q7RYD2"
"NCU07059","Q7S5V8"
"NCU03903","Q1K601"
"NCU07691","Q7S828"
"NCU01112","Q1K771"
"NCU06655","Q1K6M6"
"NCU04621","Q7S0U2"
"NCU00565","Q7SF84"
"NCU00596","Q7SI55"
"NCU05421","V5IQZ2"
"NCU00720","Q7SES6"
"NCU04539","Q7RWG9"
"NCU07362","Q7S0C1"
"NCU02663","Q7SH66"
"NCU00377","Q7RYT2"
"NCU08977","Q7S2Z2"
"NCU06063","Q7S4Y7"
"NCU01654","Q7RWZ6"
"NCU06032","Q7S4F3"
"NCU08860","Q8X0Q1"
"NCU02468","Q7SG95"
"NCU00008","Q7RY97"
"NCU08303","Q7SA85"
"NCU05261","Q7S8C4"
"NCU04165","Q1K6P5"
"NCU07925","V5IN46"
"NCU09532","Q7RZZ0"
"NCU09041","Q7S2T4"
"NCU11258","A7UWA6"
"NCU09120","Q7S2M8"
"NCU04020","Q1K609"
"NCU07486","Q7SG55"
"NCU04947","Q7S3S0"
"NCU05319","Q7S8L5"
"NCU08298","Q7SA89"
"NCU03141","O42790"
"NCU03768","V5ILF4"
"NCU08276","Q7S8J1"
"NCU00701","Q7SEU4"
"NCU00931","V5IQZ1"
"NCU07454","Q7SF01"
"NCU02558","Q7SHQ7"
"NCU07430","Q7SF22"
"NCU07816","Q7SBE8"
"NCU04405","Q7RZ69"
"NCU06193","Q9P353"
"NCU07343","V5IMS8"
"NCU06847","Q1K8K6"
"NCU08425","Q1K8H4"
"NCU07199","Q1K5U7"
"NCU09913","Q7S143"
"NCU06211","U9WGI5"
"NCU04899","Q7S1D6"
"NCU04122","F5HG64"
"NCU05586","V5ILE7"
"NCU10007","P28345"
"NCU00652","Q7SI00"
"NCU00658","Q7SHZ4"
"NCU02906","Q7SHJ8"
"NCU04010","Q1K616"
"NCU12154","V5INJ3"
"NCU09034","Q7S2U1"
"NCU07483","Q1K928"
"NCU06319","Q7SAB2"
"NCU04262","Q1K7I4"
"NCU08127","Q7S4K4"
"NCU03770","Q1K7A8"
"NCU09937","Q7RUC1"
"NCU02216","Q7S3X3"
"NCU02635","Q7SDH5"
"NCU08024","Q7SAL7"
"NCU08939","Q1K6S3"
"NCU07318","Q7SA44"
"NCU06003","Q7RVR8"
"NCU02322","Q7S4U2"
"NCU07165","Q870Y1"
"NCU05700","Q7SBN8"
"NCU03657","V5INU3"
"NCU06792","Q1K8Y2"
"NCU03213","Q7SGV6"
"NCU07472","Q7SCP3"
"NCU11399","A7UXA5"
"NCU00193","Q7RX94"
"NCU04454","Q7RWB2"
"NCU01912","V5IP53"
"NCU09332","Q7SD53"
"NCU06593","Q7S9S2"
"NCU06419","Q7RYZ6"
"NCU02234","V5IKG9"
"NCU03071","Q1K904"
"NCU00455","Q7RXY9"
"NCU06182","Q7RVY6"
"NCU07720","Q7S8R9"
"NCU04672","V5IL08"
"NCU05768","Q7S4Q5"
"NCU01958","P19392"
"NCU01959","Q10115"
"NCU01960","Q10116"
"NCU07066","Q7S6F7"
"NCU01479","Q7RVQ0"
"NCU06194","Q7SBH9"
"NCU04207","Q1K7D0"
"NCU04325","Q1K715"
"NCU00220","Q7RXK7"
"NCU04135","Q1K7L9"
"NCU00962","Q7SGG0"
"NCU03962","Q7RZA6"
"NCU09112","Q7S154"
"NCU03058","Q7SCK1"
"NCU00628","Q7SI24"
"NCU09616","Q1K8M6"
"NCU01475","Q6MW04"
"NCU05263","Q7S8C2"
"NCU00569","Q7SF81"
"NCU07329","Q7SA34"
"NCU00998","Q7S824"
"NCU03809","Q9HED8"
"NCU05944","Q7S2D4"
"NCU08365","Q7SGQ0"
"NCU02253","V5IL42"
"NCU01120","Q1K767"
"NCU01510","Q1K5K5"
"NCU08064","Q7SGL9"
"NCU09079","V5IPY0"
"NCU02540","Q7SHS4"
"NCU09434","Q1K660"
"NCU04561","F5H8Z6"
"NCU07286","Q7S981"
"NCU00795","Q7SFT6"
"NCU00916","V5IQD9"
"NCU07986","Q7SAQ3"
"NCU05735","Q7SB78"
"NCU06077","Q7S3X1"
"NCU03402","Q7RY09"
"NCU09767","Q7S194"
"NCU05580","Q7S6Y3"
"NCU02220","Q7S4H3"
"NCU08931","V5ILQ3"
"NCU00172","Q7RXB5"
"NCU09882","Q7S232"
"NCU02400","Q7S4N5"
"NCU05077","Q7RWK7"
"NCU02116","Q7SCY8"
"NCU02376","Q7S4V1"
"NCU07111","Q7S664"
"NCU07133","Q7S6B9"
"NCU07044","Q7S992"
"NCU06618","Q7S9P7"
"NCU06375","Q7S9T1"
"NCU09859","Q7S5Z5"
"NCU02020","Q7SFL2"
"NCU05561","P02807"
"NCU04328","Q7S7K9"
"NCU10015","V5IKC9"
"NCU06923","Q7S3D0"
"NCU04306","Q7S7L7"
"NCU04942","Q7S3S5"
"NCU10675","A7UWS5"
"NCU07754","Q7S1S4"
"NCU10020","Q7S0I6"
"NCU06512","Q1K5P6"
"NCU04313","Q7S7L3"
"NCU07451","Q7SF04"
"NCU05216","Q7S9B8"
"NCU09865","Q7S5Y9"
"NCU09815","Q7SCQ2"
"NCU00591","V5IR53"
"NCU02127","Q7SE48"
"NCU00963","V5IRP0"
"NCU09545","Q7S2B6"
"NCU07690","Q7S830"
"NCU09266","Q7SF44"
"NCU02226","Q7S4G7"
"NCU09264","Q7SF46"
"NCU02648","Q7SH80"
"NCU05301","Q7S8Z9"
"NCU07906","Q7SA11"
"NCU10761","V5IP61"
"NCU00777","Q7SFV3"
"NCU01598","F5HCY5"
"NCU03692","Q1K802"
"NCU01148","F5HIK8"
"NCU00646","V5IRQ7"
"NCU04647","Q1K6G8"
"NCU04695","Q7S5X2"
"NCU03633","Q1K7Q1"
"NCU04391","Q7RZ82"
"NCU08858","Q7S7L9"
"NCU02023","Q7SF41"
"NCU03789","Q7S7S4"
"NCU01095","Q1K880"
"NCU03468","Q1K517"
"NCU07169","Q1K5W7"
"NCU11342","A7UWW8"
"NCU00801","Q7SCU1"
"NCU06522","Q7S871"
"NCU01868","Q7SHD8"
"NCU00298","Q7RZR6"
"NCU06167","Q7S5C1"
"NCU05089","Q1K5P3"
"NCU05045","Q7RX43"
"NCU10021","Q7S0I5"
"NCU00809","Q7SEC5"
"NCU01132","F5HC09"
"NCU01411","Q1K6U3"
"NCU07668","Q7S9N2"
"NCU09444","Q7S1X1"
"NCU05207","Q7S9C6"
"NCU00306","Q7RZQ8"
"NCU04886","Q7S080"
"NCU06860","Q7S0F5"
"NCU09551","Q7S2B0"
"NCU06846","Q7SC67"
"NCU07620","Q7SB34"
"NCU05079","Q7RWK5"
"NCU08738","Q7SCF7"
"NCU07375","Q7S2I7"
"NCU04809","Q7S6M6"
"NCU05585","Q7S6X8"
"NCU00988","Q7SD36"
"NCU06384","Q7S9G3"
"NCU01494","Q1K4Q4"
"NCU05853","Q7S555"
"NCU09640","Q7S0T6"
"NCU09912","Q7S144"
"NCU06159","Q7S5C9"
"NCU07960","Q7S925"
"NCU07609","Q7SB45"
"NCU05394","Q1K8S1"
"NCU04656","Q1K6F9"
"NCU00226","Q7RZY5"
"NCU08407","Q7SC46"
"NCU03107","Q7SFY7"
"NCU07985","Q7SAQ4"
"NCU07938","Q7S9Y0"
"NCU05519","Q7S6S0"
"NCU09458","V5IL88"
"NCU08428","Q7SC88"
"NCU00803","V5IR12"
"NCU00195","Q7RX92"
"NCU09811","Q7SDJ0"
"NCU01968","Q7SE92"
"NCU06341","V5INH0"
"NCU09027","Q7S2U8"
"NCU09654","Q7S269"
"NCU04374","Q7RWQ6"
"NCU09678","Q1K6Q7"
"NCU10987","A7UW65"
"NCU05884","Q7S524"
"NCU11088","V5INN2"
"NCU00518","Q7SE55"
"NCU02064","Q7SEZ9"
"NCU06495","Q7RYI0"
"NCU01024","F5HFS6"
"NCU00894","Q7SFD8"
"NCU03598","F5HCQ1"
"NCU11313","A7UWR4"
"NCU06277","Q7SB64"
"NCU00243","Q7RZW8"
"NCU06468","Q7RYV1"
"NCU11174","A7UVT6"
"NCU02481","Q7SG83"
"NCU04837","Q7S6J8"
"NCU06542","Q7S9I4"
"NCU02419","Q7S4E0"
"NCU00564","Q7SF85"
"NCU02804","Q7SEK9"
"NCU05459","Q1K8Q9"
"NCU04008","Q1K618"
"NCU04481","Q7RYC6"
"NCU06371","Q7S9T5"
"NCU02269","Q7S597"
"NCU02946","V5IR83"
"NCU07478","Q7SCR2"
"NCU08278","Q7S8I9"
"NCU01241","Q1K816"
"NCU06662","Q1K6Z2"
"NCU02337","Q7S4S8"
"NCU07927","Q7S9Z1"
"NCU03561","Q1K4V9"
"NCU08326","Q7SA63"
"NCU01916","Q7SH90"
"NCU03921","Q1K5Z4"
"NCU03231","Q7SGT9"
"NCU03767","Q1K7B1"
"NCU09754","Q7S0W3"
"NCU09809","Q7SDJ2"
"NCU01514","Q1K5K2"
"NCU07824","Q7SBE0"
"NCU02067","Q7SEZ6"
"NCU00357",
"NCU07724","Q7S8R5"
"NCU05196","V5IP41"
"NCU01689","V5INA9"
"NCU01255","F5HC00"
"NCU00655","V5IR42"
"NCU09598","Q873L8"
"NCU01102","Q7RVX1"
"NCU05313","Q7S8M1"
"NCU04180","Q1K7E7"
"NCU05517","Q7S6S2"
"NCU00527","Q7SDL7"
"NCU02973","Q96U08"
"NCU02123","Q7SE52"
"NCU04149","Q1K7K9"
"NCU01454","A3RNH6"
"NCU02623","Q7SFZ7"
"NCU00930","Q9C0N3"
"NCU06244","Q7SBR3"
"NCU00075","Q7RX75"
"NCU05515","Q7S6S4"
"NCU05623","P59670"
"NCU08810","Q7S8S5"
"NCU03798","Q9C1E8"
"NCU00371","U9W395"
"NCU03229","Q1K930"
"NCU02943","Q874C1"
"NCU07295","Q9C0Q7"
"NCU11311","Q9Y8C0"
"NCU00198","Q8J1Z1"
"NCU01101","Q8X0G8"
"NCU04429","Q7RZ45"
"NCU06632","P35848"
"NCU00431","Q07335"
"NCU01179","P24391"
"NCU04245","P23231"
"NCU09091","Q7SFQ9"
"NCU00107","Q7RYM1"
"NCU17017","V5IN95"
"NCU16791","V5IQ41"
"NCU02690","Q7SH39"
"NCU02063","Q7SDD5"
"NCU04945","Q7S3S2"
"NCU05813","Q7S5N0"
"NCU01473","Q7RXV8"
"NCU01041","Q1K8C3"
"NCU07879","Q7SB14"
"NCU01304","Q7RVW2"
"NCU05225","Q7RVX4"
"NCU00030","Q7RY75"
"NCU05593","V5ILE4"
"NCU01401","V5IPB4"
"NCU04304","P07144"
"NCU07884","Q7SB09"
"NCU01501","F5HBQ5"
"NCU06031","Q7S4F4"
"NCU05390","Q1K8S4"
"NCU07465","V5IPW8"
"NCU01272","Q7S7C0"
"NCU06270","P23955"
"NCU02549","P11913"
"NCU09327","P47950"
"NCU02267","V5IMN7"
"NCU02507","Q7SHV4"
"NCU03155","Q7SEX6"
"NCU08794","Q7RWX0"
"NCU16821","V5IP70"
"NCU03966","Q7RZA2"
"NCU06450","Q7RYW8"
"NCU08120","Q7SD06"
"NCU07549","Q7S300"
"NCU00952","Q7SGH0"
"NCU08728","Q1K8V2"
"NCU08329","Q7SA60"
"NCU03516","Q1K4P1"
"NCU03230","Q7SGU0"
"NCU10311","A7UXE7"
"NCU07384","Q7S2H8"
"NCU06103","Q7S5I4"
"NCU05270","Q7S829"
"NCU00136","Q7RWV7"
"NCU05075","Q7RWK9"
"NCU03008","Q9P3Q9"
"NCU07955","Q7S930"
"NCU02423","Q7S4D6"
"NCU09842","Q7RVR1"
"NCU02393","V5IKE7"
"NCU07024","Q96TL5"
"NCU00587","V5IQK3"
"NCU04612","V5ILY0"
"NCU01389","Q1K6Z6"
"NCU07505","Q7SG37"
"NCU06272","Q7SB69"
"NCU01007","Q1K8E0"
"NCU12023","V5ILE0"
"NCU06958","Q7SAJ1"
"NCU00599","Q7SI52"
"NCU08296","Q7SA90"
"NCU05717","Q7SB95"
"NCU03237","Q7SGT3"
"NCU03065","Q7SCS6"
"NCU08068","Q7SGL5"
"NCU05781","Q7S5R2"
"NCU10043","V5IRN2"
"NCU01353","Q1K7S6"
"NCU06213","U9W4M7"
"NCU10226","Q7S589"
"NCU08609","Q7SFK9"
"NCU07674","Q7S9M7"
"NCU03314","V5IR30"
"NCU07121","Q7S6D1"
"NCU00498","Q7RW32"
"NCU02777",
"NCU08824","Q7S8Z1"
"NCU03170","Q7SEW2"
"NCU08375","Q7SGP0"
"NCU07094","Q7S681"
"NCU10031","Q7S0E7"
"NCU00955","Q7SGG7"
"NCU07224","Q1K5S9"
"NCU06153","Q7S5D5"
"NCU08315","Q7SA73"
"NCU07055","Q7S5W2"
"NCU08747","Q7SCE8"
"NCU05059","Q7RXC5"
"NCU04537","Q7RWH1"
"NCU04098","Q1K6V6"
"NCU07481","Q7SG59"
"NCU11406","A7UXC8"
"NCU02496","Q7SG68"
"NCU08363","Q7SGQ2"
"NCU04321","Q1K719"
"NCU09435","Q7S1Y0"
"NCU08353","Q7SGR2"
"NCU00768","Q7SFW1"
"NCU03971","Q7RZ98"
"NCU06260","Q7SB53"
"NCU06314","Q7SAB7"
"NCU01696","Q7RY24"
"NCU00395","Q7RYR5"
"NCU06921","Q7S3D2"
"NCU10810","A7UW79"
"NCU03860","Q7RW74"
"NCU02932","Q7SHH2"
"NCU03217","Q7SGV2"
"NCU04307","Q1K726"
"NCU06719","Q1K6X2"
"NCU09580","Q7S4M0"
"NCU08956","Q1K6L0"
"NCU05726","Q7SB86"
"NCU04161","Q1K7K1"
"NCU09975","V5IP78"
"NCU06011","Q7S2E6"
"NCU00711","Q7SET5"
"NCU07546","Q7RVS1"
"NCU00754","Q7SDR9"
"NCU06519","Q7S874"
"NCU01201","Q8X0S4"
"NCU00200","P00908"
"NCU02611","Q7SG09"
"NCU01422","Q871W6"
"NCU06307","Q7SAC3"
"NCU06577","Q1K8E6"
"NCU07440","Q7RW07"
"NCU02379","Q7S4U8"
"NCU06010","V5IM84"
"NCU09373","Q7SCN8"
"NCU07407","Q7S0U7"
"NCU10895","A7UVX1"
"NCU02895","Q7SHK9"
"NCU00548","Q7SFA0"
"NCU07834","Q7SBD1"
"NCU01706","Q1K5G7"
"NCU01312","O13493"
"NCU03859","Q7RW75"
"NCU01252","Q1K6K2"
"NCU00089","U9WGN3"
"NCU09567","Q7S427"
"NCU08856","Q1K733"
"NCU02111","Q7SDM3"
"NCU01440","V5INB2"
"NCU01413","Q1K6U1"
"NCU06617","Q7S9P8"
"NCU00551","Q7SF97"
"NCU06336","Q7S9X0"
"NCU09718","Q7S2Q8"
"NCU06285","Q7SAE5"
"NCU04725","Q7S6H9"
"NCU02255","V5IL40"
"NCU01276","Q7S7B6"
"NCU08944","V5IM13"
"NCU16472","V5IRS1"
"NCU00905","Q7SCV1"
"NCU04092","Q7RWL7"
"NCU17083","V5ILZ6"
"NCU08882","Q7S754"
"NCU09533","Q7S061"
"NCU09794","Q7S5Z9"
"NCU08048","Q7SAJ3"
"NCU05973","V5IM98"
"NCU00360","Q7RZK6"
"NCU07468","Q7SD38"
"NCU00884","Q7SFE7"
"NCU01177","Q1K857"
"NCU04078","Q7RZE2"
"NCU00523","Q7SCL4"
"NCU06518","Q7S875"
"NCU00216","Q7RXL1"
"NCU03112","Q7SFY2"
"NCU00278","Q7RZT6"
"NCU01142","V5IL87"
"NCU00293","Q7RZS1"
"NCU01467","Q7RXW4"
"NCU03156","Q07842"
"NCU09002","Q7S2W8"
"NCU01360","Q1K6N5"
"NCU04753","Q7S6A0"
"NCU03093","Q03015"
"NCU00418","P42114"
"NCU09299","Q7S1I2"
"NCU00969","P42116"
"NCU00484","Q7RWU3"
"NCU03953","O47950"
"NCU09460","Q7S0L7"
"NCU02472","P21976"
"NCU01859","Q02854"
"NCU08930","P19968"
"NCU02280","P25710"
"NCU05221","P25711"
"NCU05009","Q12644"
"NCU01169","P40915"
"NCU05299","P24919"
"NCU04074","P23710"
"NCU02373","P25284"
"NCU02534","P22142"
"NCU04044","P24917"
"NCU00160","Q7RXP8"
"NCU01765","P24918"
"NCU00670","P42117"
"NCU04781","Q7S628"
"NCU11348","Q7RZ09"
"NCU16018","P08774"
"NCM007",
"NCU16007","Q35141"
"NCU16020","P0CY44"
"NCU16008","P05509"
"NCM001",
"NCU16004","P0CY45"
"NCU07783","Q7S256"
"NCU03741","Q1K7X2"
"NCU03267","Q7SEG1"
"NCU04823","V5IN22"
"NCU02299","Q7S571"
"NCU03651","V5IL35"
"NCU01704","Q1K5G9"
"NCU08005","Q7SAN6"
"NCU09741","Q7SEI4"
"NCU07452","Q7SF03"
"NCU09447","Q7S1W8"
"NCU09727","Q7SEJ6"
"NCU08070","Q7SGL3"
"NCU02110","Q7RW00"
"NCU10775","V5IKM9"
"NCU07850","Q7SBV8"
"NCU01195","P00369"
"NCU01140","Q7RV12"
"NCU00461","P00365"
"NCU01724","Q1K4T7"
"NCU12156","V5IKW5"
"NCU00430","Q7RXS9"
"NCU06619","P38680"
"NCU08147","Q7RVS6"
"NCU00635","Q7SI17"
"NCU03148","Q7SDU4"
"NCU02532","V5IP93"
"NCU09006","U9W3H6"
"NCU08040","V5IQD6"
"NCU03610","Q1K7R7"
"NCU03309","Q7SEN5"
"NCU04379","Q7RZ93"
"NCU02464","Q7RW14"
"NCU08880","Q7S756"
"NCU04721","Q7S6I3"
"NCU10359","A7UWF2"
"NCU05071","Q7RWL3"
"NCU04221","O42783"
"NCU03273","Q7SEF5"
"NCU03040","Q7SDG8"
"NCU08225","Q7S3L8"
"NCU09855","Q7S1B0"
"NCU04019","Q1K610"
"NCU01500","V5IR55"
"NCU02998","V5IQA5"
"NCU04090","Q7RWL9"
"NCU08948","V5IMU7"
"NCU03125","Q7SFX0"
"NCU04570","Q1K666"
"NCU08092","Q7SGJ2"
"NCU09205","Q7S3A5"
"NCU05298","P08619"
"NCU07205","Q7RZ10"
"NCU05757","Q7S4R5"
"NCU06726","Q1K6W7"
"NCU12087","V5ILY9"
"NCU00437","Q7RXS2"
"NCU04720","P38681"
"NCU08294","P28349"
"NCU09068","P19212"
"NCU04158","P23762"
"NCU03949","Q01284"
"NCU03696","Q1K7Z9"
"NCU07936","Q7S9Y2"
"NCU07089","Q7S686"
"NCU09403","Q7S289"
"NCU09169","Q7S346"
"NCU00308","Q7RZQ6"
"NCU05137","Q1K5A2"
"NCU01752","Q1K5R4"
"NCU07817","Q7SBE7"
"NCU02948","Q7SHF6"
"NCU00716","Q7SET0"
"NCU00586","V5IRF3"
"NCU04639","Q1K6H5"
"NCU09995","Q7S045"
"NCU04463","Q7RYE4"
"NCU07119","Q7S6D3"
"NCU08441","Q1K8N5"
"NCU04465","Q7RYE2"
"NCU00503","Q7SE70"
"NCU05267","Q7S858"
"NCU01939","Q7SDN4"
"NCU03372","Q1K4Z8"
"NCU03200","V5IRL0"
"NCU04747","Q7S6A6"
"NCU00406","Q7RYQ4"
"NCU04566","Q7RVR5"
"NCU07280","Q7RVX6"
"NCU08903","Q7S0A5"
"NCU07723","Q7S8R6"
"NCU00649","Q7SI03"
"NCU10683","A7UWL5"
"NCU02666","Q7SH63"
"NCU01738","Q06712"
"NCU07874","Q7SAS0"
"NCU00210","Q7RXL6"
"NCU06216","Q7SBA7"
"NCU09063","Q7S1T6"
"NCU08566","O13335"
"NCU04312","Q7S7L4"
"NCU04534","Q7RY30"
"NCU03137","Q7SDV3"
"NCU02387","Q7S4P7"
"NCU07290","Q7S977"
"NCU03092","Q7SCZ4"
"NCU03621","Q1K7R2"
"NCU02588","V5IQG2"
"NCU02633","Q7SDH7"
"NCU16397","V5IQ11"
"NCU09744","Q7SEI1"
"NCU01702","Q7RVQ2"
"NCU02406","Q7S478"
"NCU00213","Q7RXL4"
"NCU02680","Q7SH49"
"NCU01471","V5ILJ9"
"NCU05304","Q7S8Z6"
"NCU04759","P87102"
"NCU11241","A7UW54"
"NCU08648","Q7S8Q5"
"NCU09194","Q1K6E5"
"NCU16466","V5IRR9"
"NCU00337","Q7RZM7"
"NCU00501","Q7SE72"
"NCU02428","V5IKE3"
"NCU05289","Q7S908"
"NCU02546","Q7SHR8"
"NCU04166","Q1K6P4"
"NCU09131","Q7S2L7"
"NCU09528","Q7S0I1"
"NCU06217","Q7SBA6"
"NCU03396","Q8X066"
"NCU06118","Q7S5H0"
"NCU01762","V5IQ18"
"NCU16337","V5IRD3"
"NCU02473","Q7SG91"
"NCU08027","Q7SAL4"
"NCU04202","Q9UUY8"
"NCU04933","Q7S3T4"
"NCU11417","A7UXF3"
"NCU00356","Q7RZL0"
"NCU03769","Q1K7A9"
"NCU01438","F5HGC3"
"NCU03097","Q7SCZ0"
"NCU03280","Q7SDX5"
"NCU16496","V5IRJ3"
"NCU11186","A7UVV5"
"NCU01804","Q1K544"
"NCU01652","Q1K4Z1"
"NCU03991","Q7RXJ1"
"NCU04144","Q1K7L3"
"NCU00035","U9WGL4"
"NCU02044","Q7SF34"
"NCU06643","F5HDG5"
"NCU10381","A7UW29"
"NCU04991","Q7RW19"
"NCU09773","Q7S189"
"NCU07894","Q7S882"
"NCU06352","Q7S9V4"
"NCU17269","V5IKH9"
"NCU16377","V5IQX0"
"NCU05783","Q7S5R0"
"NCU10497","A7UW38"
"NCU03995","Q7RXI8"
"NCU11248","A7UW84"
"NCU05855","Q7S553"
"NCU02328","Q7S4T6"
"NCU05192","Q7S9E0"
"NCU09674","Q1K6Q9"
"NCU10055","Q9UW81"
"NCU02965","Q7SH04"
"NCU11109","A7UWQ4"
"NCU00194","U9W8E1"
"NCU01667","Q1K5I2"
"NCU01271","P27121"
"NCU07155","Q7RZ22"
"NCU07117","V5IKK3"
"NCU05290","Q7RVF7"
"NCU03488","P05035"
"NCU04615","Q1K6A7"
"NCU02474","Q7SG90"
"NCU06778","Q1K8Z2"
"NCU00865","Q7SFG6"
"NCU03686","V5IL43"
"NCU02394","Q7S4P1"
"NCU03145","Q7SDU7"
"NCU06009","Q7S2E8"
"NCU06061","Q7S4Y9"
"NCU00520","Q7SCL7"
"NCU00207","U9WGT0"
"NCU06369","Q7S9T7"
"NCU12058","V5IL80"
"NCU00260","Q7RZV3"
"NCU08044","Q7SAJ7"
"NCU03693","Q1K801"
"NCU09821","Q7SCP6"
"NCU02603","Q7SG17"
"NCU09779","Q7S5T3"
"NCU09040","Q7S2T5"
"NCU01275","Q7S7B7"
"NCU01364","Q1K6N3"
"NCU09931","F5H9K1"
"NCU05887","Q7S521"
"NCU09278","Q7S1M9"
"NCU04260","Q1K7I6"
"NCU08578","Q7S021"
"NCU02190","Q7S4D0"
"NCU04610","Q1K6B0"
"NCU10715","V5ILF2"
"NCU03258","Q7RW03"
"NCU00579","V5IQK7"
"NCU05376","Q1K8I3"
"NCU05233","Q7S8H5"
"NCU05522","Q7S6R7"
"NCU02578","V5IRH1"
"NCU06530","Q7S897"
"NCU01935","Q7SDN8"
"NCU08218","Q7S3M5"
"NCU02015","Q7SFL7"
"NCU01267","Q7S7C5"
"NCU02118","Q7SCY6"
"NCU04080","Q7RWM9"
"NCU10733","P0C581"
"NCU01929","Q7SDP4"
"NCU08661","Q7S8P2"
"NCU07836","U9W4I0"
"NCU03154","Q7SEX7"
"NCU07820","Q7SBE4"
"NCU00782","Q7SFU8"
"NCU02238","Q7S441"
"NCU04568","Q7S243"
"NCU00538","Q7SDK6"
"NCU02755","Q7SCX9"
"NCU05941","V5IL37"
"NCU06714","Q1K6X7"
"NCU01210","Q1K835"
"NCU09407","Q7S285"
"NCU11180","P0C584"
"NCU05411","Q1K8R3"
"NCU08031","Q7SAL0"
"NCU09695","Q1K6J7"
"NCU07694","V5INA8"
"NCU09708","Q7S2R8"
"NCU06326","V5IMJ7"
"NCU08176","Q7S4B7"
"NCU10045","V5INE4"
"NCU04953","Q7S3R4"
"NCU04591","Q7S066"
"NCU04298","Q1K775"
"NCU01632","Q8X071"
"NCU08674","V5IMH4"
"NCU07736","Q7S0V6"
"NCU10907","A7UXG4"
"NCU08886","Q1K6A4"
"NCU07100","Q7S675"
"NCU05756","Q7S4R6"
"NCU06721","Q1K6X0"
"NCU07021","Q7S9B4"
"NCU11249","A7UW85"
"NCU09018","Q7S0R5"
"NCU04430","Q7RZ44"
"NCU04994","V5IL52"
"NCU10029","Q7S0E9"
"NCU03891","Q7RZD6"
"NCU04643","Q1K6H1"
"NCU01200","Q7S7Z6"
"NCU06739","Q1K8U4"
"NCU02614","Q7SG06"
"NCU00578","Q7SF72"
"NCU00181","Q7RXA6"
"NCU10388","Q6MWS8"
"NCU10166",
"NCU00726","P10255"
"NCU06433","Q7RYY4"
"NCU08554","O60045"
"NCU08514","Q7SBX8"
"NCU03794","Q9C270"
"NCU07487","Q7SG54"
"NCU04301","Q1K773"
"NCU06637","V5IMJ5"
"NCU00347","Q7RZL8"
"NCU00032","Q7RY73"
"NCU07578","Q7S114"
"NCU00316","Q7RZP8"
"NCU04802","V5IN16"
"NCU02070","Q7SEZ3"
"NCU08373","Q7SGP2"
"NCU08935","Q7S7F6"
"NCU00299","Q7RZR5"
"NCU09138","Q7S2L1"
"NCU08382","Q7SD69"
"NCU08828","Q01373"
"NCU03901","Q1K602"
"NCU03151","Q7SDU1"
"NCU00828","Q7SEA6"
"NCU06175","Q7SBJ5"
"NCU02618","Q7SG02"
"NCU01850","Q7SD18"
"NCU05564","V5IKN8"
"NCU03556","Q1K4W3"
"NCU02960","Q7SH09"
"NCU05245","Q7S8U0"
"NCU04062","Q1K605"
"NCU07662","Q1K8F8"
"NCU08118","Q7SD08"
"NCU00925","Q7SFC2"
"NCU01535","Q7RY61"
"NCU08007","V5IQD2"
"NCU05316","Q7S8L8"
"NCU07412","Q7S1G1"
"NCU00045","Q7RWS7"
"NCU02750","Q7SGA0"
"NCU03886","Q7RZE1"
"NCU07876","Q7SB17"
"NCU02425","V5IMI2"
"NCU01238","Q1K818"
"NCU11356","A7UWZ8"
"NCU05708","Q7SBN0"
"NCU03023","Q7SGZ3"
"NCU07916","Q7SA02"
"NCU06804","Q1K8X6"
"NCU00677","Q7SHX6"
"NCU09391","Q7S2A1"
"NCU01512","Q1K5K3"
"NCU05095","Q1K5N8"
"NCU08888","Q1K6A2"
"NCU16992","V5ILL1"
"NCU04316","Q1K722"
"NCU05758","Q1K6I3"
"NCU00138","Q7RWV5"
"NCU01767","F5HHC3"
"NCU00441","Q7RXR8"
"NCU00617","Q7SI34"
