"SYMBOL","ENTREZID","UNIPROT"
"rpsL",947845,"P0A7S3"
"yoaK",7751647,"C1P602"
"ypdA",946723,"P0AA93"
"yijD",948459,"P0AF40"
"ybjS",945495,"P75821"
"manC",,"P24174"
"yeeX",946541,"C4ZQR6"
"yjaA",948515,"P09162"
"adk",945097,"P69441"
"xylE",948529,"P0AGF4"
"yfcP",946788,"P76499"
"yfeW",946907,"P77619"
"ghoT",1450308,"P64646"
"nemA",946164,"P77258"
"hsdS",948867,"P05719"
"flxA",947392,"P77609"
"ylaC",948876,"P0AAS0"
"rseD",,"P0DPC7"
"yjhQ",949059,"P39368"
"rpsA",945536,"P0AG67"
"smf",2847708,"P30852"
"yoaE",946335,"P0AEC0"
"araF",946409,"P02924"
"ddpB",946044,"P77308"
"ssnA",949072,"Q46812"
"ynfN",946097,"P76157"
"mdtJ",946139,"C4ZY63"
"eamA",946081,"P31125"
"alaA",946772,"P0A959"
"murB",948470,"P08373"
"yihP",948371,"P32137"
"oppA",945830,"P23843"
"yfdM",945416,"P76509"
"dsrB",946468,"C4ZQM6"
"lysR",947311,"P03030"
"sgrR",944788,"P33595"
"gltS",948166,"P0AER8"
"yjjG",948899,"P0A8Y1"
"araJ",949077,"P23910"
"hybO",945902,"P69741"
"hfq",948689,"C4ZR49"
"waaA",949048,"P0AC75"
"ylbG",946803,"P77688"
"ybfB",947566,"P0AAU5"
"ycdU",945592,"P75910"
"rhmD",945881,"B1X8W0"
"accA",944895,"C4ZRS7"
"yfdP",945565,"P76512"
"yaiL",944993,"P51024"
"yiiR",948417,"P0AF34"
"alkB",946708,"P05050"
"asnS",945555,"P0A8M0"
"fdrA",946298,"Q47208"
"hyaB",945580,"P0ACD8"
"ade",,"P31441"
"php",947891,"P45548"
"ygiA",,"A0A385XJN2"
"yfjM",947108,"P52128"
"rraB",948773,"P0AF90"
"yddA",945945,"P31826"
"ygdB",944763,"P08370"
"ybdR",949067,"P77316"
"arfA",1450289,"P36675"
"ydgH",945117,"P76177"
"fucK",946022,"P11553"
"recR",945100,"P0A7H6"
"yneL",946063,"P76138"
"caiA",949064,"C4ZPW5"
"oppB",945823,"P0AFH2"
"insH5",,"P76071"
"yhdU",947700,"P64619"
"yeaD",946572,"P39173"
"scpB",947408,"P52045"
"pyrI",948763,"P0A7F3"
"uhpT",948201,"P0AGC0"
"rsmJ",948005,"C4ZW44"
"yceK",945613,"P0AB31"
"mokC",944756,"P33236"
"yraI",947657,"P42914"
"chbF",946266,"P17411"
"yedL",946437,"P76319"
"pgpB",945863,"P0A924"
"bioD2",,"P0A6E9"
"ydeT",946042,"P76137"
"bcsE",948050,"P37657"
"ybfI",5625563,"P39901"
"ygeF",946823,"Q46786"
"pdeF",,"P77172"
"alaC",946850,"P77434"
"lexA",948544,"C5A136"
"ygiC",947249,"P0ADT5"
"fre",948325,"P0AEN1"
"abgA",945742,"P77357"
"serC",945527,"C4ZQ33"
"yadH",944836,"P0AFN6"
"potE",945422,"P0AAF1"
"ychA",945784,"P0AGM5"
"nuoI",946757,"P0AFD6"
"flhC",947280,"P0ABY7"
"ykgH",947513,"P77180"
"luxS",947168,"P45578"
"yhaJ",947621,"P67660"
"yfdY",948842,"P76521"
"msrP",,"C4ZQP1"
"ycbZ",945569,"P75867"
"ybfO",,"P77779"
"pdeH",,"P37646"
"tusA",947974,"C4ZW19"
"sufD",944878,"P77689"
"fabR",948460,"P0ACU5"
"ybdF",948302,"P0AAT2"
"flgC",946687,"P0ABX2"
"yoaG",946314,"P64496"
"yjeO",948677,"P39284"
"leuD",945642,"P30126"
"exuT",947601,"P0AA78"
"nadB",947049,"P10902"
"yecC",946422,"P37774"
"gppA",,"B1X9Z3"
"cpdB",948729,"P08331"
"rluF",948519,"P32684"
"ftsQ",944823,"P06136"
"kefB",947858,"C4ZUK6"
"nuoK",947580,"P0AFE4"
"mscS",947416,"P0C0S1"
"yqjK",947610,"Q47710"
"ptsH",946886,"P0AA04"
"speE",947726,"C4ZRL4"
"yjhR",944740,"P39369"
"yajG",945521,"P0ADA5"
"yegH",946566,"P76389"
"yjfC",948699,"P33222"
"nuoE",946746,"P0AFD1"
"malK",948537,"P68187"
"ybbY",945131,"P77328"
"yceJ",945628,"P75925"
"yqiC",947524,
"yhcA",947741,"P28722"
"yajQ",945063,"C4ZTI3"
"yeaR",946317,"P64488"
"secF",949120,"P0AG93"
"rcnR",947114,"P64530"
"glcF",2847717,"P52074"
"tfaD",945171,"P77699"
"ybeD",945220,"C4ZWB8"
"yhhW",947945,"P46852"
"dapF",948364,"B1XAH6"
"rcsA",946467,"P0DMC9"
"rnb",945864,"B1XBN7"
"yggX",947461,"B1XFC2"
"ydeR",946049,"P77294"
"pstS",948237,"P0AG82"
"ybiR",945438,"P75788"
"xdhB",947205,"Q46800"
"yafC",947507,"P30864"
"pdeB",,"P77473"
"amiC",947293,"P63883"
"yfeO",946854,"P67729"
"yjgM",948772,"P39337"
"fumC",946147,"P05042"
"gcvR",946950,"P0A9I3"
"cca",947553,"B1XG61"
"flgK",945648,"P33235"
"yebQ",946048,"P76269"
"yedA",946461,"P0AA70"
"dsbG",945224,"P77202"
"hofC",945806,"P36646"
"dgcQ",,"P76330"
"uxaC",947599,"B1XG96"
"ccmC",946703,"P0ABM1"
"ydbJ",4056027,"P0ACW2"
"ung",947067,"B1XBQ7"
"yghF",947469,"Q46834"
"xylG",948127,"P37388"
"ygaH",945111,"P43667"
"sppA",946281,"P08395"
"ypdF",946853,"P76524"
"rmf",945567,"P0AFW2"
"murR",946568,"C4ZVV8"
"yfjP",947124,"P52131"
"yifK",945400,"P27837"
"rpnC",,"P31665"
"rbsR",948266,"P0ACQ0"
"yceF",945631,"P0A729"
"frmB",944991,"B1XEU8"
"csgD",949119,"P52106"
"yraH",947658,"P42913"
"paaC",945956,"P76079"
"bioA",945376,"P12995"
"dam",947893,"P0AEE8"
"peaD",945299,"P77528"
"afuB",947073,"P75681"
"phoH",948010,"P0A9K1"
"ppsA",946209,"P23538"
"ypfG",946828,"P76559"
"mraY",944814,"B1XC64"
"gsk",946584,"P0AEW6"
"ynaA",,"P77658"
"moaB",945396,"P0AEZ9"
"mdh",947854,"C4ZSX4"
"yajR",945058,"P77726"
"rspR",946087,"P0ACM2"
"ybhP",945408,"P0AAW1"
"yhhX",947944,"P46853"
"hcaE",946998,"P0ABR5"
"ybeM",4056041,"P0DP64"
"rtcB",947929,"P46850"
"tisB",5061527,"A5A627"
"yiiM",948406,"P32157"
"ppdA",945393,"P33554"
"rpsR",948721,"C4ZR79"
"viaA",948257,"C4ZZ23"
"etp",945236,"P0ACZ2"
"rbsC",948262,"P0AGI1"
"htpG",945099,"P0A6Z3"
"ypjJ",1450287,"P58033"
"yfiL",947106,"P11289"
"tdh",948139,"C4ZXK8"
"yejE",946683,"P33915"
"pqiB",945653,"P43671"
"minC",945744,"C4ZS93"
"yihR",948375,"P32139"
"serA",945258,"P0A9T0"
"cobT",946517,"P36562"
"pgaA",945596,"P69434"
"metI",944894,"P31547"
"ulaR",948706,"C4ZR68"
"aer",945301,"P50466"
"uhpA",948178,"P0AGA6"
"ybcN",945162,"Q47269"
"hybD",948982,"P37182"
"nlpD",947011,"P0ADA3"
"yjaB",948514,"P09163"
"frdB",948666,"P0AC47"
"paaF",946011,"P76082"
"gabP",948049,"P25527"
"cysE",948126,"P0A9D4"
"rsuA",945378,"P0AA43"
"emtA",945655,"P0C960"
"hemY",948311,"P0ACB7"
"yjiG",948854,"P0AEH8"
"trpR",948917,"C4ZT75"
"nrdH",947161,"P0AC65"
"wcaJ",946583,"P71241"
"cpxR",948404,"P0AE88"
"glpQ",946725,"P09394"
"eutQ",946935,"P76555"
"dgcE",,"P38097"
"ydaV",945926,"P77546"
"insL1",944754,"P0CF91"
"otnI",,"Q46891"
"rplF",947803,"B1X6F7"
"yciO",945854,"P0AFR4"
"aphA",948562,"P0AE22"
"yjhC",948808,"P39353"
"yfjK",947111,"P52126"
"yciB",946228,"C4ZTU7"
"ycaQ",945524,"P75843"
"roxA",945391,"P27431"
"bcsC",948047,"P37650"
"sfsA",944855,"B1XCC1"
"ydcU",945976,"P77156"
"recD",947287,"P04993"
"fcl",,"P32055"
"talB",944748,"P0A870"
"higA",947593,"P67701"
"yncE",946006,"P76116"
"ydiQ",946482,"P76201"
"proS",949116,"C4ZRT7"
"gntT",947924,"P39835"
"eutA",946937,"P76551"
"lsrF",946071,"B1XEA5"
"yaaI",944751,"P28696"
"cysW",2847743,"P0AEB0"
"ypdE",946848,"P77585"
"pflD",948454,"P32674"
"intQ",946130,"P76168"
"mmuP",946284,"Q47689"
"citX",949084,"P0A6G5"
"rapA",948523,"P60240"
"cvrA",945755,"P76007"
"ynfO",1450267,"Q2EES0"
"dcd",946593,"B1X701"
"metJ",948435,"C5A0A5"
"fdx",947160,"P0A9R4"
"yoaF",946310,"P64493"
"folB",947544,"P0AC16"
"yggR",947430,"P52052"
"csrA",947176,"P69913"
"qorA",948556,"P28304"
"trxC",947062,"P0AGG4"
"lolB",945775,"C4ZTQ0"
"yedK",946435,"P76318"
"zitB",945348,"P75757"
"rpoH",947970,"P0AGB3"
"hemC",947759,"P06983"
"gltX",946906,"P04805"
"tsaE",948684,"P0AF67"
"speF",945297,"P24169"
"yfbN",946748,"P76484"
"nagK",945664,"C4ZS59"
"gspF",947829,"P41441"
"yahL",944970,"P77393"
"yicC",948154,"P23839"
"glnD",944863,"C4ZRQ9"
"fumE",,"P11663"
"gsiC",945460,"P75798"
"rcsD",946717,"P39838"
"selA",948124,"C4ZXI2"
"yebV",946347,"P64503"
"ycgB",946365,"P29013"
"ydeN",945957,"P77318"
"accB",947758,"P0ABD8"
"iclR",948524,"P16528"
"hipB",946065,"P23873"
"infC",946225,"C4ZYI0"
"iraP",947709,"P0AAN9"
"yjiE",,"P39376"
"lysU",948645,"P0A8N5"
"gnd",946554,"P00350"
"ravA",948256,"P31473"
"yfhH",947030,"P37767"
"ybhG",945414,"P75777"
"rutE",946591,"C4ZQD6"
"ydiR",945688,"P77378"
"napG",945544,"P0AAL3"
"minE",945740,"C4ZS91"
"blc",948670,"P0A901"
"acpH",949132,"B1XEZ2"
"crp",947867,"P0ACJ8"
"yjeI",948664,"P0AF70"
"csgE",945711,"P0AE95"
"rutF",946594,"B1X9C8"
"ascB",947460,"P24240"
"yqfE",946707,"P64562"
"envZ",947272,"P0AEJ4"
"yqeA",947358,"Q46807"
"insH3",,"P0CE51"
"holE",947471,"P0ABS8"
"loiP",945173,"P25894"
"paaZ",945954,"P77455"
"ppk",946971,"P0A7B1"
"astA",946261,"B1XGK8"
"rfaP",,"P25741"
"qseB",945369,"P52076"
"moeB",945452,"P12282"
"mrdB",945238,"P0ABG7"
"cpoB",,"P45955"
"ygdD",947279,"P0ADR2"
"yadN",944841,"P37050"
"fxsA",948657,"P37147"
"bfd",947836,"P0AE56"
"mfd",945681,"P30958"
"mioC",948249,"P03817"
"cof",945089,"C4ZTK3"
"rplQ",947784,"C4ZUE9"
"yfcZ",948817,"P0AD33"
"narV",946029,"P0AF32"
"yfgI",945168,"P76573"
"atpE",948253,"P68699"
"rpmB",946941,"P0A7M2"
"paaA",945833,"P76077"
"araE",947341,"P0AE24"
"glrR",947042,"P0AFU4"
"yfiR",947090,"P64548"
"yhjC",948035,"P37641"
"mukF",945548,"C4ZQ48"
"rpoS",947210,"P13445"
"ydaG",945907,"P76061"
"caiC",944886,"C4ZPW3"
"focA",945513,"P0AC23"
"mhpC",944954,"P77044"
"aroG",945605,"P0AB91"
"treR",948760,"P36673"
"menH",946736,"C4ZUA6"
"seqA",945272,"P0AFY8"
"eno",945032,"C4ZZT2"
"yfaZ",946739,"P76471"
"flk",946776,"P15286"
"efp",948661,"C5A1D9"
"hyfF",946962,"P77437"
"yneE",946188,"P76146"
"ycgI",1450255,"P76000"
"appX",,"P24244"
"yifE",948274,"P0ADN2"
"insH1",944917,"P0CE49"
"fliG",946451,"P0ABZ1"
"ydcO",947247,"P76103"
"manX",946334,"P69797"
"emrK",946840,"P52599"
"mdtQ",949123,"P33369"
"casA",947222,"Q46901"
"yafP",944912,"Q47158"
"yrdB",947774,"P45795"
"nudG",946277,"P77788"
"entF",945184,"P11454"
"uidC",944820,"Q47706"
"sucA",945303,"P0AFG3"
"pmbA",948750,"P0AFK0"
"serS",945506,"C4ZQ19"
"fruB",946677,"P69811"
"lon",945085,"P0A9M0"
"cheW",946400,"P0A964"
"ydjK",946293,"P76230"
"purC",946957,"C4ZX51"
"yncD",946015,"P76115"
"ymfM",945715,"P75977"
"wecF",2847677,"B1XAG4"
"ybgI",945824,"P0AFP6"
"yhjD",948033,"P37642"
"yeeE",946526,"P33015"
"pal",945004,"P0A912"
"ycgN",945804,"C4ZTM2"
"dsbC",947363,"P0AEG6"
"gdhA",946802,"P00370"
"queA",944905,"C4ZTG2"
"fepE",945180,"P26266"
"ypjK",2847710,"P52134"
"yqgE",947442,"C5A0L7"
"yjeH",948656,"P39277"
"yoaA",946305,"P76257"
"yhiL",947999,"P37629"
"ytfI",948738,"P39317"
"ydfZ",948796,"P64463"
"ybaP",945124,"P77301"
"jayE",945703,"P75981"
"rlmB",948694,"P63177"
"motA",947564,"P09348"
"ycdY",945609,"P75915"
"rluB",945840,"P37765"
"xthA",946254,"P09030"
"yqcG",7751618,"C1P612"
"ymjC",1450258,"Q2EER5"
"gcd",944830,"P15877"
"ykfJ",944924,"P75675"
"hyaE",945573,"P19931"
"ftsB",946033,"C4ZZQ2"
"lgoT",948879,"P39398"
"sapD",946203,"P0AAH4"
"ybhC",945381,"P46130"
"allB",945134,"C4ZUW1"
"nusG",948485,"P0AFG0"
"ftsZ",944786,"P0A9A6"
"feaR",945941,"Q47129"
"yeiQ",946688,"P33029"
"tatB",948319,"P69425"
"dcuR",948640,"P0AD01"
"dapB",944762,"C4ZPV7"
"btuE",945915,"P06610"
"lpoB",948536,"P0AB38"
"yigZ",948334,"P27862"
"gcvP",947394,"C5A0H5"
"hokE",2847715,"P77091"
"caiD",948995,"P31551"
"ynfL",946136,"P77559"
"yodB",946491,"P76345"
"thiQ",944785,"P31548"
"rpsB",947874,"C4ZRR1"
"xylB",948133,"P09099"
"dgcM",,"P77302"
"nepI",948213,"C4ZXQ4"
"mdtP",948583,"P32714"
"iscU",947002,"P0ACD4"
"malY",945937,"P23256"
"trpC",945519,"P00909"
"thiM",945142,"C4ZSI8"
"kdpD",946744,"P21865"
"frlR",947885,"P45544"
"tsx",946242,"P0A927"
"iscS",947004,"C4ZXA5"
"yjbD",948518,"P32685"
"yhdT",947762,"P45566"
"aaeB",947747,"P46481"
"rpsM",947791,"P0A7S9"
"proY",945050,"P0AAE2"
"dacC",945455,"P08506"
"spoT",948159,"P0AG24"
"csgB",947391,"P0ABK7"
"caiT",944765,"P31553"
"yffN",946930,"P76545"
"gadA",948027,"P69908"
"cheR",946396,"P07364"
"murQ",946893,"P76535"
"ispB",947364,"P0AD57"
"rplU",949057,"B1XHG2"
"yniB",945140,"P76208"
"yqiJ",947530,"P76657"
"leuC",945076,"P0A6A6"
"ugpA",947957,"P10905"
"yiaY",948102,"P37686"
"thiC",948492,"P30136"
"ymfS",,"P09154"
"cysZ",946875,"B1XA84"
"fruA",946672,"P20966"
"efeU",948956,"P75901"
"apt",945113,"P69503"
"yqfA",947381,"P67153"
"yegI",947159,"P76393"
"ydfG",946085,"P39831"
"yeaQ",946311,"P64485"
"proA",946680,"B1XDY6"
"yigE",2847679,"P27840"
"paaH",945940,"P76083"
"ydcJ",945991,"P76097"
"uhpB",948195,"P09835"
"yjdF",948634,"P39270"
"fecE",948819,"P15031"
"csgG",945619,"P0AEA2"
"wecD",948298,"P27832"
"pgaD",947503,"P69432"
"nudC",948498,"P32664"
"yidX",948202,"P0ADM6"
"yeiH",946668,"P62723"
"dedD",944971,"P09549"
"ygcG",945247,"P55140"
"erpA",944857,"P0ACC3"
"scpA",945576,"P27253"
"chaB",945792,"P0AE63"
"fklB",948726,"P0A9L3"
"ilvE",948278,"P0AB80"
"yhcO",947830,"P64616"
"kefC",944773,"B1XC48"
"ygjP",947650,"P42597"
"ydcZ",946008,"P76111"
"sgcR",946830,"P39361"
"ppiB",949038,"P23869"
"gatY",946636,"P0C8J6"
"insB2",,"P0CF26"
"ygiM",947555,"P0ADT8"
"tig",945081,"B1XFM4"
"eutP",946933,"P76556"
"dgoD",2847765,"C4ZYW9"
"ytiA",,"P0DN74"
"atoS",949011,"Q06067"
"ubiG",946607,"C4ZU73"
"lolD",945670,"P75957"
"mutS",947206,"C4ZZN7"
"hisP",946789,"P07109"
"macB",945164,"P75831"
"yihS",948374,"P32140"
"yggU",947424,"C5A0M2"
"yphA",947365,"P0AD47"
"iaaA",945456,"P37595"
"msrA",948734,"C4ZR95"
"lfhA",944908,"Q47153"
"tauA",945030,"Q47537"
"ilvC",948286,"C4ZZ44"
"yafN",944920,"Q47156"
"ydcK",944932,"P76100"
"rlmA",946340,"P36999"
"yejO",946867,"P33924"
"ybiU",945439,"P75791"
"betT",945079,"P0ABC9"
"deoR",945453,"P0ACK5"
"yjhP",946851,"P39367"
"rob",948916,"P0ACI0"
"fimD",948844,"P30130"
"pstC",948238,"P0AGH8"
"hisF",946516,"B1X6W2"
"cyaY",947754,"P27838"
"yhfK",947866,"P45537"
"chbB",945339,"P69795"
"gsiB",945459,"P75797"
"yhjX",948066,"P37662"
"ybjQ",945493,"B1X807"
"mtnN",,"C4ZRQ2"
"cysN",947219,"C4ZZQ5"
"astD",946260,"P76217"
"folX",946781,"P0AC19"
"osmB",945866,"P0ADA7"
"lapB",,"P0AB58"
"accC",947761,"P24182"
"cfa",944811,"P0A9H7"
"yebS",946353,"P0AD03"
"pssA",947059,"P23830"
"fepA",945193,"P05825"
"ybgE",945326,"P0AAV0"
"hicA",945989,"P76106"
"rarA",945505,"P0AAZ4"
"yqeI",947327,"Q46942"
"adhE",945837,"P0A9Q7"
"cmoA",946380,"P76290"
"yjfY",948713,"P0AF86"
"rfbC",947482,"P37745"
"bluF",947592,"P75990"
"pyrG",946116,"B1XDJ0"
"yfbL",945832,"P76482"
"stfE",945722,"P33227"
"fhuB",946890,"P06972"
"relB",948308,"P0C079"
"ftsK",945102,"P46889"
"rsgA",948674,"P39286"
"ada",946710,"P06134"
"ykgR",7751635,"C1P5Z8"
"atoA",946719,"P76459"
"yqcC",946027,"Q46919"
"ptsP",947301,"P37177"
"fucA",947282,"P0AB87"
"frlD",947886,"P45543"
"yebT",946352,"P76272"
"yicG",948165,"P0AGM2"
"eutJ",947588,"P77277"
"argC",948455,"P11446"
"nohD",945172,"P31062"
"yebZ",947078,"P76278"
"yfcH",946784,"P77775"
"hinT",948549,"P0ACE7"
"yidZ",948227,"B1X9U0"
"rzoR",1450262,"P58042"
"metAS",,"C5A0V0"
"dnaC",948864,"P0AEF0"
"ybaQ",948800,"P0A9T6"
"nagA",945289,"P0AF18"
"ilvI",948793,"P00893"
"pinQ",946088,"P77170"
"pbpG",946662,"P0AFI5"
"pepB",948766,"B1XAZ8"
"deaD",947674,"P0A9P6"
"nrfE",948579,"P32710"
"ygcR",947240,"Q46908"
"rcdA",945473,"P75811"
"yehQ",946654,"P33353"
"bcsZ",948046,"P37651"
"yahM",944969,"P75692"
"ydiU",946219,"C4ZYG8"
"paaK",945963,"P76085"
"fecB",946838,"P15028"
"yfcQ",946779,"P76500"
"marC",947132,"B1XEB6"
"ychS",,"P76023"
"gluQ",944846,"P27305"
"eutE",946943,"P77445"
"uvrD",948347,"P03018"
"ypjD",947098,"P64432"
"prpR",944987,"P77743"
"pinH",947250,"P76611"
"narJ",945807,"P0AF26"
"nudL",946330,"C4ZZG9"
"pitB",947475,"P43676"
"yiaJ",948084,"P37671"
"zapB",948420,"B1XB94"
"ybgA",944853,"P24252"
"yfjT",947616,"P52135"
"ybeR",945249,"P77627"
"yihU",948372,"P0A9V8"
"gatB",946610,"P37188"
"cusB",945189,"P77239"
"yhbS",947670,"P63417"
"envR",,"P0ACT2"
"purL",947032,"P15254"
"yicH",948171,"P31433"
"kefF",944767,"B1XC47"
"basR",948631,"P30843"
"rfaF",,"P37692"
"kdpC",947508,"P03961"
"emrA",947166,"P27303"
"yagI",945016,
"gfcD",945588,"P75882"
"tusE",945023,"P0AB18"
"malS",948088,"P25718"
"kdsD",947734,"P45395"
"ybhS",945411,"P0AFQ2"
"ycjY",945988,"P76049"
"hisB",946552,"P06987"
"ampH",946904,"P0AD70"
"ispG",946991,"C4ZX90"
"ydeJ",946067,"P31131"
"potC",945691,"P0AFK6"
"mscK",945132,"P77338"
"yiaG",948071,"P0A9V5"
"yaaW",944771,"P75617"
"potB",945692,"P0AFK4"
"mukB",945549,"P22523"
"yhbP",947665,"P67762"
"mtlD",948117,"P09424"
"yghR",947310,"P64572"
"rem",946109,"P07010"
"intD",947162,"P24218"
"yghQ",947716,"Q46841"
"dps",945101,"C4ZXY4"
"arnC",945275,"C4ZU96"
"dsdX",949103,"P08555"
"hybA",944842,"P0AAJ8"
"cstA",945213,"P15078"
"mrcB",944843,"P02919"
"bepA",947029,"P66948"
"hicB",946001,"P67697"
"rplP",947806,"C4ZUG8"
"thpR",,"P37025"
"pliG",946963,"P76002"
"yceQ",945640,"P62066"
"yfeY",946919,"P76537"
"yicN",948173,"P0ADL3"
"yedV",946487,
"yfcF",946749,"P77544"
"mak",949086,"P23917"
"yfjR",947309,"P52133"
"entS",946268,"C4ZV37"
"lldD",948121,"P33232"
"yccU",949008,"P75874"
"ddpA",946052,"P76128"
"diaA",947661,"C4ZSP0"
"osmC",946043,"P0C0L2"
"yeeJ",946498,"P76347"
"torD",945625,"P36662"
"hisH",946544,"P60595"
"yhiJ",948001,"P37627"
"bamE",945583,"P0A937"
"yegQ",946609,"P76403"
"ptsG",945651,"P69786"
"lpxT",946693,"P76445"
"ybgS",945356,"P0AAV6"
"ycgV",945767,"P76017"
"insH9",,"P0CE56"
"rpnB",,"P77768"
"pgi",948535,"C5A0W2"
"kduI",947319,"Q46938"
"asmA",946582,"P28249"
"yhfG",947871,"P0ADX5"
"lptA",947920,"P0ADV1"
"ymfL",945717,"P75976"
"ynfM",946138,"P43531"
"nirD",947881,"P0A9I8"
"yahG",945379,"P77221"
"yccA",946016,"P0AAC6"
"hycB",948002,"P0AAK1"
"stfP",945726,"P45581"
"rimO",945465,"B1X7X6"
"fdhE",948384,"P13024"
"ompW",945128,"P0A915"
"yjfP",948707,"P39298"
"wcaC",946579,"P71237"
"tolA",946625,"P19934"
"priB",948722,"P07013"
"yhaL",947618,"P42625"
"shoB",7751620,"C1P611"
"acrA",945112,"P0AE06"
"pyrL",948768,"P0AD83"
"nanK",947757,"P45425"
"prpE",946891,"P77495"
"rna",949065,"P21338"
"exoX",946361,"P0AEK0"
"sthA",948461,"P27306"
"trg",945995,"P05704"
"nanS",948835,"P39370"
"yhiN",947996,"P37631"
"ugpB",947962,"P0AG80"
"hcaB",945346,"C4ZXB6"
"gpt",944817,"B1XDY1"
"putA",945600,"P09546"
"yahF",947298,"P77187"
"cydA",945341,"P0ABJ9"
"rimP",947680,"C4ZSR1"
"mtlA",948118,"P00550"
"yhbO",947666,"P45470"
"sdaA",946331,"P16095"
"allA",945141,"C4ZUV5"
"yqiK",947537,"P77306"
"flgD",945813,"P75936"
"engB",,"C5A033"
"ydiE",946205,"P0ACX9"
"gutQ",,"P17115"
"rhsE",946026,"P24211"
"ppiA",947870,"P0AFL3"
"flhA",946390,"P76298"
"nhaA",944758,"P13738"
"lysO",,"P75826"
"phnJ",948606,"P16688"
"ydcV",945903,"P0AFR9"
"kptA",948858,"C4ZT19"
"pyrF",947121,"P08244"
"pgaB",945604,"P75906"
"otsB",946406,"P31678"
"argH",948463,"B1XBC5"
"folE",949040,"B1X7P1"
"ykfF",948839,"P75677"
"ydiB",946200,"B1XG00"
"ampE",946678,"P0AE14"
"glvG",1450301,"P31450"
"yegP",947095,"P76402"
"yfgJ",946984,"P76575"
"ynjA",946270,"P76222"
"nhaB",944822,"C4ZTM7"
"yihN",948365,"P32135"
"phoB",945046,"P0AFJ5"
"ydhI",947559,"P64471"
"dhaM",945749,"P37349"
"truC",947242,"P0AA41"
"aroH",946229,"P00887"
"putP",945602,"P07117"
"narG",945782,"P09152"
"slyA",946167,"B1XFV4"
"sgbH",948098,"P37678"
"recA",947170,"C4ZYU4"
"yhaI",947612,"P64592"
"bglG",948235,"P11989"
"yidH",948190,"P0ADM0"
"yhbQ",947671,"C4ZSP6"
"ubiE",948926,"C5A009"
"thiF",948500,"P30138"
"yfeD",946865,"P27238"
"atoB",946727,"P76461"
"potA",946323,"P69874"
"ychO",945801,"P39165"
"tynA",945939,"P46883"
"fdnI",946038,"P0AEK7"
"fetA",946990,"P77279"
"yqhA",947479,"C4ZQS4"
"mdoH",,"P62517"
"umuC",946359,"P04152"
"ymdE",945589,"Q7DFV4"
"secA",944821,"C4ZRJ3"
"psuT",946671,"P33024"
"mrr",948898,"P24202"
"rplE",947800,"C4ZUG3"
"fucU",945842,"P0AEN8"
"mdtE",948031,"P37636"
"cueR",945332,"P0A9G4"
"setB",946673,"P33026"
"fbp",948753,"P0A993"
"srlE",948933,"P56580"
"yqjF",947608,"P42619"
"rlmD",947243,"P55135"
"ycbK",945538,"P0AB06"
"yheU",947863,"C4ZUL0"
"speC",947457,"P21169"
"fliO",946458,"P22586"
"cdd",946663,"P0ABF6"
"ratA",945614,"P0AGL5"
"zwf",946370,"P0AC53"
"hcaF",946997,"B1XB14"
"kdsA",945785,"C4ZTQ6"
"yjeT",948696,"P0AF73"
"gadC",946057,"P63235"
"ybjP",945491,"P75818"
"yjcB",948569,"P32700"
"rpoD",947567,"P00579"
"ygfM",949071,"P64557"
"infA",945500,"P69222"
"rnr",948692,"P21499"
"livG",947967,"P0A9S7"
"dgkA",948543,"P0ABN1"
"fimZ",,"P0AEL8"
"yqfG",7751638,"C1P614"
"ftsN",948428,"P29131"
"dtpB",948006,"P36837"
"cyoD",944918,"P0ABJ6"
"ygfT",949018,"Q46820"
"hspQ",945578,"C4ZQ92"
"norR",947186,"P37013"
"garP",947642,"P0AA80"
"gspG",947827,"P41442"
"elaB",946751,"P0AEH5"
"plsC",947496,"P26647"
"pldA",948307,"P0A921"
"dkgB",944901,"P30863"
"insE5",,"P0CF70"
"yfcS",946418,"P77599"
"ydfE",946113,"Q47138"
"ybdM",945206,"P77174"
"yzgL",947933,"P76692"
"rhmA",948054,"C4ZU87"
"cysH",947230,"B1XDH5"
"ompC",946716,"P06996"
"rhsC",945306,"P16918"
"sufA",949014,"P77667"
"norV",948979,"B1XCN7"
"rsxD",946134,"P76182"
"btsR",,"P0AFT5"
"glgP",947931,"P0AC86"
"yjdC",948650,"P0ACU7"
"fabA",945568,"P0A6Q3"
"corC",,"P0AE78"
"ychN",945794,"P0AB52"
"trpA",946204,"P0A877"
"yibA",948108,"P0ADK6"
"recE",945918,"P15032"
"nac",946501,"Q47005"
"xanP",948172,"P0AGM9"
"pcm",944923,"C4ZZP7"
"yeeY",946532,"P76369"
"yaeF",944892,"P37056"
"topA",945862,"P06612"
"mltB",947184,"P41052"
"yieL",948272,"P31471"
"dtpA",947436,"P77304"
"cspE",947024,"P0A972"
"yhjB",948036,"P37640"
"ygcO",945120,"Q46905"
"ydjH",946285,"P77493"
"ispU",944874,"P60472"
"treF",948037,"C4ZW66"
"malE",948538,"P0AEX9"
"yhhS",947982,"P37621"
"yafW",944929,"Q47684"
"yegT",946638,"P76417"
"rsmC",948892,"B1XFI0"
"surE",,"P0A840"
"hdhA",946151,"P0AET8"
"yqcA",947151,"P65367"
"yhjY",948073,"P37663"
"sieB",945913,"P38392"
"ndk",945611,"C4ZX93"
