SYMBOL,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,IPI,UNIGENE,UNIPROT
Hspe1,ENSMUSG00000073676,ENSMUSP00000074724,ENSMUST00000075242,15528,IPI00263863,Mm.215667,Q4KL76
Eftud2,ENSMUSG00000020929,,,20624,IPI00469260,Mm.873,A2AH85
Rdh5,ENSMUSG00000025350,,,19682,IPI00918800,Mm.439856,O55240
Cyp24a1,ENSMUSG00000038567,ENSMUSP00000047954,ENSMUST00000038824,13081,IPI00221624,Mm.6575,Q3TWW0
Adi1,ENSMUSG00000020629,,,104923,IPI00115511,Mm.291504,Q99JT9
Gpr31,,,,107431,,,
Ywhab,ENSMUSG00000018326,ENSMUSP00000018470,ENSMUST00000018470,54401,IPI00760000,Mm.34319,A2A5N2
Ywhae,ENSMUSG00000020849,,,22627,IPI00118384,Mm.234700,P62259
Ywhah,ENSMUSG00000018965,,,22629,IPI00227392,Mm.332314,P68510
Ywhag,ENSMUSG00000051391,ENSMUSP00000143631,ENSMUST00000198270,22628,IPI00230707,Mm.233813,A8IP69
Sfn,ENSMUSG00000047281,ENSMUSP00000050374,ENSMUST00000057311,55948,IPI00118286,Mm.44482,O70456
Ywhaq,ENSMUSG00000076432,,,22630,IPI00408378,Mm.289630,A3KML3
Ywhaz,ENSMUSG00000022285,,,22631,IPI00116498,Mm.3360,P63101
Gbe1,ENSMUSG00000022707,,,74185,IPI00109823,Mm.396102,Q9D6Y9
Phpt1,ENSMUSG00000036504,ENSMUSP00000037417,ENSMUST00000039156,75454,IPI00118757,Mm.458079,Q9DAK9
Akr1e2,,,,,,,
Hpgd,ENSMUSG00000031613,ENSMUSP00000034026,ENSMUST00000034026,15446,IPI00310903,Mm.18832,Q8VCC1
1700006A11Rik,ENSMUSG00000027973,,,71824,IPI00118901,Mm.331353,B9EHI3
1700018F24Rik,ENSMUSG00000029620,ENSMUSP00000031624,ENSMUST00000031624,69396,IPI00118036,Mm.45463,B2RW27
Fam209,ENSMUSG00000027505,ENSMUSP00000029007,ENSMUST00000029007,76426,IPI00113101,Mm.46148,A2APA5
1700074P13Rik,ENSMUSG00000029883,,,73481,IPI00112674,Mm.333010,Q9D9G7
1700080O16Rik,ENSMUSG00000031118,ENSMUSP00000033449,ENSMUST00000033449,74279,IPI00112670,Mm.159154,Q9D9G4
1700129C05Rik,ENSMUSG00000021977,,,67932,IPI00620880,Mm.65550,Q9CQ77
Hsd17b13,ENSMUSG00000034528,,,243168,IPI00407769,Mm.284944,Q8VCR2
Hsd17b6,ENSMUSG00000025396,ENSMUSP00000151556,ENSMUST00000219447,27400,IPI00127016,Mm.26719,Q9R092
Tnks1bp1,ENSMUSG00000033955,,,228140,IPI00459443,Mm.23606,P58871
Abhd5,ENSMUSG00000032540,,,67469,IPI00119852,Mm.280254,Q9DBL9
Agpat1,ENSMUSG00000034254,,,55979,IPI01007704,Mm.8684,A0A0R4J263
Agpat2,ENSMUSG00000026922,,,67512,IPI00170100,Mm.24244,Q059U0
Agpat4,ENSMUSG00000023827,ENSMUSP00000128085,ENSMUST00000164143,68262,IPI00173168,Mm.258300,Q8K4X7
Agpat5,ENSMUSG00000031467,,,52123,IPI00221486,Mm.24117,Q9D1E8
Agpat3,ENSMUSG00000001211,,,28169,IPI00469338,Mm.141230,Q9D517
Accs,ENSMUSG00000040272,,,329470,IPI00229717,Mm.486910,A2AIG8
Pikfyve,ENSMUSG00000025949,,,18711,IPI01007893,Mm.38370,Q9Z1T6
Plcb1,ENSMUSG00000051177,,,18795,IPI00130045,Mm.330607,Q3UPW0
Plcb2,ENSMUSG00000040061,,,18796,IPI01016177,Mm.215156,A3KGF7
Plcb3,ENSMUSG00000024960,ENSMUSP00000025912,ENSMUST00000025912,18797,IPI00311203,Mm.273204,P51432
Plcd1,ENSMUSG00000010660,ENSMUSP00000149813,ENSMUST00000214470,18799,IPI00321515,Mm.23963,G5DDB7
Plcd3,ENSMUSG00000020937,,,72469,IPI00331040,Mm.264743,Q8K2J0
Plcd4,ENSMUSG00000026173,,,18802,IPI00322551,Mm.290731,Q8K3R3
Plce1,ENSMUSG00000024998,,,74055,IPI00989323,Mm.34031,Q8K4S1
Plch1,ENSMUSG00000036834,,,269437,IPI00229353,Mm.316391,Q4KWH5
Plch2,ENSMUSG00000029055,,,269615,IPI00649874,Mm.379458,A2AP18
Plcg1,ENSMUSG00000016933,,,18803,IPI00121089,Mm.44463,Q62077
Plcg2,ENSMUSG00000034330,,,234779,IPI00229848,Mm.192699,Q8CIH5
Plcz1,ENSMUSG00000030230,,,114875,IPI00172259,Mm.50808,Q8K4D7
2010005H15Rik,ENSMUSG00000095620,ENSMUSP00000140745,ENSMUST00000187183,76770,IPI00111375,Mm.327617,Q9D8D6
Tmem45a2,ENSMUSG00000046748,ENSMUSP00000070137,ENSMUST00000067173,69457,IPI00229259,Mm.58105,B7ZWJ5
2310061N02Rik,ENSMUSG00000050704,ENSMUSP00000062074,ENSMUST00000050882,69661,IPI00109507,Mm.58243,Q9D6S9
Dph1,ENSMUSG00000078789,ENSMUSP00000042162,ENSMUST000000449490,116905,IPI00153827,Mm.41496,Q5NCQ5
Dph2,ENSMUSG00000028540,ENSMUSP00000030265,ENSMUST00000030265,67728,IPI00387393,Mm.13823,Q9CR25
Cnp,ENSMUSG00000006782,,,12799,IPI00229598,Mm.15711,P16330
Decr1,ENSMUSG00000028223,ENSMUSP00000029877,ENSMUST00000029877,67460,IPI00387379,Mm.393293,Q4FJK0
Cyp39a1,ENSMUSG00000023963,ENSMUSP00000130073,ENSMUST00000170988,56050,IPI00123084,Mm.17991,Q544S6
Rnasel,ENSMUSG00000066800,,,24014,IPI00114711,Mm.259254,B2RQP1
Cyp7b1,ENSMUSG00000039519,ENSMUSP00000037487,ENSMUST00000035625,13123,IPI00122818,Mm.316000,Q3USU4
Cyp27b1,ENSMUSG00000006724,,,13115,IPI00126549,Mm.6216,O35084
Oas1a,ENSMUSG00000052776,,,246730,IPI00626664,Mm.14301,P11928
Oas2,ENSMUSG00000032690,,,246728,IPI00170208,Mm.260926,E9Q9A9
Oas3,ENSMUSG00000032661,ENSMUSP00000035588,ENSMUST00000044833,246727,IPI00463103,Mm.204887,Q8VI93
Oasl1,ENSMUSG00000041827,,,231655,IPI00991040,Mm.95479,Q8VI94
Oasl2,ENSMUSG00000029561,,,23962,IPI00131121,Mm.228363,Q9Z2F2
Oas1e,ENSMUSG00000066867,ENSMUSP00000098348,ENSMUST00000100785,231699,IPI00172238,Mm.379383,A0A0J9YV76
Oas1f,ENSMUSG00000053765,ENSMUSP00000056993,ENSMUST00000057814,243262,IPI00170167,Mm.105369,Q14AZ4
Oas1g,ENSMUSG00000066861,,,23960,IPI00331667,Mm.389688,Q8K469
Oas1c,ENSMUSG00000001166,,,114643,IPI00322629,Mm.43230,Q924S2
Oas1h,ENSMUSG00000001168,,,246729,IPI00128958,Mm.115351,E9Q326
Oas1d,ENSMUSG00000032623,ENSMUSP00000048054,ENSMUST00000044224,100535,IPI00128954,Mm.247620,Q3UXA2
Pde12,ENSMUSG00000043702,ENSMUSP00000059666,ENSMUST00000052932,211948,IPI00420284,Mm.290758,Q3TIU4
2610042L04Rik,ENSMUSG00000079388,ENSMUSP00000132127,ENSMUST00000165466,554327,,Mm.460196,Q9D073
Psmc6,ENSMUSG00000021832,ENSMUSP00000022380,ENSMUST00000022380,67089,IPI00125971,Mm.18472,P62334
Psmc1,ENSMUSG00000021178,ENSMUSP00000021595,ENSMUST00000222374,19179,IPI00133428,Mm.157105,P62192
Psmc3,ENSMUSG00000002102,,,19182,IPI00133206,Mm.289832,O88685
Psmc4,ENSMUSG00000030603,,,23996,IPI00108895,Mm.29582,P54775
Psmc2,ENSMUSG00000028932,ENSMUSP00000030769,ENSMUST00000030769,19181,IPI00270326,Mm.2462,Q8BVQ9
Psmc5,ENSMUSG00000020708,,,19184,IPI00135640,Mm.272361,P62196
Sem1,ENSMUSG00000042541,,,20422,IPI00112728,Mm.2469,P60897
Psmd1,ENSMUSG00000026229,,,70247,IPI00267295,Mm.280013,Q3TXS7
Psmd10,ENSMUSG00000031429,,,53380,IPI00831611,Mm.17640,A2AG83
Psmd11,ENSMUSG00000017428,,,69077,IPI00222515,Mm.260539,Q3UWW9
Psmd12,ENSMUSG00000020720,,,66997,IPI00318982,Mm.491171,Q9D8W5
Psmd13,ENSMUSG00000025487,,,23997,IPI00126048,Mm.29760,B2RT97
Psmd14,ENSMUSG00000026914,,,59029,IPI00113262,Mm.218198,O35593
Psmd2,ENSMUSG00000006998,,,21762,IPI00123494,Mm.243234,Q3TKV1
Psmd3,ENSMUSG00000017221,,,22123,IPI00314439,Mm.12194,P14685
Psmd4,ENSMUSG00000005625,,,19185,IPI00345779,Mm.2261,O35226
Psmd5,ENSMUSG00000026869,,,66998,IPI00457661,Mm.270632,Q8BJY1
