SYMBOL,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,IPI,UNIGENE,UNIPROT
Psmd6,ENSMUSG00000021737,ENSMUSP00000022256,ENSMUST00000022256,66413,IPI00319965,Mm.27591,Q99JI4
Psmd7,ENSMUSG00000039067,ENSMUSP00000041968,ENSMUST00000044106,17463,IPI00114667,Mm.18347,A1L3B8
Psmd8,ENSMUSG00000030591,,,57296,IPI00403509,Mm.273152,Q9CPS5
Psmd9,ENSMUSG00000029440,,,67151,IPI00113287,Mm.278997,Q9CR00
Pdap1,ENSMUSG00000029623,,,231887,IPI00352475,Mm.188851,B2RTB0
Mrps10,ENSMUSG00000034729,,,64657,IPI00895482,Mm.216250,G5E8U8
Mrps11,ENSMUSG00000030611,,,67994,IPI00889984,Mm.297033,Q3U8Y1
Mrps12,ENSMUSG00000045948,ENSMUSP00000132443,ENSMUST00000165246,24030,IPI00132932,Mm.358650,O35680
Mrps14,ENSMUSG00000058267,,,64659,IPI00133360,Mm.29599,D3Z2K2
Mrps15,ENSMUSG00000028861,,,66407,IPI00321858,Mm.195628,Q9DC71
Mrps16,ENSMUSG00000049960,ENSMUSP00000055619,ENSMUST00000061444,66242,IPI00132147,Mm.23747,Q9CPX7
Mrps17,ENSMUSG00000034211,,,66258,IPI00132448,Mm.249809,Q9CQE3
Mrps18a,ENSMUSG00000023967,ENSMUSP00000024763,ENSMUST00000024763,68565,IPI00556725,Mm.287443,Q5U5I3
Mrps18b,ENSMUSG00000024436,,,66973,IPI00223360,Mm.29484,Q542W5
Mrps18c,ENSMUSG00000016833,,,68735,IPI00153603,Mm.25585,Q8R2L5
Mrps21,ENSMUSG00000054312,ENSMUSP00000066990,ENSMUST00000067298,66292,IPI00115896,Mm.24108,P58059
Mrps22,ENSMUSG00000032459,ENSMUSP00000035034,ENSMUST00000035034,64655,IPI00110918,Mm.17949,Q9CXW2
Mrps23,ENSMUSG00000023723,ENSMUSP00000138865,ENSMUST00000183742,64656,IPI00284934,Mm.168680,Q3TI14
Mrps24,ENSMUSG00000020477,,,64660,IPI00133179,Mm.7328,Q9CQV5
Mrps25,ENSMUSG00000014551,ENSMUSP00000114402,ENSMUST00000140438,64658,IPI00315671,Mm.87062,Q9D125
Mrps26,ENSMUSG00000037740,ENSMUSP00000123324,ENSMUST00000145614,99045,IPI00108194,Mm.30057,Q80ZS3
Mrps27,ENSMUSG00000041632,ENSMUSP00000062326,ENSMUST00000052249,218506,IPI00222514,Mm.30208,Q8BK72
Mrps28,ENSMUSG00000040269,ENSMUSP00000038305,ENSMUST00000042148,66230,IPI00110672,Mm.38460,Q9CY16
Dap3,ENSMUSG00000068921,,,65111,IPI00402997,Mm.29028,A0A0R4J1B9
Mrps2,ENSMUSG00000035772,,,118451,IPI00126011,Mm.294951,Q8BQ99
Mrps30,ENSMUSG00000021731,,,59054,IPI00132504,Mm.143810,Q9D0G0
Mrps31,ENSMUSG00000031533,ENSMUSP00000033934,ENSMUST00000033934,57312,IPI00124828,Mm.289402,Q61733
Mrps33,ENSMUSG00000029918,ENSMUSP00000031978,ENSMUST00000031978,14548,IPI00553786,Mm.377071,Q8R2K5
Mrps34,ENSMUSG00000038880,,,79044,IPI00120709,Mm.328851,Q9JIK9
Mrps35,ENSMUSG00000040112,ENSMUSP00000048348,ENSMUST00000149660,232536,IPI00222538,Mm.46656,A0A0R4J0L6
Mrps36,ENSMUSG00000061474,,,66128,IPI00856534,Mm.306173,Q9D6T9
Mrps5,ENSMUSG00000027374,,,77721,IPI00118196,Mm.274601,Q99N87
Mrps6,ENSMUSG00000039680,ENSMUSP00000037631,ENSMUST00000047429,121022,IPI00269020,Mm.217354,P58064
Mrps7,ENSMUSG00000046756,,,50529,IPI00330688,Mm.193040,Q80X85
Mrps9,ENSMUSG00000060679,,,69527,IPI00336292,Mm.252982,Q9D7N3
Mogat1,ENSMUSG00000012187,,,68393,IPI00121027,Mm.41325,Q91ZV4
Mogat2,ENSMUSG00000052396,ENSMUSP00000064041,ENSMUST00000064231,233549,IPI00330560,Mm.208030,Q80W94
Acmsd,ENSMUSG00000026348,ENSMUSP00000048482,ENSMUST00000038006,266645,IPI00378448,Mm.25735,Q8R519
Gcat,ENSMUSG00000006378,,,26912,IPI00136655,Mm.237085,E9PWY6
Ado,ENSMUSG00000057134,ENSMUSP00000075107,ENSMUST00000075686,211488,IPI00348414,Mm.297250,Q6PDY2
Tcstv1,ENSMUSG00000096284,ENSMUSP00000140041,ENSMUST00000190512,54382,IPI00120403,Mm.302175,O70619
Tcstv3,ENSMUSG00000095821,ENSMUSP00000153496,ENSMUST00000223967,236219,IPI00172163,Mm.302175,O70518
Dnph1,ENSMUSG00000040658,ENSMUSP00000045283,ENSMUST00000046497,381101,IPI00378252,Mm.35801,Q80VJ3
Hacl1,ENSMUSG00000021884,,,56794,IPI00316314,Mm.38887,Q9QXE0
Ugt8,,,,,,,
Coq5,ENSMUSG00000041733,,,52064,IPI00379695,Mm.290142,Q9CXI0
Urad,ENSMUSG00000075543,ENSMUSP00000098000,ENSMUST00000100433,231903,IPI00677085,Mm.291286,B9EK13
Ogfod2,ENSMUSG00000023707,,,66627,IPI00131781,Mm.7050,D3YU42
Ogfod3,ENSMUSG00000025169,ENSMUSP00000026169,ENSMUST00000026169,66179,IPI00133074,Mm.390403,Q9D136
Ogdh,ENSMUSG00000020456,,,18293,IPI00420882,Mm.276348,Q60597
Oxgr1,ENSMUSG00000044819,ENSMUSP00000055137,ENSMUST00000058213,239283,IPI00115885,Mm.138520,Q6IYF8
Bckdha,ENSMUSG00000060376,ENSMUSP00000146018,ENSMUST00000205808,12039,IPI00331555,Mm.25848,Q3U3J1
Bckdhb,ENSMUSG00000032263,,,12040,IPI00661338,Mm.12819,Q6P3A8
Pxylp1,ENSMUSG00000043587,,,235534,IPI00221818,Mm.233031,Q8BHA9
Ppp2r3a,ENSMUSG00000043154,,,235542,IPI00406107,Mm.335386,B2RXC8
Bpnt1,ENSMUSG00000026617,,,23827,IPI00318545,Mm.227549,A0A1B0GRV0
Eri1,ENSMUSG00000031527,ENSMUSP00000033927,ENSMUST00000033927,67276,IPI00473902,Mm.207534,A0A0R4J0C8
Mrpl10,ENSMUSG00000001445,,,107732,IPI00132412,Mm.208946,Q3TBW2
Mrpl11,ENSMUSG00000024902,ENSMUSP00000025836,ENSMUST00000025836,66419,IPI00132470,Mm.28494,Q9CQF0
Mrpl12,ENSMUSG00000039640,ENSMUSP00000044417,ENSMUST00000043627,56282,IPI00118963,Mm.133851,Q9DB15
Mrpl13,ENSMUSG00000022370,,,68537,IPI00134011,Mm.236795,Q9D1P0
Mrpl14,ENSMUSG00000023939,ENSMUSP00000024734,ENSMUST00000024734,68463,IPI00133778,Mm.379158,Q9D1I6
Mrpl15,ENSMUSG00000033845,,,27395,IPI00798614,Mm.182927,Q9CPR5
Mrpl16,ENSMUSG00000024683,ENSMUSP00000128915,ENSMUST00000167199,94063,IPI00118230,Mm.203928,Q99N93
Mrpl17,ENSMUSG00000030879,,,27397,IPI00473469,Mm.44225,Q9D8P4
Mrpl18,ENSMUSG00000057388,ENSMUSP00000078123,ENSMUST00000079121,67681,IPI00387389,Mm.290166,Q9CQL5
Mrpl19,ENSMUSG00000030045,,,56284,IPI00989172,Mm.276293,Q9D338
Mrpl1,ENSMUSG00000029486,,,94061,IPI00720216,Mm.295499,Q9D3F3
Mrpl20,ENSMUSG00000029066,,,66448,IPI00471157,Mm.23825,Q9CQL4
Mrpl21,ENSMUSG00000024829,,,353242,IPI00134112,Mm.74084,Q9D1N9
Mrpl22,ENSMUSG00000020514,ENSMUSP00000020820,ENSMUST00000020820,216767,IPI00225318,Mm.259907,Q8BU88
Mrpl23,ENSMUSG00000037772,,,19935,IPI00136310,Mm.12144,O35972
Mrpl24,ENSMUSG00000019710,,,67707,IPI00162769,Mm.393802,Q9CQ06
Mrpl27,ENSMUSG00000024414,,,94064,IPI00118227,Mm.34951,Q99N92
Mrpl28,ENSMUSG00000024181,ENSMUSP00000025014,ENSMUST00000025014,68611,IPI00271726,Mm.273102,Q9D1B9
Mrpl2,ENSMUSG00000002767,,,27398,IPI00109740,Mm.391007,Q9D773
Mrpl30,ENSMUSG00000026087,,,107734,IPI00110524,Mm.26614,Q9D7N6
Mrpl32,ENSMUSG00000015672,ENSMUSP00000152345,ENSMUST00000220621,75398,IPI00120955,Mm.36511,Q9DCI9
Mrpl33,ENSMUSG00000106918,ENSMUSP00000031024,ENSMUST00000201999,66845,IPI00227609,Mm.120763,Q9CQP0
Mrpl34,ENSMUSG00000034880,ENSMUSP00000044497,ENSMUST00000048914,94065,IPI00118226,Mm.29489,Q99N91
Mrpl35,ENSMUSG00000052962,ENSMUSP00000066493,ENSMUST00000065103,66223,IPI00132700,Mm.28579,Q9CQL6
Mrpl36,ENSMUSG00000021607,ENSMUSP00000152226,ENSMUST00000221730,94066,IPI00118224,Mm.26775,Q99N90
Mrpl37,ENSMUSG00000028622,,,56280,IPI00162942,Mm.29517,Q921S7
Mrpl38,ENSMUSG00000020775,,,60441,IPI00808418,Mm.29974,Q8K2M0
Mrpl39,ENSMUSG00000022889,ENSMUSP00000112283,ENSMUST00000116584,27393,IPI00311406,Mm.103655,Q9JKF7
Mrpl3,ENSMUSG00000032563,,,94062,IPI00118235,Mm.29746,Q99N95
Mrpl40,ENSMUSG00000022706,,,18100,IPI00323669,Mm.20918,Q3UKS6
Mrpl41,ENSMUSG00000036850,ENSMUSP00000043561,ENSMUST00000045604,107733,IPI00378520,Mm.23010,Q9CQN7
Mrpl42,ENSMUSG00000062981,ENSMUSP00000151613,ENSMUST00000219019,67270,IPI00132047,Mm.30008,Q9CPV3
Mrpl43,ENSMUSG00000025208,ENSMUSP00000095322,ENSMUST00000097715,94067,IPI00761722,Mm.44174,Q5RL20
Mrpl44,ENSMUSG00000026248,ENSMUSP00000027464,ENSMUST00000027464,69163,IPI00607969,Mm.238455,Q9CY73
Mrpl45,ENSMUSG00000018882,,,67036,IPI00132895,Mm.5381,Q9D0Q7
Mrpl46,ENSMUSG00000030612,ENSMUSP00000032841,ENSMUST00000032841,67308,IPI00111211,Mm.193181,Q9EQI8
Mrpl47,ENSMUSG00000037531,ENSMUSP00000048078,ENSMUST00000043966,74600,IPI00322422,Mm.288960,Q8K2Y7
Mrpl48,ENSMUSG00000030706,,,52443,IPI00274131,Mm.473730,E9QPQ8
Mrpl49,ENSMUSG00000007338,ENSMUSP00000007482,ENSMUST00000007482,18120,IPI00131988,Mm.181290,Q9CQ40
Mrpl4,ENSMUSG00000003299,,,66163,IPI00121359,Mm.427576,Q9DCU6
Mrpl50,ENSMUSG00000044018,ENSMUSP00000062476,ENSMUST00000057829,28028,IPI00133122,Mm.30052,Q8VDT9
Mrpl51,ENSMUSG00000030335,ENSMUSP00000032485,ENSMUST00000136804,66493,IPI00132170,Mm.138749,Q9CPY1
Mrpl52,ENSMUSG00000010406,,,68836,IPI00133361,Mm.248163,Q9D0Y8
Mrpl53,ENSMUSG00000030037,ENSMUSP00000109571,ENSMUST00000113938,68499,IPI00133750,Mm.333183,Q9D1H8
Mrpl54,ENSMUSG00000034932,ENSMUSP00000039951,ENSMUST00000145452,66047,IPI00132091,Mm.43397,Q9CPW3
Mrpl55,ENSMUSG00000036860,,,67212,IPI00648969,Mm.282694,Q9CZ83
Mrpl9,ENSMUSG00000028140,,,78523,IPI00284978,Mm.218515,Q14B21
Akr1c14,ENSMUSG00000033715,,,105387,IPI00128376,Mm.26838,Q91WT7
Hsd3b1,ENSMUSG00000027871,,,15492,IPI00229070,Mm.140811,P24815
Hsd3b2,ENSMUSG00000063730,,,15493,IPI00230105,Mm.482364,P26149
Hsd3b3,ENSMUSG00000062410,,,15494,IPI00111855,Mm.158717,P26150
Hsd3b6,ENSMUSG00000027869,,,15497,IPI00420666,Mm.14435,O35469
Hsd3b4,ENSMUSG00000095143,ENSMUSP00000136588,ENSMUST00000179429,15495,IPI00229078,Mm.14309,Q3UIU9
Hsd3b5,ENSMUSG00000038092,ENSMUSP00000041442,ENSMUST00000044094,15496,IPI00314189,Mm.17910,Q61694
Hsd3b7,ENSMUSG00000042289,,,101502,IPI00111009,Mm.157103,Q9EQC1
Ebp,ENSMUSG00000031168,,,13595,IPI00137471,Mm.27183,P70245
Hmgcr,ENSMUSG00000021670,,,15357,IPI00469329,Mm.316652,Q01237
Hsd17b10,ENSMUSG00000025260,,,15108,IPI00830581,Mm.6994,Q99N15
Haao,ENSMUSG00000000673,ENSMUSP00000000687,ENSMUST00000000687,107766,IPI00408961,Mm.30100,Q78JT3
Bdh2,ENSMUSG00000028167,,,69772,IPI00172338,Mm.45121,G3UWD3
Hibadh,ENSMUSG00000029776,,,58875,IPI00116222,Mm.286458,Q99L13
Hibch,ENSMUSG00000041426,,,227095,IPI00154047,Mm.222063,Q8QZS1
Hmgcll1,ENSMUSG00000007908,,,208982,IPI00170370,Mm.82306,Q8JZS7
Acaa1a,ENSMUSG00000036138,,,113868,IPI00121833,Mm.205266,Q921H8
Acaa1b,ENSMUSG00000010651,ENSMUSP00000010795,ENSMUST00000010795,235674,IPI00122139,Mm.379402,Q3UKM0
Acaa2,ENSMUSG00000036880,ENSMUSP00000037348,ENSMUST00000041053,52538,IPI00226430,Mm.245724,Q8BWT1
Kdsr,ENSMUSG00000009905,ENSMUSP00000010049,ENSMUST00000010049,70750,IPI00283532,Mm.458911,Q6GV12
Hsd17b7,ENSMUSG00000026675,,,15490,IPI00316067,Mm.12882,O88736
Mpst,ENSMUSG00000071711,,,246221,IPI00604945,Mm.294215,Q3UW66
Bckdk,ENSMUSG00000030802,,,12041,IPI00115094,Mm.425495,O55028
Srd5a1,ENSMUSG00000021594,,,78925,IPI00470988,Mm.451912,A0A0R4J136
Srd5a2,ENSMUSG00000038541,ENSMUSP00000048862,ENSMUST00000043458,94224,IPI00118239,Mm.38933,Q99N99
Akr1d1,ENSMUSG00000038641,,,208665,IPI00122657,Mm.262635,Q8VCX1
Oxsm,ENSMUSG00000021786,,,71147,IPI00136333,Mm.197960,Q9D404
Pdpk1,ENSMUSG00000024122,,,18607,IPI00828763,Mm.10504,Q3TRL2
Rps10,ENSMUSG00000052146,,,67097,IPI00112448,Mm.275810,P63325
Rps11,ENSMUSG00000003429,,,27207,IPI00762542,Mm.196538,P62281
Rps12,ENSMUSG00000061983,ENSMUSP00000151838,ENSMUST00000218142,20042,IPI00225634,Mm.371846,Q6ZWZ6
Rps13,ENSMUSG00000090862,ENSMUSP00000126294,ENSMUST00000170953,68052,IPI00125901,Mm.14798,P62301
Rps14,ENSMUSG00000024608,,,20044,IPI00322562,Mm.43778,P62264
Rps15,ENSMUSG00000063457,,,20054,IPI00319231,Mm.643,D3YTQ9
Rps15a,ENSMUSG00000008683,,,267019,IPI00230660,Mm.288212,P62245
Rps16,ENSMUSG00000037563,,,20055,IPI00469918,Mm.702,A4FUS1
Rps17,ENSMUSG00000061787,,,20068,IPI00465880,Mm.42767,P63276
Rps18,ENSMUSG00000008668,,,20084,IPI00317590,Mm.298745,P62270
Rps19,ENSMUSG00000040952,,,20085,IPI00113241,Mm.300281,Q9CZX8
Rps2,ENSMUSG00000044533,,,16898,IPI00318492,Mm.157452,P25444
Rps20,ENSMUSG00000028234,ENSMUSP00000120528,ENSMUST00000138502,67427,IPI00323819,Mm.21938,P60867
Rps21,ENSMUSG00000039001,,,66481,IPI00132950,Mm.289669,Q9CQR2
Rps23,ENSMUSG00000049517,ENSMUSP00000054490,ENSMUST00000051955,66475,IPI00972920,Mm.306302,P62267
Rps24,ENSMUSG00000025290,,,20088,IPI00753456,Mm.16775,P62849
Rps25,ENSMUSG00000009927,ENSMUSP00000079180,ENSMUST00000080300,75617,IPI00137735,Mm.292027,P62852
Rps26,ENSMUSG00000025362,ENSMUSP00000026420,ENSMUST00000219591,27370,IPI00377441,Mm.32118,P62855
Rps27,ENSMUSG00000090733,ENSMUSP00000142536,ENSMUST00000196205,57294,IPI00173160,Mm.270283,Q6ZWU9
Rps27l,ENSMUSG00000036781,,,67941,IPI00124709,Mm.30120,D3YYB0
Rps28,ENSMUSG00000067288,,,54127,IPI00137736,Mm.352374,P62858
Rps29,ENSMUSG00000034892,ENSMUSP00000038352,ENSMUST00000037023,20090,IPI00222553,Mm.379006,P62274
Rps3,ENSMUSG00000030744,,,27050,IPI00134599,Mm.236868,P62908
Rps3a,,,,,,,
Gm15013,,,,100417274,,,
Rps4x,ENSMUSG00000031320,ENSMUSP00000033683,ENSMUST00000033683,20102,IPI00331092,Mm.66,P62702
Rps5,ENSMUSG00000012848,,,20103,IPI00125521,Mm.5291,P97461
Rps6,ENSMUSG00000028495,,,20104,IPI00113655,Mm.379007,P62754
Rps7,ENSMUSG00000061477,ENSMUSP00000073880,ENSMUST00000074267,20115,IPI00136984,Mm.279839,P62082
Rps8,ENSMUSG00000047675,,,20116,IPI00466820,Mm.260904,P62242
Rps9,ENSMUSG00000006333,,,76846,IPI00420726,Mm.13944,Q6ZWN5
Rpsa,ENSMUSG00000032518,ENSMUSP00000035105,ENSMUST00000035105,16785,IPI00123604,Mm.4071,P14206
Rapsn,ENSMUSG00000002104,ENSMUSP00000150105,ENSMUST00000216935,19400,IPI00222353,Mm.1272,P12672
Sdf4,ENSMUSG00000029076,,,20318,IPI00117754,Mm.293517,Q61112
Pramef8,ENSMUSG00000046862,ENSMUSP00000137777,ENSMUST00000180619,242736,IPI00228920,Mm.275953,Q8CE24
Cldn34b4,ENSMUSG00000073085,ENSMUSP00000098964,ENSMUST00000101419,619294,IPI00651887,Mm.423961,Q3V0X2
Prr27,ENSMUSG00000002240,,,73779,IPI00761941,Mm.263642,Q3SYJ2
4930503B20Rik,ENSMUSG00000048652,ENSMUSP00000051453,ENSMUST00000049703,75015,IPI00330983,Mm.250432,Q80ZP0
4933402E13Rik,ENSMUSG00000045330,ENSMUSP00000056260,ENSMUST00000051414,74437,IPI00137111,Mm.85792,Q9D4D2
4933409K07Rik,,,,108816,,Mm.440578,
Spdye4b,ENSMUSG00000029586,ENSMUSP00000031574,ENSMUST00000031574,330228,IPI00228797,Mm.255752,Q8CDE8
Tmem217,ENSMUSG00000079580,ENSMUSP00000110331,ENSMUST00000114683,71138,IPI00775873,Mm.158581,Q14AF1
4933415F23Rik,ENSMUSG00000073730,ENSMUSP00000072920,ENSMUST00000073179,66755,IPI00408897,Mm.431297,Q14BX6
Abat,ENSMUSG00000057880,,,268860,IPI00407499,Mm.259315,P61922
Slc3a2,ENSMUSG00000010095,,,17254,IPI00114641,Mm.4114,P10852
Hoga1,ENSMUSG00000025176,,,67432,IPI00753303,Mm.24196,Q9DCU9
Coq2,ENSMUSG00000029319,ENSMUSP00000031262,ENSMUST00000031262,71883,IPI00556862,Mm.260661,Q66JT7
Hpd,ENSMUSG00000029445,,,15445,IPI00554931,Mm.439709,P49429
