FLYBASE,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,SYMBOL,UNIGENE,UNIPROT
FBgn0261608,FBgn0261608,FBpp0078656,FBtr0079017,44783,RpL37A,Dm.1819,M9MRF2
FBgn0259682,FBgn0259682,FBpp0289222,FBtr0299945,37164,Jabba,Dm.691,B7YZK5
FBgn0263199,FBgn0263199,FBpp0292326,FBtr0303234,39031,Galk,Dm.900,Q95U34
FBgn0033233,FBgn0033233,FBpp0301578,FBtr0309844,35744,Kdm4A,Dm.4139,A0A0B4K7U3
FBgn0031395,FBgn0031395,FBpp0077521,FBtr0077849,33394,CG10874,Dm.6070,E4NKL4
FBgn0016977,FBgn0016977,FBpp0077781,FBtr0078122,44205,spen,Dm.3450,M9NCM6
FBgn0038929,FBgn0038929,FBpp0083577,FBtr0084179,42597,CG13408,Dm.27369,Q9VD50
FBgn0029950,FBgn0029950,FBpp0071015,FBtr0071057,31674,CG9657,Dm.13435,Q9W3R0
FBgn0016930,FBgn0016930,FBpp0089218,FBtr0089289,34831,Dyrk2,Dm.2597,Q9V3D5
FBgn0038877,FBgn0038877,FBpp0083501,FBtr0084102,42527,CG3308,Dm.4069,Q9VDC1
FBgn0033978,FBgn0033978,FBpp0086582,FBtr0087452,36661,Cyp6a23,Dm.5848,B5RJL8
FBgn0034882,FBgn0034882,FBpp0071980,FBtr0072071,37736,Eglp1,Dm.749,Q9W1M4
FBgn0036187,FBgn0036187,FBpp0075866,FBtr0076135,39309,RIOK1,Dm.932,Q9VTL5
FBgn0052282,FBgn0052282,FBpp0072925,FBtr0073061,317954,Drsl4,Dm.15765,Q8IRD6
FBgn0037783,FBgn0037783,FBpp0081654,FBtr0082176,41233,Npc2c,Dm.11671,Q9VH31
FBgn0039163,FBgn0039163,FBpp0083959,FBtr0084574,42875,CG5515,Dm.23339,Q9VCB9
FBgn0033842,FBgn0033842,FBpp0086820,FBtr0087701,36494,cbc,Dm.601,Q7K284
FBgn0029816,FBgn0029816,FBpp0070784,FBtr0070819,31515,CG12729,Dm.5118,Q9W466
FBgn0032001,FBgn0032001,FBpp0088874,FBtr0089935,34122,CG8360,Dm.13858,Q9VLR3
FBgn0032472,FBgn0032472,FBpp0080074,FBtr0080496,34704,CG9928,Dm.20729,Q9VK39
FBgn0035693,FBgn0035693,FBpp0076711,FBtr0077003,38722,CG8219,Dm.13597,Q9VRV9
FBgn0024320,FBgn0024320,FBpp0292910,FBtr0303907,34358,Npc1a,,Q9VL24
FBgn0034205,FBgn0034205,FBpp0086142,FBtr0086990,36942,CG10950,Dm.13324,A1ZAR6
FBgn0052451,FBgn0052451,FBpp0112349,FBtr0113437,40495,SPoCk,Dm.31157,A8JNX2
FBgn0051201,FBgn0051201,FBpp0110134,FBtr0110837,318623,GluRIIE,Dm.18739,Q0KI42
FBgn0024740,FBgn0024740,FBpp0309220,FBtr0340247,43980,Lip2,Dm.27465,X2J9C9
FBgn0085243,FBgn0085243,FBpp0111322,FBtr0112407,5740774,CG34214,Dm.35969,Q6IGX8
FBgn0032853,FBgn0032853,FBpp0311732,FBtr0345683,35303,CG10651,Dm.27712,Q9VIN6
FBgn0000463,FBgn0000463,FBpp0083154,FBtr0083740,42313,Dl,Dm.7687,A4V346
FBgn0000577,FBgn0000577,FBpp0087198,FBtr0088096,36240,en,Dm.22056,P02836
FBgn0042106,FBgn0042106,FBpp0292250,FBtr0303151,59145,CG18754,Dm.3986,A0A0B4KHA5
FBgn0040793,FBgn0040793,FBpp0074979,FBtr0075217,50266,CG7630,Dm.20566,Q9VVG5
FBgn0014427,FBgn0014427,FBpp0084759,FBtr0085390,46391,CG11899,Dm.11354,Q9VAN0
FBgn0033816,FBgn0033816,FBpp0086872,FBtr0087759,36466,CG4679,Dm.13547,A1Z9A8
FBgn0036470,FBgn0036470,FBpp0075384,FBtr0075631,39637,EAChm,Dm.13275,Q9VUK1
FBgn0031195,FBgn0031195,FBpp0077050,FBtr0077358,33141,CG17600,Dm.33456,Q9VR63
FBgn0035554,FBgn0035554,FBpp0073184,FBtr0073328,38556,CG13721,Dm.27054,Q9VZB1
FBgn0011289,FBgn0011289,FBpp0084524,FBtr0085154,43284,TfIIA-L,Dm.3640,P52654
FBgn0028855,FBgn0028855,FBpp0080224,FBtr0080656,34853,CG15282,Dm.20460,Q9VJS1
FBgn0266434,FBgn0266434,FBpp0310797,FBtr0344425,19836116,CG45064,,X2JKA0
FBgn0038595,FBgn0038595,FBpp0083021,FBtr0083600,42194,CG7142,Dm.29786,Q9VEA0
FBgn0025186,FBgn0025186,FBpp0071688,FBtr0071774,37542,ari-2,Dm.4783,O76924
FBgn0027552,FBgn0027552,FBpp0073028,FBtr0073171,38463,CG10863,Dm.3141,Q9Y112
FBgn0033668,FBgn0033668,FBpp0087146,FBtr0088040,36276,exp,Dm.30906,A1Z8R0
FBgn0023000,FBgn0023000,FBpp0072469,FBtr0072570,38058,mth,Dm.4379,E1JHX3
FBgn0039378,FBgn0039378,FBpp0289406,FBtr0300129,43124,alpha4GT2,,Q9VBL5
FBgn0034964,FBgn0034964,FBpp0072077,FBtr0072168,37840,IntS1,,Q9W1C5
FBgn0051053,FBgn0051053,FBpp0084637,FBtr0085268,318572,CG31053,Dm.31349,Q8IMM9
FBgn0040268,FBgn0040268,FBpp0080787,FBtr0081246,35236,Top3alpha,Dm.2659,Q9NG98
FBgn0030025,FBgn0030025,FBpp0071114,FBtr0071166,31759,CG2147,Dm.1985,Q9W3H5
FBgn0036260,FBgn0036260,FBpp0075752,FBtr0076020,39389,Rh7,Dm.2696,Q9VTU7
FBgn0031430,FBgn0031430,FBpp0077460,FBtr0077781,33436,CG3528,Dm.30801,Q9VQD0
FBgn0003520,FBgn0003520,FBpp0085963,FBtr0086784,37065,stau,Dm.4722,E1JGK6
FBgn0031969,FBgn0031969,FBpp0304064,FBtr0331674,34087,pes,Dm.5223,B7Z031
FBgn0038151,FBgn0038151,FBpp0291732,FBtr0302576,41652,yellow-e2,,Q9VFV2
FBgn0030318,FBgn0030318,FBpp0073366,FBtr0073519,32109,rho-4,Dm.1673,Q9VYW6
FBgn0010741,FBgn0010741,FBpp0075967,FBtr0076238,46121,Pfdn2,Dm.11375,M9PF40
FBgn0050343,FBgn0050343,FBpp0300525,FBtr0308205,246551,CG30343,Dm.3805,A0A0B4K7V3
FBgn0039972,FBgn0039972,FBpp0085309,FBtr0085956,49895,CG17018,Dm.20928,Q9W5Y4
FBgn0035673,FBgn0035673,FBpp0076755,FBtr0077047,38691,CG6602,Dm.27063,Q9VRT5
Dmel_CG33094,,,,,,,
FBgn0043884,FBgn0043884,FBpp0293580,FBtr0305043,50070,mask,Dm.7426,A0A0B4K725
FBgn0265623,FBgn0265623,FBpp0303463,FBtr0330613,36432,Su(z)2,Dm.2672,E1JH51
FBgn0002569,FBgn0002569,FBpp0087826,FBtr0088747,35825,Mal-A2,Dm.5267,P07191
FBgn0015025,FBgn0015025,FBpp0075259,FBtr0075504,39721,CkIIalpha-i1,Dm.2862,Q9VUU3
FBgn0029894,FBgn0029894,FBpp0302567,FBtr0310419,31610,CG14440,Dm.11494,Q9W3X1
FBgn0053499,FBgn0053499,FBpp0312291,FBtr0346678,2768886,Sdic4,,X2JCR4
FBgn0025620,FBgn0025620,FBpp0070142,FBtr0070147,31025,CG13360,Dm.19662,O77436
FBgn0037627,FBgn0037627,FBpp0081424,FBtr0081942,41048,CG13318,Dm.6116,Q8SZ60
FBgn0037364,FBgn0037364,FBpp0078376,FBtr0078727,40701,Rab23,Dm.11663,Q9VNG6
FBgn0032030,FBgn0032030,FBpp0079266,FBtr0079650,34153,Wdr82,Dm.6967,Q9VLN1
FBgn0031409,FBgn0031409,FBpp0077436,FBtr0077756,33410,CG4271,Dm.26709,Q9VQA4
FBgn0001228,FBgn0001228,FBpp0100114,FBtr0100653,3771872,CG4456,Dm.21298,M9MRT2
FBgn0028567,FBgn0028567,FBpp0304901,FBtr0332655,38170,robl62A,Dm.1912,Q9W0F0
Dmel_CG6643,,,,,,,
FBgn0027570,FBgn0027570,FBpp0293663,FBtr0305133,40588,Nep2,Dm.2492,A0A0B4K692
FBgn0000121,FBgn0000121,FBpp0076326,FBtr0076599,38993,Arr2,Dm.7211,A8E775
FBgn0037814,FBgn0037814,FBpp0081737,FBtr0082260,41268,CG6325,Dm.3798,Q9VGZ4
FBgn0062413,FBgn0062413,FBpp0070912,FBtr0070951,31601,Ctr1A,Dm.20559,Q9W3X9
FBgn0264075,FBgn0264075,FBpp0081483,FBtr0082005,41084,tgo,Dm.3376,A0A0B4KFJ2
FBgn0263321,FBgn0263321,FBpp0310389,FBtr0343842,12797876,CG43402,Dm.37565,C9QP70
FBgn0015240,FBgn0015240,FBpp0084131,FBtr0084756,42993,Hr96,Dm.1650,Q24143
FBgn0053642,FBgn0053642,FBpp0090985,FBtr0091619,3771733,CG33642,Dm.28560,Q4ABF9
FBgn0039688,FBgn0039688,FBpp0308775,FBtr0339718,43501,Kul,,Q9VAI2
FBgn0037719,FBgn0037719,FBpp0099981,FBtr0082105,41162,bocks,Dm.2003,Q709R6
CG3860,,,,,,,
FBgn0037579,FBgn0037579,FBpp0081329,FBtr0081839,40995,COX7AL,Dm.7477,Q9VHR9
FBgn0034118,FBgn0034118,FBpp0309066,FBtr0340060,36830,Nup62,Dm.11873,Q7JXF5
FBgn0031883,FBgn0031883,FBpp0311045,FBtr0344712,33989,Caper,Dm.7322,X2JDG0
FBgn0030215,FBgn0030215,FBpp0071441,FBtr0071512,31986,CG15296,Dm.33487,Q9W2T5
Dmel_CG42769,,,,,,,
FBgn0034286,FBgn0034286,FBpp0309247,FBtr0340286,3885598,dpr13,Dm.23935,A1ZB15
FBgn0052040,FBgn0052040,FBpp0076168,FBtr0076440,317835,CG32040,Dm.27899,Q8IQC7
FBgn0020503,FBgn0020503,FBpp0304728,FBtr0332455,35042,CLIP-190,Dm.3487,Q0E8Q0
FBgn0036381,FBgn0036381,FBpp0075543,FBtr0075801,39530,CG8745,Dm.3716,Q9VU95
FBgn0036022,FBgn0036022,FBpp0076116,FBtr0076387,39123,CG8329,Dm.4671,Q9VT23
FBgn0052529,FBgn0052529,FBpp0297490,FBtr0306523,33000,Hers,Dm.31021,Q2MGL2
FBgn0035425,FBgn0035425,FBpp0072956,FBtr0073094,38400,CG17746,Dm.6384,Q9VZS1
FBgn0030407,FBgn0030407,FBpp0073488,FBtr0073655,32212,CG2543,,X2JDF2
FBgn0263973,FBgn0263973,FBpp0300167,FBtr0307512,318008,jv,Dm.29176,M9NE38
FBgn0038828,FBgn0038828,FBpp0083398,FBtr0083994,42462,CG17270,Dm.1265,Q9VDI6
FBgn0027864,FBgn0027864,FBpp0071168,FBtr0071223,31806,Ogg1,Dm.3084,C4IXZ6
FBgn0036830,FBgn0036830,FBpp0289099,FBtr0299821,40066,CG14077,Dm.15158,Q9VVU8
FBgn0053773,FBgn0053773,FBpp0091035,FBtr0091774,3772436,CG33773,Dm.26294,Q4AB21
FBgn0031765,FBgn0031765,FBpp0078855,FBtr0079224,33844,CG9109,Dm.19586,X2JDC2
FBgn0051928,FBgn0051928,FBpp0077594,FBtr0077929,326175,CG31928,Dm.26648,Q9VQ11
FBgn0050357,FBgn0050357,FBpp0087800,FBtr0088721,246563,CG30357,Dm.33684,A1Z7I5
FBgn0020248,FBgn0020248,FBpp0072596,FBtr0072712,38169,stet,Dm.3465,Q9W0E9
FBgn0037130,FBgn0037130,FBpp0306025,FBtr0333893,40424,Syn1,Dm.13044,M9PGE3
FBgn0040649,FBgn0040649,FBpp0077003,FBtr0077311,50122,CG15461,Dm.10683,Q9VRA5
FBgn0035657,FBgn0035657,FBpp0076777,FBtr0077069,38675,alphaKap4,Dm.27878,Q9VRS0
FBgn0032490,FBgn0032490,FBpp0306794,FBtr0334753,34724,CG16813,Dm.26806,Q9VK16
FBgn0020880,FBgn0020880,FBpp0290374,FBtr0301151,34059,CG7179,,Q9VLX5
FBgn0029648,FBgn0029648,FBpp0304769,FBtr0332493,31289,CG3603,Dm.33035,Q9W4U2
FBgn0039584,FBgn0039584,FBpp0084658,FBtr0085289,43377,beat-VI,Dm.3491,Q9VAV8
FBgn0041622,FBgn0041622,FBpp0089412,FBtr0075901,2768964,Or69a,Dm.26498,P82985
FBgn0260003,FBgn0260003,FBpp0110218,FBtr0110918,42327,Dys,Dm.16710,Q9VDW3
FBgn0058191,FBgn0058191,FBpp0112548,FBtr0113825,3354930,CG40191,Dm.7153,Q7PLT1
FBgn0032819,FBgn0032819,FBpp0080828,FBtr0081290,35264,CG10463,Dm.13522,Q9VIS4
FBgn0039869,FBgn0039869,FBpp0085195,FBtr0085836,43737,CG1890,Dm.1392,Q9V9U7
FBgn0267047,FBgn0267047,FBpp0311897,FBtr0346030,19835590,CG45491,,X2JLD3
FBgn0032588,FBgn0032588,FBpp0080429,FBtr0080872,34986,CG5968,Dm.7856,Q9VJK3
FBgn0262960,FBgn0262960,FBpp0297649,FBtr0306712,12798001,CG43271,,M9NF77
FBgn0034176,FBgn0034176,FBpp0086207,FBtr0087059,36908,ste24a,Dm.659,Q7K172
FBgn0025702,FBgn0025702,FBpp0292632,FBtr0303599,40461,Srpk79D,Dm.7562,Q9VNV0
FBgn0033548,FBgn0033548,FBpp0087347,FBtr0088252,36135,CG7637,Dm.30961,Q9V5P6
FBgn0003310,FBgn0003310,FBpp0077659,FBtr0077994,33281,S,Dm.251,A4UZY2
FBgn0017572,FBgn0017572,FBpp0075117,FBtr0075358,39858,Mo25,Dm.6189,M9PI82
FBgn0013983,FBgn0013983,FBpp0085904,FBtr0086725,44339,imd,Dm.1434,Q7K4Z4
FBgn0044452,FBgn0044452,FBpp0072840,FBtr0072970,38344,Atg2,Dm.827,Q9VZX7
FBgn0051874,FBgn0051874,FBpp0079554,FBtr0079964,318995,CG31874,Dm.33659,Q8IPD2
FBgn0037551,FBgn0037551,FBpp0308779,FBtr0339723,40961,Gie,Dm.11405,A0A0B4LGT4
FBgn0052547,FBgn0052547,FBpp0288441,FBtr0290002,3346150,CG32547,,Q59E37
FBgn0005779,FBgn0005779,FBpp0077344,FBtr0077660,49780,PpD6,Dm.1744,Q9VQL9
FBgn0033551,FBgn0033551,FBpp0087318,FBtr0088223,36138,CG7222,Dm.560,Q7K2B1
Dmel_CG9611,,,,,,,
FBgn0038250,FBgn0038250,FBpp0082425,FBtr0082966,41777,CG3505,Dm.11651,Q8SX54
FBgn0030456,FBgn0030456,FBpp0073557,FBtr0073726,32267,CG4332,Dm.151,Q9VYG3
FBgn0034197,FBgn0034197,FBpp0309120,FBtr0340127,36934,Cda9,Dm.26948,A1ZAQ7
FBgn0051437,FBgn0051437,FBpp0084209,FBtr0084834,318735,CG31437,,Q8IMT0
FBgn0039768,FBgn0039768,FBpp0084990,FBtr0085626,43612,CG15533,,Q9VA78
FBgn0030157,FBgn0030157,FBpp0071323,FBtr0071388,31920,CG1468,Dm.120,Q9W310
FBgn0262732,FBgn0262732,FBpp0075151,FBtr0075393,39842,mbf1,Dm.7996,Q9XZ03
FBgn0004435,FBgn0004435,FBpp0086942,FBtr0087829,36384,Galphaq,Dm.13902,P23625
FBgn0035993,FBgn0035993,FBpp0076232,FBtr0076504,39091,Nf-YA,Dm.11610,Q9VSY9
FBgn0267976,FBgn0267976,FBpp0112504,FBtr0113781,3355096,Tim23,Dm.11217,Q8MRW1
FBgn0015477,FBgn0015477,FBpp0087699,FBtr0088618,35939,Rme-8,,A0A0B4LFW6
FBgn0015037,FBgn0015037,FBpp0087673,FBtr0088592,45524,Cyp4p1,Dm.1795,Q9V558
FBgn0035217,FBgn0035217,FBpp0072577,FBtr0072693,38164,FucTD,Dm.5603,Q9W0F6
FBgn0062411,FBgn0062411,FBpp0085111,FBtr0085749,43668,Ctr1C,Dm.5533,Q9VA22
FBgn0261808,FBgn0261808,FBpp0112131,FBtr0113219,41339,cu,Dm.11906,Q8MTZ6
FBgn0040368,FBgn0040368,FBpp0070242,FBtr0070252,31059,eIF4E7,Dm.7678,Q9W5B3
FBgn0033234,FBgn0033234,FBpp0301577,FBtr0309843,35745,MFS12,Dm.2207,A0A0B4K6S9
FBgn0050148,FBgn0050148,FBpp0309587,FBtr0342706,37318,CG30148,Dm.13319,Q8MKJ9
FBgn0040060,FBgn0040060,FBpp0076746,FBtr0077038,38680,yip7,Dm.21609,Q9VRS4
FBgn0033591,FBgn0033591,FBpp0087289,FBtr0088193,36181,CG13216,Dm.6354,Q7K0A3
FBgn0034870,FBgn0034870,FBpp0071966,FBtr0072057,37720,CG13559,Dm.27016,Q9W1P0
FBgn0040106,FBgn0040106,FBpp0300624,FBtr0308305,33242,lectin-21Cb,,Q9VPS1
FBgn0030800,FBgn0030800,FBpp0074122,FBtr0074348,32677,Nprl2,Dm.19726,Q9VXA0
FBgn0025111,FBgn0025111,FBpp0073282,FBtr0073426,32008,Ant2,Dm.21507,O62526
FBgn0035871,FBgn0035871,FBpp0076434,FBtr0076711,38936,BI-1,Dm.7527,Q9VSH3
FBgn0041723,FBgn0041723,FBpp0088796,FBtr0089855,2768944,rho-5,Dm.29140,Q76NQ1
CG31522,,,,,,,
FBgn0085222,FBgn0085222,FBpp0311690,FBtr0345622,5740572,CG34193,,A8DYH5
FBgn0033038,FBgn0033038,FBpp0085393,FBtr0086057,35511,CG7791,Dm.491,A1Z6H6
FBgn0015019,FBgn0015019,FBpp0082787,FBtr0083337,42029,CCT3,Dm.6927,A4V303
Dmel_CG42573,,,,,,,
FBgn0023521,FBgn0023521,FBpp0070308,FBtr0070321,31160,CG3587,Dm.24,O46079
FBgn0050290,FBgn0050290,FBpp0309730,FBtr0342959,246533,Ppcdc,Dm.30885,Q8MKK3
FBgn0034910,FBgn0034910,FBpp0072147,FBtr0072238,37771,CG4763,Dm.15027,Q9W1J1
FBgn0028920,FBgn0028920,FBpp0310262,FBtr0343671,34799,CG8997,,Q9V3A0
FBgn0262609,FBgn0262609,FBpp0293826,FBtr0305283,12798108,CG43135,Dm.38901,M9NDN6
FBgn0259737,FBgn0259737,FBpp0289319,FBtr0300042,7354405,CG42391,Dm.36971,B7YZH2
FBgn0265630,FBgn0265630,FBpp0309424,FBtr0340488,32273,sno,,A8JUV0
FBgn0035016,FBgn0035016,FBpp0072253,FBtr0072346,37914,CG4612,Dm.773,Q9W158
FBgn0037636,FBgn0037636,FBpp0306721,FBtr0334659,41058,CG9821,Dm.3732,Q9VHK8
FBgn0085482,FBgn0085482,FBpp0288793,FBtr0299518,5740693,CG34453,Dm.34622,A8JNG7
FBgn0037383,FBgn0037383,FBpp0078315,FBtr0078666,40724,CG2023,Dm.18658,Q9VNI9
FBgn0040688,FBgn0040688,FBpp0072439,FBtr0072540,50161,CG12483,Dm.20561,Q9W0V4
FBgn0033972,FBgn0033972,FBpp0086590,FBtr0087460,36655,Ciao1,Dm.630,Q7K1Y4
Dmel_CG14660,,,,,,,
FBgn0019936,FBgn0019936,FBpp0083371,FBtr0083964,42464,RpS20,Dm.2391,A0A1B2AL12
FBgn0033428,FBgn0033428,FBpp0087607,FBtr0088524,35986,Updo,Dm.30898,B5RJ76
FBgn0033985,FBgn0033985,FBpp0086539,FBtr0087408,36671,CG10257,Dm.20390,Q8SWZ6
FBgn0030241,FBgn0030241,FBpp0073266,FBtr0073410,32015,feo,Dm.7294,Q9VZ62
FBgn0261797,FBgn0261797,FBpp0304990,FBtr0332749,38580,Dhc64C,Dm.846,M9PBQ0
FBgn0266916,FBgn0266916,FBpp0308429,FBtr0339328,41014,Cenp-C,Dm.14702,A0A0B4LGX0
FBgn0021764,FBgn0021764,FBpp0291469,FBtr0302260,31017,sdk,,E1JJC3
FBgn0000256,FBgn0000256,FBpp0288519,FBtr0290080,33611,capu,Dm.4776,B7Z010
FBgn0000077,FBgn0000077,FBpp0298282,FBtr0307281,43869,amx,Dm.1883,M9NF00
FBgn0028888,FBgn0028888,FBpp0309808,FBtr0343105,34889,CG4168,,Q9VJQ0
FBgn0040653,FBgn0040653,FBpp0311805,FBtr0345819,50126,IM4,Dm.6314,A0A0B4LG54
CG31100,,,,,,,
FBgn0027948,FBgn0027948,FBpp0290694,FBtr0301479,41952,msps,Dm.4280,E1JIM4
FBgn0005664,FBgn0005664,FBpp0309533,FBtr0342578,34604,Crys,Dm.4854,Q9VKE2
FBgn0033885,FBgn0033885,FBpp0086741,FBtr0087615,36543,DJ-1alpha,Dm.30975,A1Z9J4
FBgn0035090,FBgn0035090,FBpp0072310,FBtr0072403,37998,CG2736,Dm.789,Q9W0X1
FBgn0053530,FBgn0053530,FBpp0100040,FBtr0091496,3346203,Acp53C14c,Dm.28792,Q6IGA4
FBgn0039454,FBgn0039454,FBpp0084415,FBtr0085043,43221,CG14247,Dm.36950,Q4V5R2
FBgn0003028,FBgn0003028,FBpp0070706,FBtr0070738,31429,ovo,Dm.1677,P51521
FBgn0285937,FBgn0285937,FBpp0083503,FBtr0084104,42524,Rab1,Dm.2386,O18332
FBgn0033278,FBgn0033278,FBpp0087873,FBtr0088796,35803,CG14759,,A1Z7C7
FBgn0033862,FBgn0033862,FBpp0086777,FBtr0087651,36517,CG6209,Dm.30973,A1Z9G6
FBgn0022774,FBgn0022774,FBpp0074729,FBtr0074961,40145,Oat,Dm.4668,Q9VW26
FBgn0032455,FBgn0032455,FBpp0088847,FBtr0089908,34685,Pih1D1,Dm.3691,Q9VK57
FBgn0029700,FBgn0029700,FBpp0070629,FBtr0070661,31369,CG15576,Dm.7492,Q9W4M0
FBgn0040812,FBgn0040812,FBpp0311745,FBtr0345696,50285,CG8750,Dm.7448,Q9VU93
FBgn0037849,FBgn0037849,FBpp0081766,FBtr0082289,41312,CG4596,Dm.5913,Q9VGV1
FBgn0264078,FBgn0264078,FBpp0073771,FBtr0073954,32425,Flo2,Dm.6791,E1JJL2
FBgn0004374,FBgn0004374,FBpp0080864,FBtr0081332,35293,neb,Dm.4945,Q9VIP4
FBgn0063923,FBgn0063923,FBpp0099597,FBtr0100851,3772691,Kaz1-ORFB,Dm.20004,O97042
FBgn0029913,FBgn0029913,FBpp0071000,FBtr0071041,31630,Cht11,Dm.13433,Q9W3V1
FBgn0266436,FBgn0266436,FBpp0310799,FBtr0344427,19835136,CG45066,Dm.13591,M9NEZ1
FBgn0027356,FBgn0027356,FBpp0086941,FBtr0087828,36383,Amph,Dm.3121,A0A0B4KEW6
FBgn0250836,FBgn0250836,FBpp0076623,FBtr0076914,38783,CG8628,Dm.23638,Q9VS22
FBgn0030975,FBgn0030975,FBpp0311226,FBtr0344973,32887,SdhBL,,Q9VWN3
FBgn0051106,FBgn0051106,FBpp0290244,FBtr0301022,318594,CG31106,Dm.16500,Q8IMT7
FBgn0035623,FBgn0035623,FBpp0076796,FBtr0077088,38636,mthl2,Dm.12868,Q9VRN2
FBgn0029939,FBgn0029939,FBpp0290459,FBtr0301241,31660,CG9650,Dm.20992,A8JV12
FBgn0029785,FBgn0029785,FBpp0070766,FBtr0070800,31483,RpL35,Dm.19648,Q9W499
FBgn0034530,FBgn0034530,FBpp0289922,FBtr0300698,37332,Rcd6,Dm.709,Q7JR73
FBgn0053310,FBgn0053310,FBpp0310272,FBtr0343684,2768910,CG33310,,Q7KT77
FBgn0011211,FBgn0011211,FBpp0071794,FBtr0071883,37617,blw,Dm.7300,P35381
FBgn0037652,FBgn0037652,FBpp0081443,FBtr0081963,41078,CG11980,Dm.31237,Q8INP9
CG15107,,,,,,,
FBgn0003651,FBgn0003651,FBpp0082034,FBtr0082562,41491,svp,Dm.20676,A0A0B4KFQ2
FBgn0034755,FBgn0034755,FBpp0311612,FBtr0345503,37593,CG3746,Dm.5884,Q9W225
FBgn0039682,FBgn0039682,FBpp0305401,FBtr0333199,43494,Obp99c,Dm.6182,A0A0B4KI20
FBgn0031077,FBgn0031077,FBpp0288416,FBtr0289978,33001,THADA,Dm.10841,M9NFG3
FBgn0265194,FBgn0265194,FBpp0308225,FBtr0339079,36694,Trpm,Dm.2244,A8DYE2
Dmel_CG3412,,,,,,,
FBgn0053196,FBgn0053196,FBpp0304620,FBtr0332343,318824,dpy,Dm.20530,M9NER8
FBgn0037239,FBgn0037239,FBpp0078554,FBtr0078914,40552,Sfxn1-3,Dm.5029,Q9VN13
FBgn0051211,FBgn0051211,FBpp0081955,FBtr0082481,41443,CG31211,Dm.7232,Q9VGG3
FBgn0267163,FBgn0267163,FBpp0312040,FBtr0346284,19835642,CG45603,,X2JDD8
FBgn0040344,FBgn0040344,FBpp0310018,FBtr0343361,31037,CG3711,,M9PGD0
FBgn0043792,FBgn0043792,FBpp0290178,FBtr0300956,37986,CG30427,Dm.19374,Q9W0Y5
FBgn0033767,FBgn0033767,FBpp0086960,FBtr0087847,36398,CG13148,Dm.7921,Q0E9A0
FBgn0036465,FBgn0036465,FBpp0075422,FBtr0075669,2768973,Rpn12R,Dm.33494,Q9VUJ4
FBgn0265523,FBgn0265523,FBpp0305907,FBtr0333766,32225,Smr,Dm.7194,M9PGZ8
FBgn0035040,FBgn0035040,FBpp0072244,FBtr0072337,37939,CG4741,Dm.13580,H0RN67
FBgn0263035,FBgn0263035,FBpp0297769,FBtr0306915,12798460,CG43330,,M9NEJ1
FBgn0052574,FBgn0052574,FBpp0074103,FBtr0074329,326223,Twdlalpha,,Q8IR08
FBgn0015351,FBgn0015351,FBpp0307589,FBtr0336486,42030,CG14906,Dm.38606,Q9VER8
FBgn0033020,FBgn0033020,FBpp0307244,FBtr0335260,35491,COX4L,Dm.14583,A0A0B4KEI0
FBgn0085407,FBgn0085407,FBpp0111524,FBtr0112612,33995,Pvf3,Dm.4699,Q9VM39
FBgn0039350,FBgn0039350,FBpp0112200,FBtr0113288,43093,jigr1,Dm.7493,Q9VBP5
FBgn0283500,FBgn0283500,FBpp0072546,FBtr0072652,38137,Sac1,Dm.4642,M9MRM4
FBgn0267033,FBgn0267033,FBpp0311884,FBtr0346005,32353,mamo,Dm.17448,H1UUK0
FBgn0000018,FBgn0000018,FBpp0079757,FBtr0080168,44793,abo,,Q9VKM4
FBgn0032815,FBgn0032815,FBpp0099757,FBtr0100352,35260,CG10462,Dm.12147,Q2PDT3
FBgn0037759,FBgn0037759,FBpp0081620,FBtr0082142,41208,CG8526,Dm.8003,A0A0B4KG17
FBgn0036207,FBgn0036207,FBpp0075761,FBtr0076029,39331,CG10907,Dm.6179,Q9VTN7
FBgn0053986,FBgn0053986,FBpp0293993,FBtr0305542,3885638,CG33986,Dm.31198,Q2PDY8
FBgn0032404,FBgn0032404,FBpp0312091,FBtr0346426,34625,RpL7-like,Dm.5993,Q9VKC1
FBgn0002723,FBgn0002723,FBpp0073368,FBtr0073521,32114,Met,Dm.2616,Q9VYW2
FBgn0038989,FBgn0038989,FBpp0083659,FBtr0084266,42662,CG6937,Dm.6006,Q9VCY1
FBgn0050108,FBgn0050108,FBpp0271806,FBtr0273298,246460,CG30108,,A1ZAX2
FBgn0031114,FBgn0031114,FBpp0309346,FBtr0340400,33043,cactin,,Q9VR99
FBgn0052371,FBgn0052371,FBpp0076502,FBtr0076788,317999,CG32371,Dm.33652,Q8IQA0
FBgn0045827,FBgn0045827,FBpp0311950,FBtr0346121,50456,CG13245,Dm.33546,Q9VJM5
FBgn0015024,FBgn0015024,FBpp0309354,FBtr0340408,32221,CkIalpha,Dm.2166,E1JJI5
FBgn0086266,FBgn0086266,FBpp0078870,FBtr0079240,33828,Vm26Ac,Dm.27651,Q9VMK5
FBgn0050104,FBgn0050104,FBpp0086084,FBtr0086928,246458,NT5E-2,Dm.19180,Q8SZY4
FBgn0032701,FBgn0032701,FBpp0309810,FBtr0343109,35125,CG10341,Dm.23213,A0A023GQ99
