FLYBASE,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,SYMBOL,UNIGENE,UNIPROT
FBgn0050362,FBgn0050362,FBpp0087847,FBtr0088769,35809,boly,Dm.7550,Q7JVN4
FBgn0033685,FBgn0033685,FBpp0087126,FBtr0088019,36300,OSCP1,Dm.26904,Q29QP4
FBgn0036350,FBgn0036350,FBpp0304172,FBtr0331787,39497,CG14111,,Q9VU60
FBgn0051815,FBgn0051815,FBpp0080427,FBtr0080870,318959,CG31815,Dm.33819,Q8IP16
FBgn0034996,FBgn0034996,FBpp0072171,FBtr0072264,37883,CG13575,,Q9W189
FBgn0261571,FBgn0261571,FBpp0291997,FBtr0302857,34854,CG42685,,Q9VJS0
FBgn0039402,FBgn0039402,FBpp0084340,FBtr0084967,43164,Vps2,Dm.10330,Q9VBI3
FBgn0039131,FBgn0039131,FBpp0083900,FBtr0084513,42833,CG12268,Dm.11007,Q9VCF6
FBgn0036110,FBgn0036110,FBpp0075923,FBtr0076193,39225,Cpr67Fb,Dm.27110,Q9VTC8
FBgn0037710,FBgn0037710,FBpp0081591,FBtr0082113,41152,CG9393,Dm.4515,A0A0B4KGL6
FBgn0032195,FBgn0032195,FBpp0079540,FBtr0079950,34360,CG4908,Dm.383,Q9VL22
FBgn0035645,FBgn0035645,FBpp0076737,FBtr0077029,38662,CG5592,Dm.7874,Q9VRQ8
FBgn0260862,FBgn0260862,FBpp0072503,FBtr0072607,38085,Vti1a,Dm.20008,Q9W0N6
FBgn0014851,FBgn0014851,FBpp0075328,FBtr0075575,39712,Eig71Ek,Dm.4092,Q9VUT3
FBgn0035012,FBgn0035012,FBpp0072260,FBtr0072353,37907,CG13590,Dm.27793,Q9W165
FBgn0032374,FBgn0032374,FBpp0289599,FBtr0300370,34588,CG14931,Dm.26793,M9PCR1
FBgn0034272,FBgn0034272,FBpp0086025,FBtr0086865,37022,Ir54a,,A1ZAY9
FBgn0033375,FBgn0033375,FBpp0087712,FBtr0088631,35920,CG8078,Dm.13362,Q7JWW5
FBgn0038172,FBgn0038172,FBpp0082310,FBtr0082845,41679,Adgf-D,Dm.3264,Q9VFS1
FBgn0042711,FBgn0042711,FBpp0084382,FBtr0085010,117364,Hex-t1,Dm.21469,Q9NFT9
FBgn0000392,FBgn0000392,FBpp0288761,FBtr0290322,33934,cup,Dm.333,Q9VMA3
FBgn0036515,FBgn0036515,FBpp0075318,FBtr0075565,39690,AIMP2,Dm.2085,Q9VUR3
FBgn0027093,FBgn0027093,FBpp0073965,FBtr0074178,32539,ArgRS,Dm.1574,Q9VXN4
FBgn0031450,FBgn0031450,FBpp0088692,FBtr0089751,33458,Hrs,Dm.274,B7FNJ7
FBgn0263597,FBgn0263597,FBpp0301787,FBtr0310089,12798279,Acp98AB,,O46201
FBgn0045823,FBgn0045823,FBpp0076130,FBtr0076401,39137,vsg,Dm.915,M9PHX2
FBgn0264855,FBgn0264855,FBpp0088945,FBtr0089489,33211,AP-2alpha,Dm.246,P91926
FBgn0037683,FBgn0037683,FBpp0081503,FBtr0082025,41116,CG18473,Dm.5836,Q9VHF2
FBgn0034647,FBgn0034647,FBpp0071599,FBtr0071682,37468,pirk,Dm.18847,Q9W2E6
FBgn0037473,FBgn0037473,FBpp0081128,FBtr0081611,40852,CG10068,Dm.31296,Q9VI65
FBgn0035429,FBgn0035429,FBpp0300631,FBtr0308312,38404,CG12017,Dm.20960,M9NFK8
FBgn0260777,FBgn0260777,FBpp0304184,FBtr0331799,8674113,CG42571,Dm.37642,E1JI06
FBgn0034827,FBgn0034827,FBpp0071878,FBtr0071968,37674,Klp59D,,Q9W1U1
FBgn0051223,FBgn0051223,FBpp0083372,FBtr0083965,326127,CG31223,Dm.21119,Q8SZR6
FBgn0050280,FBgn0050280,FBpp0290151,FBtr0300929,37522,CG30280,Dm.27806,E1JGS1
