SGD,COMMON,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,UNIPROT
S000005355,HLT4,YNR072W,YNR072W_mRNA,YNR072W_mRNA,855809,P53631
S000004255,LIF2,YLR265C,YLR265C_mRNA,YLR265C_mRNA,850970,Q06148
S000005871,SGC1,YOR344C,YOR344C_mRNA,YOR344C_mRNA,854525,P33122
S000004548,,YML083C,YML083C_mRNA,YML083C_mRNA,854891,Q04526
S000003804,DNA polymerase delta subunit POL32,YJR043C,YJR043C_mRNA,YJR043C_mRNA,853500,P47110
S000000390,PCH2,YBR186W,YBR186W_mRNA,YBR186W_mRNA,852484,P38126
S000001208,DBF3,YHR165C,YHR165C_mRNA,YHR165C_mRNA,856570,P33334
S000005444,PHM7,YOL084W,YOL084W_mRNA,YOL084W_mRNA,854070,Q12252
S000006229,CCL1,YPR025C,YPR025C_mRNA,YPR025C_mRNA,856136,P37366
S000003476,LSC2,YGR244C,YGR244C_mRNA,YGR244C_mRNA,853159,P53312
S000002529,KIN1,YDR122W,YDR122W_mRNA,YDR122W_mRNA,851700,P13185
S000006123,AFT2,YPL202C,YPL202C_mRNA,YPL202C_mRNA,855899,Q08957
S000005982,ALD1,YPL061W,YPL061W_mRNA,YPL061W_mRNA,856044,P54115
S000001632,DBR1,YKL149C,YKL149C_mRNA,YKL149C_mRNA,853708,P24309
S000004203,CRR1,YLR213C,YLR213C_mRNA,YLR213C_mRNA,850910,Q05790
S000003427,ECM20,YGR195W,YGR195W_mRNA,YGR195W_mRNA,853109,P46948
S000005413,DDR2,YOL052C-A,YOL052C-A_mRNA,YOL052C-A_mRNA,854104,P89113
S000006247,L43A,YJR094W-A,YJR094W-A_mRNA,YJR094W-A_mRNA,856156,P0CX25
S000002820,RRP17,YDR412W,YDR412W_mRNA,YDR412W_mRNA,852021,Q04031
S000005304,,YNR021W,YNR021W_mRNA,YNR021W_mRNA,855755,P53723
S000002491,TVP23,YDR084C,YDR084C_mRNA,YDR084C_mRNA,851657,P38962
S000005691,SEY1,YOR165W,YOR165W_mRNA,YOR165W_mRNA,854336,Q99287
S000028850,,YNL042W-B,YNL042W-B_mRNA,YNL042W-B_mRNA,1466515,Q3E7Z2
S000001669,MTR2,YKL186C,YKL186C_mRNA,YKL186C_mRNA,853649,P34232
S000028804,,YJL047C-A,YJL047C-A_mRNA,YJL047C-A_mRNA,1466468,Q3E737
S000006365,BUR1,YPR161C,YPR161C_mRNA,YPR161C_mRNA,856290,P23293
S000003281,SCM4,YGR049W,YGR049W_mRNA,YGR049W_mRNA,852940,P32564
S000004342,ORM2,YLR350W,YLR350W_mRNA,YLR350W_mRNA,851064,Q06144
S000004610,PLB1,YMR008C,YMR008C_mRNA,YMR008C_mRNA,855020,P39105
S000001445,DIM2,YIR006C,YIR006C_mRNA,YIR006C_mRNA,854822,P32521
S000003716,ATP synthase complex assembly protein ATP12,YJL180C,YJL180C_mRNA,YJL180C_mRNA,853259,P22135
S000002995,CWH41,YGL027C,YGL027C_mRNA,YGL027C_mRNA,852857,P53008
S000000948,LSM5,YER146W,YER146W_mRNA,YER146W_mRNA,856889,P40089
S000002654,TRAPP subunit TRS23,YDR246W,YDR246W_mRNA,YDR246W_mRNA,851833,Q03784
S000000267,,YBR063C,YBR063C_mRNA,YBR063C_mRNA,852356,P38083
S000000345,25S rRNA (adenine2142-N1)-methyltransferase,YBR141C,YBR141C_mRNA,YBR141C_mRNA,852438,P38278
S000002776,YPR1,YDR368W,YDR368W_mRNA,YDR368W_mRNA,851974,Q12458
S000005538,,YOR012W,YOR012W_mRNA,YOR012W_mRNA,854177,Q12351
S000002727,FIT2A,YDR319C,YDR319C_mRNA,YDR319C_mRNA,851917,Q06676
S000000611,SRD1,YCR018C,YCR018C_mRNA,YCR018C_mRNA,850377,P09007
S000002671,DIN3,YDR263C,YDR263C_mRNA,YDR263C_mRNA,851856,Q12086
S000001830,,YFL064C,YFL064C_mRNA,YFL064C_mRNA,850480,P43540
S000005718,THI72,YOR192C,YOR192C_mRNA,YOR192C_mRNA,854364,Q08579
S000003817,,YJR056C,YJR056C_mRNA,YJR056C_mRNA,853518,P47115
S000002858,RPS18A,YDR450W,YDR450W_mRNA,YDR450W_mRNA,852061,P0CX55
S000002205,PPH1,YDL047W,YDL047W_mRNA,YDL047W_mRNA,851513,P20604
S000113557,,YDL007C-A,YDL007C-A_mRNA,YDL007C-A_mRNA,3799969,Q2V2Q0
S000003764,AG(ALPHA)1,YJR004C,YJR004C_mRNA,YJR004C_mRNA,853460,P20840
S000000283,RPG1,YBR079C,YBR079C_mRNA,YBR079C_mRNA,852371,P38249
S000001424,SUC2,YIL162W,YIL162W_mRNA,YIL162W_mRNA,854644,P00724
S000001938,KEG1,YFR042W,YFR042W_mRNA,YFR042W_mRNA,850603,P43614
S000003884,RPS5,YJR123W,YJR123W_mRNA,YJR123W_mRNA,853587,P26783
S000004454,,YLR462W,YLR462W_mRNA,YLR462W_mRNA,851184,O13556
S000001083,HRS2,YHR041C,YHR041C_mRNA,YHR041C_mRNA,856437,P34162
S000007273,BI4,Q0120,Q0120_mRNA,Q0120_mRNA,854582,P03879
S000001126,STE12,YHR084W,YHR084W_mRNA,YHR084W_mRNA,856484,P13574
S000028558,,YKL183C-A,YKL183C-A_mRNA,YKL183C-A_mRNA,1500485,Q3E765
S000003428,FYV8,YGR196C,YGR196C_mRNA,YGR196C_mRNA,853110,P46949
S000006214,A135,YPR010C,YPR010C_mRNA,YPR010C_mRNA,856119,P22138
S000113563,,YKL065W-A,YKL065W-A_mRNA,YKL065W-A_mRNA,3799975,Q2V2P2
S000005296,PHO91,YNR013C,YNR013C_mRNA,YNR013C_mRNA,855747,P27514
S000002536,ABP67,YDR129C,YDR129C_mRNA,YDR129C_mRNA,851707,P32599
S000004349,RSC2,YLR357W,YLR357W_mRNA,YLR357W_mRNA,851071,Q06488
S000007259,ORF8,,,,,
S000000514,AGS1,YCL008C,YCL008C_mRNA,YCL008C_mRNA,850349,P25604
S000000215,IPP1,YBR011C,YBR011C_mRNA,YBR011C_mRNA,852296,P00817
S000002101,SFT1,YKL006C-A,YKL006C-A_mRNA,YKL006C-A_mRNA,853863,P43682
S000004311,AIP3,YLR319C,YLR319C_mRNA,YLR319C_mRNA,851029,P41697
S000004967,RCM1,YNL022C,YNL022C_mRNA,YNL022C_mRNA,855709,P53972
S000002280,UBP1,YDL122W,YDL122W_mRNA,YDL122W_mRNA,851435,P25037
S000000353,ARA1,YBR149W,YBR149W_mRNA,YBR149W_mRNA,852446,P38115
S000028636,NAG1,YGR031C-A,YGR031C-A_mRNA,YGR031C-A_mRNA,8656591,Q8TGN9
S000001396,FLX1,YIL134W,YIL134W_mRNA,YIL134W_mRNA,854672,P40464
S000003736,ACO2,YJL200C,YJL200C_mRNA,YJL200C_mRNA,853230,P39533
S000005905,AMF1,YOR378W,YOR378W_mRNA,YOR378W_mRNA,854560,Q08902
S000004667,RIM9,YMR063W,YMR063W_mRNA,YMR063W_mRNA,855085,Q04734
S000005594,VAM10,YOR068C,YOR068C_mRNA,YOR068C_mRNA,854234,Q08474
S000000871,"ARG5,6",YER069W,YER069W_mRNA,YER069W_mRNA,856800,Q01217
S000005713,TUF1,YOR187W,YOR187W_mRNA,YOR187W_mRNA,854359,P02992
S000003720,GON7,YJL184W,YJL184W_mRNA,YJL184W_mRNA,853255,P46984
S000005960,,YPL039W,YPL039W_mRNA,YPL039W_mRNA,856068,Q03080
S000004723,SPC24,YMR117C,YMR117C_mRNA,YMR117C_mRNA,855144,Q04477
S000007237,ISD11,YER048W-A,YER048W-A_mRNA,YER048W-A_mRNA,856774,Q6Q560
S000006002,RPS9A,YPL081W,YPL081W_mRNA,YPL081W_mRNA,856024,O13516
S000005627,RAS1,YOR101W,YOR101W_mRNA,YOR101W_mRNA,854268,P01119
S000006026,MYR1,YPL105C,YPL105C_mRNA,YPL105C_mRNA,855999,Q02875
S000005710,ADE9,YOR184W,YOR184W_mRNA,YOR184W_mRNA,854356,P33330
S000006025,LPG5,YPL104W,YPL104W_mRNA,YPL104W_mRNA,856000,P15179
S000000962,gag-pol fusion protein,,,,856906,Q03619
S000005857,DNA-directed DNA polymerase gamma MIP1,YOR330C,YOR330C_mRNA,YOR330C_mRNA,854508,P15801
S000006347,RRP15,YPR143W,YPR143W_mRNA,YPR143W_mRNA,856264,Q06511
S000005077,FYV6,YNL133C,YNL133C_mRNA,YNL133C_mRNA,855589,P53913
S000000612,MAK32,YCR019W,YCR019W_mRNA,YCR019W_mRNA,850381,P23060
S000003481,MGA1,YGR249W,YGR249W_mRNA,YGR249W_mRNA,853164,P53050
S000001413,ESL1,YIL151C,YIL151C_mRNA,YIL151C_mRNA,854655,P40456
S000006140,PCL8,YPL219W,YPL219W_mRNA,YPL219W_mRNA,855882,Q08966
S000004524,NTE1,YML059C,YML059C_mRNA,YML059C_mRNA,854943,Q04958
S000005542,ERP4,YOR016C,YOR016C_mRNA,YOR016C_mRNA,854181,Q12450
S000001543,FBA1,YKL060C,YKL060C_mRNA,YKL060C_mRNA,853805,P14540
S000003027,PKP2,YGL059W,YGL059W_mRNA,YGL059W_mRNA,852821,P53170
S000004256,PDR8,YLR266C,YLR266C_mRNA,YLR266C_mRNA,850971,Q06149
S000002965,SMX2,YFL017W-A,YFL017W-A_mRNA,YFL017W-A_mRNA,850528,P40204
S000005706,DCI1,YOR180C,YOR180C_mRNA,YOR180C_mRNA,854352,Q08558
S000000575,GEX1,YCL073C,YCL073C_mRNA,YCL073C_mRNA,850289,P25596
S000003188,AIM15,YGL220W,YGL220W_mRNA,YGL220W_mRNA,852652,P53082
S000002594,SND1,YDR186C,YDR186C_mRNA,YDR186C_mRNA,851767,Q04007
S000003290,PEF1,YGR058W,YGR058W_mRNA,YGR058W_mRNA,852949,P53238
S000005158,PAS9,YNL214W,YNL214W_mRNA,YNL214W_mRNA,855507,P40155
S000003811,ISY1,YJR050W,YJR050W_mRNA,YJR050W_mRNA,853509,P21374
S000005714,MSB1,YOR188W,YOR188W_mRNA,YOR188W_mRNA,854360,P21339
S000004819,,YMR206W,YMR206W_mRNA,YMR206W_mRNA,855246,Q03695
S000005306,SNF12,YNR023W,YNR023W_mRNA,YNR023W_mRNA,855757,P53628
S000003563,CRT6,YJL026W,YJL026W_mRNA,YJL026W_mRNA,853427,P09938
S000003490,RAD2,YGR258C,YGR258C_mRNA,YGR258C_mRNA,853174,P07276
S000001782,AIM29,YKR074W,YKR074W_mRNA,YKR074W_mRNA,853949,P36154
S000007282,ORF1,Q0255,Q0255_mRNA,Q0255_mRNA,854623,P03881
S000003348,CRE2,YGR116W,YGR116W_mRNA,YGR116W_mRNA,853011,P23615
S000006307,DOA3,YPR103W,YPR103W_mRNA,YPR103W_mRNA,856218,P30656
S000001103,GIC1,YHR061C,YHR061C_mRNA,YHR061C_mRNA,856458,P38785
S000004506,CAT2,YML042W,YML042W_mRNA,YML042W_mRNA,854965,P32796
S000000358,ABC27,YBR154C,YBR154C_mRNA,YBR154C_mRNA,852451,P20434
S000006176,BBP1,YPL255W,YPL255W_mRNA,YPL255W_mRNA,855820,Q12365
S000004809,,YMR196W,YMR196W_mRNA,YMR196W_mRNA,855236,Q04336
S000000594,,,,,850357,
S000001017,SNF6,YHL025W,YHL025W_mRNA,YHL025W_mRNA,856360,P18888
S000003050,,YGL082W,YGL082W_mRNA,YGL082W_mRNA,852798,P53155
S000000336,AGP2,YBR132C,YBR132C_mRNA,YBR132C_mRNA,852429,P38090
S000006174,VIK1,YPL253C,YPL253C_mRNA,YPL253C_mRNA,855822,Q12045
S000028677,YLR157W-A,YLR157W-D,YLR157W-D_mRNA,YLR157W-D_mRNA,1466412,P0CE99
S000004911,END8,YMR296C,YMR296C_mRNA,YMR296C_mRNA,855342,P25045
S000004492,AIM31,YML030W,YML030W_mRNA,YML030W_mRNA,854978,Q03713
S000000147,MDT1,YBL051C,YBL051C_mRNA,YBL051C_mRNA,852229,P34217
S000003337,VMA21,YGR105W,YGR105W_mRNA,YGR105W_mRNA,852997,P41806
S000001879,,,,,850531,
S000002720,SSF2,YDR312W,YDR312W_mRNA,YDR312W_mRNA,851907,Q12153
S000002515,GSG1,YDR108W,YDR108W_mRNA,YDR108W_mRNA,851686,P46944
S000001678,FMP15,YKL195W,YKL195W_mRNA,YKL195W_mRNA,853639,P36046
S000002686,,,,,851872,
S000003485,DOA5,YGR253C,YGR253C_mRNA,YGR253C_mRNA,853168,P32379
S000004058,FYV7,YLR068W,YLR068W_mRNA,YLR068W_mRNA,850757,Q12247
S000002489,STN1,YDR082W,YDR082W_mRNA,YDR082W_mRNA,851655,P38960
S000000638,TAF150,YCR042C,YCR042C_mRNA,YCR042C_mRNA,850409,P23255
S000003951,TPO1,YLL028W,YLL028W_mRNA,YLL028W_mRNA,850631,Q07824
S000002696,NSE3,YDR288W,YDR288W_mRNA,YDR288W_mRNA,851882,Q05541
S000003332,GYP2,YGR100W,YGR100W_mRNA,YGR100W_mRNA,852992,P53258
S000000905,Hsp70 family chaperone SSA4,YER103W,YER103W_mRNA,YER103W_mRNA,856840,P22202
S000003139,RNA-dependent ATPase ROK1,YGL171W,YGL171W_mRNA,YGL171W_mRNA,852704,P45818
S000003599,HRD238,YJL063C,YJL063C_mRNA,YJL063C_mRNA,853382,P22353
S000000842,GLN3,YER040W,YER040W_mRNA,YER040W_mRNA,856763,P18494
S000001265,CFD1,YIL003W,YIL003W_mRNA,YIL003W_mRNA,854814,P40558
S000004598,COX14,YML129C,YML129C_mRNA,YML129C_mRNA,854910,P39103
S000004181,PAS20,YLR191W,YLR191W_mRNA,YLR191W_mRNA,850888,P80667
S000003385,TOS10,YGR153W,YGR153W_mRNA,YGR153W_mRNA,853057,P48238
S000003547,NOP9,YJL010C,YJL010C_mRNA,YJL010C_mRNA,853445,P47077
S000002232,BRE1,YDL074C,YDL074C_mRNA,YDL074C_mRNA,851485,Q07457
S000003446,NAB1,YGR214W,YGR214W_mRNA,YGR214W_mRNA,853128,P32905
S000004325,RPS25B,YLR333C,YLR333C_mRNA,YLR333C_mRNA,851045,P0C0T4
S000004645,ARG80,YMR042W,YMR042W_mRNA,YMR042W_mRNA,855059,P07249
S000003016,CIM3,YGL048C,YGL048C_mRNA,YGL048C_mRNA,852834,Q01939
S000001355,RSM25,YIL093C,YIL093C_mRNA,YIL093C_mRNA,854715,P40496
S000002307,NOP14,YDL148C,YDL148C_mRNA,YDL148C_mRNA,851407,Q99207
S000004317,L38,YLR325C,YLR325C_mRNA,YLR325C_mRNA,851035,P49167
S000006083,,YPL162C,YPL162C_mRNA,YPL162C_mRNA,855941,Q12042
S000001082,BCD1,YHR040W,YHR040W_mRNA,YHR040W_mRNA,856436,P38772
S000002926,EUG1,YDR518W,YDR518W_mRNA,YDR518W_mRNA,852130,P32474
S000001275,ATP-binding cassette multidrug transporter PDR11,YIL013C,YIL013C_mRNA,YIL013C_mRNA,854802,P40550
S000001767,TIF1,YJL138C,YJL138C_mRNA,YJL138C_mRNA,853933,P10081
S000002255,NAS4,YDL097C,YDL097C_mRNA,YDL097C_mRNA,851461,Q12377
S000001048,STP2,YHR006W,YHR006W_mRNA,YHR006W_mRNA,856397,P38704
S000001067,THR1,YHR025W,YHR025W_mRNA,YHR025W_mRNA,856420,P17423
S000003455,HSV2,YGR223C,YGR223C_mRNA,YGR223C_mRNA,853138,P50079
S000005101,IGO1,YNL157W,YNL157W_mRNA,YNL157W_mRNA,855565,P53897
S000005363,PFA4,YOL003C,YOL003C_mRNA,YOL003C_mRNA,854159,Q12006
S000028827,,YGR035W-A,YGR035W-A_mRNA,YGR035W-A_mRNA,1466457,Q45U48
S000006062,FRK1,YPL141C,YPL141C_mRNA,YPL141C_mRNA,855962,Q03002
S000007522,,YBR085C-A,YBR085C-A_mRNA,YBR085C-A_mRNA,852381,O43137
S000000828,CDP-diacylglycerol-serine O-phosphatidyltransferase,YER026C,YER026C_mRNA,YER026C_mRNA,856748,P08456
S000028423,ERI1,YPL096C-A,YPL096C-A_mRNA,YPL096C-A_mRNA,856008,P62651
S000002221,SYO1,YDL063C,YDL063C_mRNA,YDL063C_mRNA,851497,Q07395
S000004531,SMA2,YML066C,YML066C_mRNA,YML066C_mRNA,854936,Q04658
S000001717,FOX2,YKR009C,YKR009C_mRNA,YKR009C_mRNA,853878,Q02207
S000000557,PBN1,YCL052C,YCL052C_mRNA,YCL052C_mRNA,850305,P25580
S000005084,,YNL140C,YNL140C_mRNA,YNL140C_mRNA,855582,P53910
S000005983,,,,,856043,
S000003934,SOF1,YLL011W,YLL011W_mRNA,YLL011W_mRNA,850649,P33750
S000003023,MDM2,YGL055W,YGL055W_mRNA,YGL055W_mRNA,852825,P21147
S000003707,TOH1,YJL171C,YJL171C_mRNA,YJL171C_mRNA,853268,P46992
S000005851,FRT1,YOR324C,YOR324C_mRNA,YOR324C_mRNA,854503,Q99332
S000000207,COQ1,YBR003W,YBR003W_mRNA,YBR003W_mRNA,852288,P18900
S000004079,ALT1,YLR089C,YLR089C_mRNA,YLR089C_mRNA,850778,P52893
S000000131,DNA-directed DNA polymerase alpha subunit POL12,YBL035C,YBL035C_mRNA,YBL035C_mRNA,852245,P38121
S000005503,RIB4,YOL143C,YOL143C_mRNA,YOL143C_mRNA,854022,P50861
S000002791,NKP1,YDR383C,YDR383C_mRNA,YDR383C_mRNA,851991,Q12493
S000004574,PYR5,YML106W,YML106W_mRNA,YML106W_mRNA,854865,P13298
S000004562,putative asparagine synthase,YML096W,YML096W_mRNA,YML096W_mRNA,854877,Q04489
S000000821,ISC1,YER019W,YER019W_mRNA,YER019W_mRNA,856739,P40015
S000005493,HRT1,YOL133W,YOL133W_mRNA,YOL133W_mRNA,853986,Q08273
S000000552,POF1,YCL047C,YCL047C_mRNA,YCL047C_mRNA,850310,P25576
S000003328,TPC1,YGR096W,YGR096W_mRNA,YGR096W_mRNA,852988,P53257
S000006404,ACR2,YPR200C,YPR200C_mRNA,YPR200C_mRNA,856330,Q06597
S000006091,DAP1,YPL170W,YPL170W_mRNA,YPL170W_mRNA,855933,Q12091
S000002794,MUS81,YDR386W,YDR386W_mRNA,YDR386W_mRNA,851994,Q04149
S000004858,,YMR244W,YMR244W_mRNA,YMR244W_mRNA,855285,Q04018
S000000437,HEK1,YBR233W,YBR233W_mRNA,YBR233W_mRNA,852533,P38151
S000003652,NCA3,YJL116C,YJL116C_mRNA,YJL116C_mRNA,853326,P46955
S000001757,FMP46,YKR049C,YKR049C_mRNA,YKR049C_mRNA,853923,P36141
S000000025,DNA-binding protein SAW1,YAL027W,YAL027W_mRNA,YAL027W_mRNA,851206,P39735
S000003327,RRP46,YGR095C,YGR095C_mRNA,YGR095C_mRNA,852987,P53256
S000003879,ILM1,YJR118C,YJR118C_mRNA,YJR118C_mRNA,853582,P47155
S000005564,HIR2,YOR038C,YOR038C_mRNA,YOR038C_mRNA,854203,P32480
S000004953,ASI3,YNL008C,YNL008C_mRNA,YNL008C_mRNA,855724,P53983
S000007348,TIM8,YJR135W-A,YJR135W-A_mRNA,YJR135W-A_mRNA,853600,P57744
S000004597,MSC1,YML128C,YML128C_mRNA,YML128C_mRNA,854911,Q03104
S000001276,MNT3,YIL014W,YIL014W_mRNA,YIL014W_mRNA,854801,P40549
S000002894,CHM5,YDR486C,YDR486C_mRNA,YDR486C_mRNA,852097,Q03390
S000028844,,,,,,
S000000171,Hsp70 family ATPase SSA3,YBL075C,YBL075C_mRNA,YBL075C_mRNA,852203,P09435
S000006148,ALG5,YPL227C,YPL227C_mRNA,YPL227C_mRNA,855874,P40350
S000000550,EMC1,YCL045C,YCL045C_mRNA,YCL045C_mRNA,850312,P25574
S000004790,,YMR178W,YMR178W_mRNA,YMR178W_mRNA,855216,Q03219
S000002269,RRP42,YDL111C,YDL111C_mRNA,YDL111C_mRNA,851447,Q12277
S000001387,KGD1,YIL125W,YIL125W_mRNA,YIL125W_mRNA,854681,P20967
S000003068,SEH1,YGL100W,YGL100W_mRNA,YGL100W_mRNA,852778,P53011
S000004589,NADH-ubiquinone reductase (H(+)-translocating) NDI1,YML120C,YML120C_mRNA,YML120C_mRNA,854919,P32340
S000001597,APN1,YKL114C,YKL114C_mRNA,YKL114C_mRNA,853746,P22936
S000000748,Arf family guanine nucleotide exchange factor GEA2,YEL022W,YEL022W_mRNA,YEL022W_mRNA,856691,P39993
S000004889,DSK2,YMR276W,YMR276W_mRNA,YMR276W_mRNA,855319,P48510
S000003102,PCL10,YGL134W,YGL134W_mRNA,YGL134W_mRNA,852743,P53124
S000002440,MRH1,YDR033W,YDR033W_mRNA,YDR033W_mRNA,851597,Q12117
S000005517,IMA2,YOL157C,YOL157C_mRNA,YOL157C_mRNA,854008,Q08295
S000003732,ELO1,YJL196C,YJL196C_mRNA,YJL196C_mRNA,853243,P39540
S000000998,SHU1,YHL006C,YHL006C_mRNA,YHL006C_mRNA,856383,P38751
S000004187,NOP56,YLR197W,YLR197W_mRNA,YLR197W_mRNA,850894,Q12460
S000001279,GID5,YIL017C,YIL017C_mRNA,YIL017C_mRNA,854795,P40547
S000001946,PRE4,YFR050C,YFR050C_mRNA,YFR050C_mRNA,850611,P30657
S000002576,STB3,YDR169C,YDR169C_mRNA,YDR169C_mRNA,851747,Q12427
S000003293,ADE6,YGR061C,YGR061C_mRNA,YGR061C_mRNA,852952,P38972
S000007258,ORF7,,,,,
S000000060,,YAL064W,YAL064W_mRNA,YAL064W_mRNA,851235,P39711
S000007591,,YBL029C-A,YBL029C-A_mRNA,YBL029C-A_mRNA,852251,Q3E756
S000002381,FMP45,YDL222C,YDL222C_mRNA,YDL222C_mRNA,851304,Q07651
S000004297,NEDD8-conjugating protein UBC12,YLR306W,YLR306W_mRNA,YLR306W_mRNA,851015,P52491
S000028806,,YJL136W-A,YJL136W-A_mRNA,YJL136W-A_mRNA,1466464,Q3E801
S000001151,CTM1,YHR109W,YHR109W_mRNA,YHR109W_mRNA,856509,P38818
S000006005,ASI6,YPL084W,YPL084W_mRNA,YPL084W_mRNA,856021,P48582
S000001689,ADD66,YKL206C,YKL206C_mRNA,YKL206C_mRNA,853629,P36040
S000000822,GPA2,YER020W,YER020W_mRNA,YER020W_mRNA,856741,P10823
S000004379,REH1,YLR387C,YLR387C_mRNA,YLR387C_mRNA,851103,Q06709
S000000407,COS111,YBR203W,YBR203W_mRNA,YBR203W_mRNA,852502,P38308
S000028584,,YOR316C-A,YOR316C-A_mRNA,YOR316C-A_mRNA,1466487,Q3E806
S000028652,,YHR213W-B,YHR213W-B_mRNA,YHR213W-B_mRNA,1466533,Q8TGK1
S000007384,gag protein,,,,855671,Q12470
S000002983,,YGL015C,YGL015C_mRNA,YGL015C_mRNA,852869,P33199
S000001534,SFK1,YKL051W,YKL051W_mRNA,YKL051W_mRNA,853815,P35735
S000002615,CAR80,YDR207C,YDR207C_mRNA,YDR207C_mRNA,851788,P39001
S000004353,DCR2,YLR361C,YLR361C_mRNA,YLR361C_mRNA,851075,Q05924
S000000886,,YER084W,YER084W_mRNA,YER084W_mRNA,856816,P40057
S000001554,,YKL071W,YKL071W_mRNA,YKL071W_mRNA,853792,P36086
S000028667,,YKL096C-B,YKL096C-B_mRNA,YKL096C-B_mRNA,1500486,Q8TGT2
S000003808,ANB1,YJR047C,YJR047C_mRNA,YJR047C_mRNA,853506,P19211
S000004280,GTPase GUF1,YLR289W,YLR289W_mRNA,YLR289W_mRNA,850996,P46943
S000028603,,YBR182C-A,YBR182C-A_mRNA,YBR182C-A_mRNA,1466446,Q8TGU6
S000004201,ATG38,YLR211C,YLR211C_mRNA,YLR211C_mRNA,850908,Q05789
S000003240,ATPase-stabilizing factor family protein,YGR008C,YGR008C_mRNA,YGR008C_mRNA,852891,P16965
S000004739,JLP2,YMR132C,YMR132C_mRNA,YMR132C_mRNA,855162,P40206
S000000769,,YEL043W,YEL043W_mRNA,YEL043W_mRNA,856668,P32618
S000002817,SIZ1,YDR409W,YDR409W_mRNA,YDR409W_mRNA,852018,Q04195
S000002716,MED21,YDR308C,YDR308C_mRNA,YDR308C_mRNA,851903,P47822
S000003749,,YJL213W,YJL213W_mRNA,YJL213W_mRNA,853217,P40896
S000001503,SPT23,YKL020C,YKL020C_mRNA,YKL020C_mRNA,853848,P35210
S000002250,RNA-binding signal recognition particle subunit SRP14,YDL092W,YDL092W_mRNA,YDL092W_mRNA,851466,P38985
S000002627,MFB1,YDR219C,YDR219C_mRNA,YDR219C_mRNA,851805,Q04922
S000003741,,YJL206C,YJL206C_mRNA,YJL206C_mRNA,853224,P39529
S000000703,RDS1,YCR106W,YCR106W_mRNA,YCR106W_mRNA,850470,P25611
S000028586,,YOR376W-A,YOR376W-A_mRNA,YOR376W-A_mRNA,1466488,Q3E805
S000005098,YCK2,YNL154C,YNL154C_mRNA,YNL154C_mRNA,855568,P23292
S000002272,short-chain dehydrogenase/reductase,YDL114W,YDL114W_mRNA,YDL114W_mRNA,851444,Q07530
S000005655,AFI1,YOR129C,YOR129C_mRNA,YOR129C_mRNA,854296,Q99222
S000002446,ENA2,YDR039C,YDR039C_mRNA,YDR039C_mRNA,851609,Q01896
S000002193,GPR1,YDL035C,YDL035C_mRNA,YDL035C_mRNA,851527,Q12361
S000005607,STC2,YOR081C,YOR081C_mRNA,YOR081C_mRNA,854248,Q12043
S000004250,LCB5,YLR260W,YLR260W_mRNA,YLR260W_mRNA,850964,Q06147
S000003488,GND2,YGR256W,YGR256W_mRNA,YGR256W_mRNA,853172,P53319
S000005075,MAS17,YNL131W,YNL131W_mRNA,YNL131W_mRNA,855592,P49334
S000007264,AI4,Q0065,Q0065_mRNA,Q0065_mRNA,854596,P03878
S000005097,GIM3,YNL153C,YNL153C_mRNA,YNL153C_mRNA,855569,P53900
S000028840,,,,,,
S000003677,YAK1,YJL141C,YJL141C_mRNA,YJL141C_mRNA,853300,P14680
S000000246,CST26,YBR042C,YBR042C_mRNA,YBR042C_mRNA,852330,P38226
S000001132,EAF4,YHR090C,YHR090C_mRNA,YHR090C_mRNA,856490,P38806
S000000245,FAT1,YBR041W,YBR041W_mRNA,YBR041W_mRNA,852329,P38225
S000004847,RNA-DNA hybrid ribonuclease,YMR234W,YMR234W_mRNA,YMR234W_mRNA,855274,Q04740
S000001418,UBP7,YIL156W,YIL156W_mRNA,YIL156W_mRNA,854650,P40453
S000002283,HNT1,YDL125C,YDL125C_mRNA,YDL125C_mRNA,851432,Q04344
S000004291,BGL1,YLR300W,YLR300W_mRNA,YLR300W_mRNA,851007,P23776
S000004879,RSN1,YMR266W,YMR266W_mRNA,YMR266W_mRNA,855308,Q03516
S000003921,MPH3,YJR160C,YJR160C_mRNA,YJR160C_mRNA,853625,P0CE00
S000003846,STE18,YJR086W,YJR086W_mRNA,YJR086W_mRNA,853548,P18852
S000005910,FIT3,YOR383C,YOR383C_mRNA,YOR383C_mRNA,854565,Q08907
S000001332,MAM33,YIL070C,YIL070C_mRNA,YIL070C_mRNA,854740,P40513
S000001066,MAS2,YHR024C,YHR024C_mRNA,YHR024C_mRNA,856419,P11914
S000000547,,YCL042W,YCL042W_mRNA,YCL042W_mRNA,850315,P25572
S000005507,PEX11,YOL147C,YOL147C_mRNA,YOL147C_mRNA,854018,Q12462
S000000981,DMC1,YER179W,YER179W_mRNA,YER179W_mRNA,856926,P25453
S000001149,CDC12,YHR107C,YHR107C_mRNA,YHR107C_mRNA,856507,P32468
S000003502,YTA7,YGR270W,YGR270W_mRNA,YGR270W_mRNA,853186,P40340
S000002559,GIR2,YDR152W,YDR152W_mRNA,YDR152W_mRNA,851730,Q03768
S000002463,EMC10,YDR056C,YDR056C_mRNA,YDR056C_mRNA,851626,Q12025
S000000966,CHD1,YER164W,YER164W_mRNA,YER164W_mRNA,856911,P32657
