SGD,COMMON,ENSEMBL,ENSEMBLPROT,ENSEMBLTRANS,ENTREZID,UNIPROT
S000001420,AIM20,YIL158W,YIL158W_mRNA,YIL158W_mRNA,854648,P40451
S000001061,DED81,YHR019C,YHR019C_mRNA,YHR019C_mRNA,856412,P38707
S000003922,COS5,YJR161C,YJR161C_mRNA,YJR161C_mRNA,853626,P47187
S000005922,HAT1,YPL001W,YPL001W_mRNA,YPL001W_mRNA,856106,Q12341
S000003317,L11B,YGR085C,YGR085C_mRNA,YGR085C_mRNA,852976,Q3E757
S000000630,ELO2,YCR034W,YCR034W_mRNA,YCR034W_mRNA,850400,P25358
S000005948,SMA1,YPL027W,YPL027W_mRNA,YPL027W_mRNA,856080,Q02651
S000005812,AIM42,YOR286W,YOR286W_mRNA,YOR286W_mRNA,854460,Q08742
S000006130,IPL1,YPL209C,YPL209C_mRNA,YPL209C_mRNA,855892,P38991
S000028527,COA2,YPL189C-A,YPL189C-A_mRNA,YPL189C-A_mRNA,1466518,Q3E823
S000005375,IRC10,YOL015W,YOL015W_mRNA,YOL015W_mRNA,854145,Q08118
S000004484,APT1,YML022W,YML022W_mRNA,YML022W_mRNA,854986,P49435
S000000352,YSW1,YBR148W,YBR148W_mRNA,YBR148W_mRNA,852445,P38280
S000004472,RAD33,YML011C,YML011C_mRNA,YML011C_mRNA,854998,Q04231
S000005089,MFA2,YNL145W,YNL145W_mRNA,YNL145W_mRNA,855577,P34166
S000007226,,YER039C-A,YER039C-A_mRNA,YER039C-A_mRNA,856762,P0CD97
S000000128,HEK2,YBL032W,YBL032W_mRNA,YBL032W_mRNA,852248,P38199
S000003255,MTL1,YGR023W,YGR023W_mRNA,YGR023W_mRNA,852905,P53214
S000002633,H2A1,YDR225W,YDR225W_mRNA,YDR225W_mRNA,851811,P04911
S000000197,ART2,YBL101C,YBL101C_mRNA,YBL101C_mRNA,852173,P38167
S000002713,APH1,,,,851899,P49775
S000000764,UTR4,YEL038W,YEL038W_mRNA,YEL038W_mRNA,856673,P32626
S000004344,,YLR352W,YLR352W_mRNA,YLR352W_mRNA,851066,Q06479
S000001553,,YKL070W,YKL070W_mRNA,YKL070W_mRNA,853793,P36087
S000000598,CIT2,YCR005C,YCR005C_mRNA,YCR005C_mRNA,850361,P08679
S000001905,GCN20,YFR009W,YFR009W_mRNA,YFR009W_mRNA,850561,P43535
S000005295,URK1,YNR012W,YNR012W_mRNA,YNR012W_mRNA,855746,P27515
S000001738,GMH1,YKR030W,YKR030W_mRNA,YKR030W_mRNA,853901,P36125
S000003237,TFG2,YGR005C,YGR005C_mRNA,YGR005C_mRNA,852888,P41896
S000028569,,YLR285C-A,YLR285C-A_mRNA,YLR285C-A_mRNA,1466418,Q3E771
S000001647,CCW6,YKL164C,YKL164C_mRNA,YKL164C_mRNA,853692,Q03178
S000002801,MDM33,YDR393W,YDR393W_mRNA,YDR393W_mRNA,852002,Q04172
S000000599,,,,,850362,
